"DateTime","Avian influenza[en]","Centers for Disease Control and Prevention[en]","Common cold[en]","Fever[en]","Influenza[en]","Main Page[en]","Pandemic[en]","West Nile virus[en]"
"2008-03-29 00:00:00",444,488,1734,2047,2107,3083492,1091,351
"2008-03-30 00:00:00",562,533,1927,2142,2702,2896488,1307,431
"2008-03-31 00:00:00",869,676,2586,2690,4037,4148985,1890,747
"2008-04-01 00:00:00",859,729,2689,2764,4266,3173972,1741,825
"2008-04-02 00:00:00",725,687,2541,2733,3908,2266551,1793,710
"2008-04-03 00:00:00",698,697,2539,2775,3601,2347477,1958,770
"2008-04-04 00:00:00",770,627,2071,2395,3037,3024263,1616,661
"2008-04-05 00:00:00",480,410,1606,1878,1958,2891915,1095,312
"2008-04-06 00:00:00",626,511,1798,2146,2557,3015690,1417,427
"2008-04-07 00:00:00",978,788,2782,2763,3745,2915400,1980,865
"2008-04-08 00:00:00",947,700,2670,2813,3678,2949522,1830,905
"2008-04-09 00:00:00",772,798,2608,2745,3607,3805761,1774,717
"2008-04-10 00:00:00",693,648,2357,2490,3581,2775093,2263,741
"2008-04-11 00:00:00",641,546,2157,2192,3022,3509561,1602,702
"2008-04-12 00:00:00",412,369,1600,1784,2010,2826548,1056,372
"2008-04-13 00:00:00",589,469,1804,1998,2262,2784753,1480,505
"2008-04-14 00:00:00",908,726,2516,2839,3644,4309766,1897,917
"2008-04-15 00:00:00",792,685,2541,2544,3580,3725197,1873,1008
"2008-04-16 00:00:00",814,650,2508,2452,3525,2763716,1775,890
"2008-04-17 00:00:00",794,712,2350,2471,3506,3803742,1803,918
"2008-04-18 00:00:00",742,478,2108,2113,2999,3671436,1599,738
"2008-04-19 00:00:00",490,405,1556,1705,1988,3178021,1051,400
"2008-04-20 00:00:00",618,470,1830,2024,2554,2258994,1366,568
"2008-04-21 00:00:00",937,722,2494,2544,3854,1659228,2029,1065
"2008-04-22 00:00:00",886,646,2360,2320,3344,4465960,1705,817
"2008-04-23 00:00:00",871,591,2168,2393,3262,3501711,1741,883
"2008-04-24 00:00:00",750,668,2315,2271,3050,3567820,1800,942
"2008-04-25 00:00:00",712,566,2066,2054,2714,4210819,1353,636
"2008-04-26 00:00:00",446,409,1372,1666,1704,3222657,1121,419
"2008-04-27 00:00:00",557,501,1773,1941,2197,3174214,1328,485
"2008-04-28 00:00:00",813,773,2486,2862,3393,4379826,1865,957
"2008-04-29 00:00:00",970,688,2452,2623,3395,4433911,1933,970
"2008-04-30 00:00:00",759,674,2295,2500,3067,3409978,1969,837
"2008-05-01 00:00:00",787,673,2237,2411,2975,4226986,1738,760
"2008-05-02 00:00:00",672,611,1855,2009,2457,5041078,1419,586
"2008-05-03 00:00:00",455,428,1466,1616,1690,4247300,1150,392
"2008-05-04 00:00:00",534,449,1731,1760,2093,2568856,1353,457
"2008-05-05 00:00:00",861,690,2224,2368,3109,5152542,2610,841
"2008-05-06 00:00:00",961,663,2503,2389,3029,5112983,2507,893
"2008-05-07 00:00:00",1117,699,2398,2438,3096,4664770,2192,868
"2008-05-08 00:00:00",904,679,2323,2297,3066,4933894,2135,853
"2008-05-09 00:00:00",880,616,1799,1951,2576,5530236,1721,655
"2008-05-10 00:00:00",535,474,1444,1611,1749,2771303,1225,397
"2008-05-11 00:00:00",632,481,1479,1696,2163,4821527,1516,451
"2008-05-12 00:00:00",997,742,2372,2437,3191,3174715,2184,839
"2008-05-13 00:00:00",996,705,2478,2461,3166,6151725,2161,826
"2008-05-14 00:00:00",955,701,2385,3008,3265,5385370,2149,801
"2008-05-15 00:00:00",939,695,2229,2593,2961,7361996,2144,822
"2008-05-16 00:00:00",731,564,2078,2145,2444,6703241,1834,727
"2008-05-17 00:00:00",469,365,1427,1754,1513,3896078,1275,399
"2008-05-18 00:00:00",623,469,1701,2001,2009,5202909,1563,442
"2008-05-19 00:00:00",825,685,2451,2667,2988,7002277,2064,880
"2008-05-20 00:00:00",900,796,2551,2665,3254,6343012,2281,980
"2008-05-21 00:00:00",844,714,2366,2494,2944,6382682,1789,835
"2008-05-22 00:00:00",819,647,2260,2250,2870,7487703,1711,856
"2008-05-23 00:00:00",712,559,1855,2057,2230,7256878,1306,724
"2008-05-24 00:00:00",466,368,1402,1765,1436,5315699,1075,457
"2008-05-25 00:00:00",570,460,1486,2023,1774,4349682,1119,501
"2008-05-26 00:00:00",662,535,2035,2367,2406,7552231,1528,816
"2008-05-27 00:00:00",714,743,2227,2580,2685,5039274,1877,1240
"2008-05-28 00:00:00",841,904,2299,2612,2746,6825385,1960,1145
"2008-05-29 00:00:00",826,905,2098,2464,2746,5227757,1692,1029
"2008-05-30 00:00:00",578,652,1961,2078,2125,4347213,1336,778
"2008-05-31 00:00:00",386,462,1517,1698,1602,5508280,1067,552
"2008-06-01 00:00:00",549,472,1470,1851,1812,8306769,1379,735
"2008-06-02 00:00:00",691,790,2198,2394,2662,7861542,1856,1119
"2008-06-03 00:00:00",779,763,2081,2447,2693,7496533,1819,1030
"2008-06-04 00:00:00",900,829,1975,2433,2599,8095596,1806,962
"2008-06-05 00:00:00",806,831,1808,2226,2376,7129370,1658,820
"2008-06-06 00:00:00",583,638,1561,1932,1840,6960315,1375,804
"2008-06-07 00:00:00",429,477,1341,1765,1402,6973074,1083,585
"2008-06-08 00:00:00",491,620,1344,1914,1736,7101808,1325,764
"2008-06-09 00:00:00",696,944,1896,2531,2436,12052907,1811,1265
"2008-06-10 00:00:00",683,846,1906,2555,2440,9507403,1669,1236
"2008-06-11 00:00:00",707,770,1848,2475,2340,10471655,1629,1127
"2008-06-12 00:00:00",791,708,1784,2417,2274,8687440,1454,947
"2008-06-13 00:00:00",569,648,1610,2024,1790,6594029,1495,834
"2008-06-14 00:00:00",410,469,1234,1837,1393,9803190,2144,697
"2008-06-15 00:00:00",471,500,1462,2046,1610,10719408,2242,831
"2008-06-16 00:00:00",866,627,1862,2664,2272,10985236,1655,1180
"2008-06-17 00:00:00",772,767,1940,2471,2481,9917888,1614,1089
"2008-06-18 00:00:00",724,730,1960,2439,2309,7448546,1592,1017
"2008-06-19 00:00:00",556,679,1924,2495,2300,9458240,1544,1012
"2008-06-20 00:00:00",493,518,1518,2166,1894,10500737,1191,990
"2008-06-21 00:00:00",388,448,1273,1723,1468,10080459,1175,893
"2008-06-22 00:00:00",493,432,1459,2111,1657,7071911,1253,1045
"2008-06-23 00:00:00",654,758,2041,2534,2259,12056156,1581,3017
"2008-06-24 00:00:00",573,644,2015,2776,2349,9644154,1651,1941
"2008-06-25 00:00:00",638,642,1809,2485,2079,10646981,1494,1558
"2008-06-26 00:00:00",599,613,2083,2457,2137,13442827,1477,1375
"2008-06-27 00:00:00",505,551,1444,2191,1703,8968125,1178,1382
"2008-06-28 00:00:00",398,441,1107,1837,1203,8463011,951,1013
"2008-06-29 00:00:00",454,389,1436,1944,1457,10481917,1059,1095
"2008-06-30 00:00:00",603,561,1797,2469,2024,12067287,1782,1559
"2008-07-01 00:00:00",599,548,1832,2512,1928,7648343,1385,1554
"2008-07-02 00:00:00",535,559,1841,2398,2236,7656642,1390,1700
"2008-07-03 00:00:00",505,544,1701,2293,2144,2536664,1384,1664
"2008-07-04 00:00:00",456,384,1397,1980,1788,14530171,1040,1296
"2008-07-05 00:00:00",355,350,1219,1857,1201,8694055,804,1183
"2008-07-06 00:00:00",357,392,1262,2004,1377,6220685,941,1235
"2008-07-07 00:00:00",576,557,1693,2510,2051,5954847,1490,1725
"2008-07-08 00:00:00",457,563,1721,2630,1981,5915599,1432,1628
"2008-07-09 00:00:00",474,599,1596,2392,1837,5374239,1213,1270
"2008-07-10 00:00:00",455,513,1569,2376,1802,4538197,1230,1352
"2008-07-11 00:00:00",374,469,1272,1907,1481,3212823,1087,1358
"2008-07-12 00:00:00",300,377,1052,1497,1157,2766628,837,1223
"2008-07-13 00:00:00",342,422,1108,1843,1377,2979282,895,1040
"2008-07-14 00:00:00",469,492,1729,2204,1932,3850278,1292,1520
"2008-07-15 00:00:00",450,481,1650,2264,1760,3737383,1645,1599
"2008-07-16 00:00:00",513,531,1555,2221,1868,4815717,1763,1600
"2008-07-17 00:00:00",566,515,1614,2091,1726,3819522,2015,1408
"2008-07-18 00:00:00",425,521,1299,1876,1473,4079124,1910,1450
"2008-07-19 00:00:00",396,444,1041,1712,1219,2230474,1743,1043
"2008-07-20 00:00:00",425,394,1269,1692,1424,1288721,2175,1056
"2008-07-21 00:00:00",572,531,1648,2450,2098,2416684,2967,1575
"2008-07-22 00:00:00",547,500,1647,2421,2066,3533000,2400,1430
"2008-07-23 00:00:00",558,564,1665,2398,2018,4713949,2351,1474
"2008-07-24 00:00:00",481,476,1630,2163,2100,3712943,2056,1485
"2008-07-25 00:00:00",419,451,1349,2070,1432,1573065,2095,1265
"2008-07-26 00:00:00",315,317,1142,1872,1200,2407416,1735,927
"2008-07-27 00:00:00",348,357,1161,1922,1489,2656999,1924,930
"2008-07-28 00:00:00",622,550,1773,2519,2006,4244753,2143,1543
"2008-07-29 00:00:00",563,547,1764,2604,2006,3040457,2160,1471
"2008-07-30 00:00:00",566,526,1696,2501,1947,2879104,2279,1475
"2008-07-31 00:00:00",568,522,1464,2294,1798,3741951,1942,1407
"2008-08-01 00:00:00",480,418,1294,2162,1989,2615359,1757,1253
"2008-08-02 00:00:00",326,371,1083,1814,1150,3049089,1584,1012
"2008-08-03 00:00:00",364,426,1157,2045,1668,3017524,2096,904
"2008-08-04 00:00:00",490,498,1647,2465,2050,3382338,2458,1407
"2008-08-05 00:00:00",581,533,1653,2647,2095,4003287,1773,1581
"2008-08-06 00:00:00",584,480,1669,2625,1946,3110770,1714,1875
"2008-08-07 00:00:00",528,716,1495,2461,2104,3175682,1777,1841
"2008-08-08 00:00:00",442,449,1321,2078,1492,2726305,1670,1279
"2008-08-09 00:00:00",317,323,1237,1742,1288,3563664,1307,894
"2008-08-10 00:00:00",351,291,1149,1877,1478,2157671,1200,929
"2008-08-11 00:00:00",572,434,1721,2342,1991,3120007,1552,1395
"2008-08-12 00:00:00",558,397,1815,2340,1859,3686560,1539,1447
"2008-08-13 00:00:00",477,427,1768,2288,1803,4757825,1430,1480
"2008-08-14 00:00:00",440,426,1605,2040,1816,2663601,1353,1567
"2008-08-15 00:00:00",381,340,1233,1917,1523,2796437,1142,1482
"2008-08-16 00:00:00",292,311,999,1532,1184,2835360,1018,1003
"2008-08-17 00:00:00",433,418,1257,1718,1632,2672428,1991,1013
"2008-08-18 00:00:00",587,535,1817,2200,2273,2689830,1807,1519
"2008-08-19 00:00:00",542,504,1882,2506,2178,2266301,1645,1867
"2008-08-20 00:00:00",601,404,1485,2298,2073,2899904,1588,1401
"2008-08-21 00:00:00",501,492,1577,2396,1941,3618546,1323,1432
"2008-08-22 00:00:00",557,616,1593,2108,1752,2392872,1795,1239
"2008-08-23 00:00:00",291,347,1300,1671,1266,1823370,1062,813
"2008-08-24 00:00:00",498,407,1521,1883,1419,2663030,1161,874
"2008-08-25 00:00:00",533,498,1981,2526,2140,2339365,1400,1425
"2008-08-26 00:00:00",558,462,1979,2609,2208,4708247,1510,1666
"2008-08-27 00:00:00",545,551,2037,2689,2095,3203339,1640,1158
"2008-08-28 00:00:00",512,549,2078,2504,2353,2792013,1704,937
"2008-08-29 00:00:00",411,460,1548,2144,1820,1752373,1393,765
"2008-08-30 00:00:00",365,350,1530,1891,1498,2734364,1075,501
"2008-08-31 00:00:00",450,447,1506,2038,1657,1641665,1386,910
"2008-09-01 00:00:00",503,428,2014,2446,2070,1748892,1404,1090
"2008-09-02 00:00:00",563,490,2162,2458,2235,3083288,1630,1371
"2008-09-03 00:00:00",609,577,2320,2642,2423,2609706,1640,1445
"2008-09-04 00:00:00",639,532,2252,2551,2592,3146291,1697,1673
"2008-09-05 00:00:00",536,569,2092,2396,2319,2888619,1496,1478
"2008-09-06 00:00:00",378,491,1813,1934,1836,1309922,1147,1098
"2008-09-07 00:00:00",478,519,2102,2221,2255,1522932,1357,953
"2008-09-08 00:00:00",620,717,2502,2713,2855,3681411,1760,1350
"2008-09-09 00:00:00",685,629,2829,2839,3089,1983220,1570,1360
"2008-09-10 00:00:00",563,609,2596,2831,2742,2876069,2186,1319
"2008-09-11 00:00:00",631,603,2842,2858,2805,3703918,2012,1397
"2008-09-12 00:00:00",560,575,2424,2363,2471,2412621,1541,1098
"2008-09-13 00:00:00",379,387,1875,2116,1791,1460752,1227,799
"2008-09-14 00:00:00",507,455,2429,2418,2180,2186665,1572,948
"2008-09-15 00:00:00",724,673,3099,2979,3117,1973605,1801,1144
"2008-09-16 00:00:00",755,879,3258,2970,3324,918507,1850,1063
"2008-09-17 00:00:00",728,810,3354,2947,3372,2622904,1819,1084
"2008-09-18 00:00:00",585,729,3081,2743,2945,2450165,1558,1038
"2008-09-19 00:00:00",622,778,2934,2562,2702,1871620,1453,1007
"2008-09-20 00:00:00",418,648,2586,2101,1964,2219117,1157,637
"2008-09-21 00:00:00",546,692,3103,2542,2450,1942387,1341,690
"2008-09-22 00:00:00",707,1065,3834,2992,3424,2865055,1799,1205
"2008-09-23 00:00:00",684,1185,3905,3115,3202,1148421,1745,1171
"2008-09-24 00:00:00",727,1315,3714,2908,3763,1948435,1815,1176
"2008-09-25 00:00:00",631,2307,3612,2814,3221,2698932,1667,1191
"2008-09-26 00:00:00",489,1451,3000,2510,2648,1756114,1410,1015
"2008-09-27 00:00:00",345,760,2483,2245,1879,1367261,1051,803
"2008-09-28 00:00:00",498,989,2783,2435,2397,1827566,1350,873
"2008-09-29 00:00:00",697,936,3542,2874,3247,762983,1718,1207
"2008-09-30 00:00:00",618,1100,3302,2486,3232,2341928,1485,1080
"2008-10-01 00:00:00",688,1207,3572,2766,3660,3239626,2011,1114
"2008-10-02 00:00:00",540,1082,3478,2742,3443,1877167,2246,1041
"2008-10-03 00:00:00",510,1096,3196,2477,2932,3077932,1578,964
"2008-10-04 00:00:00",422,762,2602,2156,2098,905991,1191,500
"2008-10-05 00:00:00",496,951,2716,2394,2500,1988518,1347,577
"2008-10-06 00:00:00",810,1335,3814,3259,3698,2697605,2097,1125
"2008-10-07 00:00:00",745,1436,3974,3372,3930,702566,2028,970
"2008-10-08 00:00:00",781,1594,3669,3279,3671,1407551,1905,999
"2008-10-09 00:00:00",824,1507,3500,2943,3552,2563462,1877,972
"2008-10-10 00:00:00",613,2493,2966,2651,2965,2021314,1529,803
"2008-10-11 00:00:00",472,671,2140,2136,2028,2431953,1206,551
"2008-10-12 00:00:00",581,778,2501,2553,2564,2123195,1496,708
"2008-10-13 00:00:00",804,1036,3091,3218,3716,2008550,1983,877
"2008-10-14 00:00:00",780,816,3294,3428,3948,3261143,1779,1101
"2008-10-15 00:00:00",746,760,3267,3215,4157,1031214,1828,873
"2008-10-16 00:00:00",825,824,3272,3094,4136,1969926,1838,1017
"2008-10-17 00:00:00",700,689,2753,2549,3380,2251314,1562,873
"2008-10-18 00:00:00",427,554,2086,2219,2371,1794046,1175,457
"2008-10-19 00:00:00",666,631,2427,2661,3056,2702584,1511,573
"2008-10-20 00:00:00",992,831,3371,3318,4313,1540218,2278,951
"2008-10-21 00:00:00",418,333,1342,1506,1871,238220,972,386
"2008-10-22 00:00:00",530,483,2062,1664,2633,400713,1274,558
"2008-10-23 00:00:00",784,761,3323,2972,4377,1738251,6932,942
"2008-10-24 00:00:00",585,683,2911,2636,3342,1567008,4818,820
"2008-10-25 00:00:00",504,459,2245,2193,2287,1926197,2659,471
"2008-10-26 00:00:00",584,534,2455,2437,2765,1374624,2707,509
"2008-10-27 00:00:00",712,771,3422,3178,4261,2009619,3126,820
"2008-10-28 00:00:00",784,785,3531,3137,4316,1719625,2690,930
"2008-10-29 00:00:00",753,785,3587,3173,4409,1848376,2786,968
"2008-10-30 00:00:00",741,672,3351,3003,4200,1411671,4461,784
"2008-10-31 00:00:00",610,624,2902,2495,3336,2423054,2962,579
"2008-11-01 00:00:00",419,455,1984,2088,2321,1985355,1807,240
"2008-11-02 00:00:00",592,550,2502,2568,2897,2270971,2119,246
"2008-11-03 00:00:00",898,738,3464,3367,4675,1113033,2626,457
"2008-11-04 00:00:00",741,774,3370,3501,4538,2591340,2260,498
"2008-11-05 00:00:00",732,615,2851,2860,4094,2467575,1860,683
"2008-11-06 00:00:00",748,639,3138,3135,4097,2541310,2186,797
"2008-11-07 00:00:00",676,635,2694,2640,3528,2061247,1875,790
"2008-11-08 00:00:00",479,500,2247,2330,2522,2541255,1509,466
"2008-11-09 00:00:00",623,491,2640,2564,3309,2841419,1704,555
"2008-11-10 00:00:00",892,756,3616,3200,4678,1624890,2245,860
"2008-11-11 00:00:00",802,754,3282,3197,4787,2505686,2112,739
"2008-11-12 00:00:00",901,745,3976,3311,6050,1290755,2372,811
"2008-11-13 00:00:00",905,723,3572,3333,5186,2608655,2336,873
"2008-11-14 00:00:00",850,713,3167,2863,3992,1433226,2068,854
"2008-11-15 00:00:00",489,579,2227,2343,2682,4859185,1555,467
"2008-11-16 00:00:00",811,569,2599,2659,3271,1475201,2106,525
"2008-11-17 00:00:00",974,763,3688,3221,4504,1254034,2521,838
"2008-11-18 00:00:00",995,830,3737,3114,4745,2627991,2101,854
"2008-11-19 00:00:00",843,747,3588,3050,4766,191396,2018,865
"2008-11-20 00:00:00",882,710,3784,2933,5128,3037603,1882,809
"2008-11-21 00:00:00",672,652,3153,2665,3927,2339765,1724,700
"2008-11-22 00:00:00",454,468,2500,2367,2687,1811597,1448,368
"2008-11-23 00:00:00",575,605,2922,2464,3591,2026586,2068,437
"2008-11-24 00:00:00",811,758,3957,3225,4635,1619121,2349,707
"2008-11-25 00:00:00",712,777,3740,3068,4368,2835726,2157,602
"2008-11-26 00:00:00",719,582,2953,2951,4055,1873348,1988,499
"2008-11-27 00:00:00",639,492,2784,2434,3348,2472689,1733,341
"2008-11-28 00:00:00",529,497,2602,2359,2941,2555833,1752,376
"2008-11-29 00:00:00",462,426,2539,2239,2731,1340301,1575,324
"2008-11-30 00:00:00",613,536,3126,2717,3308,2026562,1747,446
"2008-12-01 00:00:00",804,887,4301,3419,5802,654085,2811,783
"2008-12-02 00:00:00",852,807,4428,3319,5235,2269838,2582,865
"2008-12-03 00:00:00",901,851,4453,3476,5460,2058808,2501,776
"2008-12-04 00:00:00",830,729,4063,3278,5011,1232458,2306,781
"2008-12-05 00:00:00",684,655,3778,2889,4096,3220121,2002,651
"2008-12-06 00:00:00",472,456,3028,2537,2903,1878789,1588,385
"2008-12-07 00:00:00",512,495,3091,2669,3425,2401534,1741,474
"2008-12-08 00:00:00",647,676,4020,3266,4834,1535724,2158,678
"2008-12-09 00:00:00",878,654,4255,3349,4885,1997802,2419,656
"2008-12-10 00:00:00",734,642,4767,3401,4722,3317755,2332,626
"2008-12-11 00:00:00",753,597,4033,3166,4231,2037535,2246,624
"2008-12-12 00:00:00",679,505,3675,2804,4036,1536878,1983,547
"2008-12-13 00:00:00",454,483,3006,2398,3236,1938622,1440,329
"2008-12-14 00:00:00",575,460,3329,2905,3695,2333268,1754,467
"2008-12-15 00:00:00",652,669,4344,3488,4880,2397099,2026,700
"2008-12-16 00:00:00",702,566,4372,3416,4764,2469537,1891,626
"2008-12-17 00:00:00",660,576,4294,3133,4880,1465150,1857,564
"2008-12-18 00:00:00",636,532,4207,3099,4390,2910910,1719,472
"2008-12-19 00:00:00",470,454,3465,2693,3488,3661498,1487,317
"2008-12-20 00:00:00",364,315,2851,2353,2948,2785078,1073,166
"2008-12-21 00:00:00",374,334,3003,2508,3076,1765424,1142,246
"2008-12-22 00:00:00",482,442,3905,2808,3938,2289052,1385,297
"2008-12-23 00:00:00",387,378,3520,2629,4067,779796,1241,284
"2008-12-24 00:00:00",319,308,2889,2281,3267,1178300,1136,174
"2008-12-25 00:00:00",296,226,1886,1696,1899,1622926,734,148
"2008-12-26 00:00:00",316,283,2462,2203,2440,2217278,975,185
"2008-12-27 00:00:00",246,263,2783,2323,2720,1551412,989,198
"2008-12-28 00:00:00",345,309,2631,2579,3041,2065476,996,199
"2008-12-29 00:00:00",427,414,3215,2982,3784,1161824,1166,229
"2008-12-30 00:00:00",500,433,3398,2957,3907,2489673,1873,331
"2008-12-31 00:00:00",393,304,2863,2626,3011,2337514,1393,241
"2009-01-01 00:00:00",330,264,2028,2084,2339,2566134,1028,171
"2009-01-02 00:00:00",361,402,3237,2921,3376,2467607,1281,299
"2009-01-03 00:00:00",348,370,3201,2942,3249,2307860,1317,253
"2009-01-04 00:00:00",455,372,3400,3195,3457,1122015,1198,295
"2009-01-05 00:00:00",655,501,4211,3729,4818,1501125,1731,473
"2009-01-06 00:00:00",714,574,4227,3754,4700,1158981,1808,532
"2009-01-07 00:00:00",837,558,4117,3545,4872,2494072,1908,531
"2009-01-08 00:00:00",664,639,3742,3439,4677,790883,1815,560
"2009-01-09 00:00:00",654,600,3545,3052,4064,2546077,1753,443
"2009-01-10 00:00:00",491,503,2646,2740,3021,1348318,1472,268
"2009-01-11 00:00:00",566,573,2946,3154,3523,2574059,1648,372
"2009-01-12 00:00:00",683,638,3920,3688,4848,1478133,1813,640
"2009-01-13 00:00:00",784,682,3912,3772,5576,2271235,1844,624
"2009-01-14 00:00:00",796,622,3684,3608,5996,1754390,2051,640
"2009-01-15 00:00:00",733,682,3771,3641,4929,2647061,1897,620
