,fips,state,year,month,count
2020-05-01,48,TX,2020,5,0
2020-06-01,48,TX,2020,6,0
2020-07-01,48,TX,2020,7,17
2020-08-01,48,TX,2020,8,51
2020-09-01,48,TX,2020,9,22
2020-10-01,48,TX,2020,10,7
2020-11-01,48,TX,2020,11,4
2020-12-01,48,TX,2020,12,0
2021-01-01,48,TX,2021,1,0
2021-02-01,48,TX,2021,2,0
2021-03-01,48,TX,2021,3,0
2021-04-01,48,TX,2021,4,0
2021-05-01,48,TX,2021,5,1
2021-06-01,48,TX,2021,6,1
2021-07-01,48,TX,2021,7,12
2021-08-01,48,TX,2021,8,52
2021-09-01,48,TX,2021,9,43
2021-10-01,48,TX,2021,10,19
2021-11-01,48,TX,2021,11,2
2021-12-01,48,TX,2021,12,0
2022-01-01,48,TX,2022,1,1
2022-02-01,48,TX,2022,2,0
2022-03-01,48,TX,2022,3,0
2022-04-01,48,TX,2022,4,1
2022-05-01,48,TX,2022,5,0
2022-06-01,48,TX,2022,6,1
2022-07-01,48,TX,2022,7,8
2022-08-01,48,TX,2022,8,6
2022-09-01,48,TX,2022,9,7
2022-10-01,48,TX,2022,10,5
2022-11-01,48,TX,2022,11,3
2022-12-01,48,TX,2022,12,0
