state,statefp,county,countyfp,year,month,trap_type,species,num_pools,num_mosquitoes,num_pools_wnv
Arizona,04,Maricopa,013,2014,10,CO2,Culex quinquefasciatus,1332,12542,28
Arizona,04,Maricopa,013,2014,10,CO2,Culex tarsalis,262,2447,10
Arizona,04,Maricopa,013,2014,11,CO2,Culex quinquefasciatus,491,2802,1
Arizona,04,Maricopa,013,2014,11,CO2,Culex tarsalis,68,302,2
Arizona,04,Maricopa,013,2014,12,CO2,Culex quinquefasciatus,252,945,0
Arizona,04,Maricopa,013,2014,12,CO2,Culex tarsalis,37,46,0
Arizona,04,Maricopa,013,2015,1,CO2,Culex quinquefasciatus,245,620,0
Arizona,04,Maricopa,013,2015,1,CO2,Culex tarsalis,175,443,0
Arizona,04,Maricopa,013,2015,2,CO2,Culex quinquefasciatus,450,1637,0
Arizona,04,Maricopa,013,2015,2,CO2,Culex tarsalis,353,1493,0
Arizona,04,Maricopa,013,2015,3,CO2,Culex quinquefasciatus,757,3879,0
Arizona,04,Maricopa,013,2015,3,CO2,Culex tarsalis,242,2133,1
Arizona,04,Maricopa,013,2015,4,CO2,Culex quinquefasciatus,825,3768,1
Arizona,04,Maricopa,013,2015,4,CO2,Culex tarsalis,202,1267,0
Arizona,04,Maricopa,013,2015,5,CO2,Culex quinquefasciatus,873,4147,13
Arizona,04,Maricopa,013,2015,5,CO2,Culex tarsalis,144,921,1
Arizona,04,Maricopa,013,2015,6,CO2,Culex quinquefasciatus,900,5124,38
Arizona,04,Maricopa,013,2015,6,CO2,Culex tarsalis,138,2058,12
Arizona,04,Maricopa,013,2015,7,CO2,Culex quinquefasciatus,575,2137,10
Arizona,04,Maricopa,013,2015,7,CO2,Culex tarsalis,85,455,3
Arizona,04,Maricopa,013,2015,8,CO2,Culex quinquefasciatus,515,1959,5
Arizona,04,Maricopa,013,2015,8,CO2,Culex tarsalis,97,261,1
Arizona,04,Maricopa,013,2015,9,CO2,Culex quinquefasciatus,784,3603,7
Arizona,04,Maricopa,013,2015,9,CO2,Culex tarsalis,187,929,1
Arizona,04,Maricopa,013,2015,10,CO2,Culex quinquefasciatus,1178,6411,2
Arizona,04,Maricopa,013,2015,10,CO2,Culex tarsalis,286,1308,1
Arizona,04,Maricopa,013,2015,11,CO2,Culex quinquefasciatus,536,2413,0
Arizona,04,Maricopa,013,2015,11,CO2,Culex tarsalis,42,73,0
Arizona,04,Maricopa,013,2015,12,CO2,Culex quinquefasciatus,103,216,0
Arizona,04,Maricopa,013,2015,12,CO2,Culex tarsalis,10,15,0
Arizona,04,Maricopa,013,2016,1,CO2,Culex quinquefasciatus,76,111,0
Arizona,04,Maricopa,013,2016,1,CO2,Culex tarsalis,59,91,0
Arizona,04,Maricopa,013,2016,2,CO2,Culex quinquefasciatus,237,478,0
Arizona,04,Maricopa,013,2016,2,CO2,Culex tarsalis,171,426,0
Arizona,04,Maricopa,013,2016,3,CO2,Culex quinquefasciatus,786,2555,0
Arizona,04,Maricopa,013,2016,3,CO2,Culex tarsalis,420,2150,0
Arizona,04,Maricopa,013,2016,4,BGS,Culex quinquefasciatus,1,2,0
Arizona,04,Maricopa,013,2016,4,CO2,Culex quinquefasciatus,845,2911,0
Arizona,04,Maricopa,013,2016,4,CO2,Culex tarsalis,284,2027,1
Arizona,04,Maricopa,013,2016,5,BGS,Culex quinquefasciatus,3,22,0
Arizona,04,Maricopa,013,2016,5,CO2,Culex quinquefasciatus,801,3643,2
Arizona,04,Maricopa,013,2016,5,CO2,Culex tarsalis,148,2375,2
Arizona,04,Maricopa,013,2016,6,BGS,Culex quinquefasciatus,4,10,0
Arizona,04,Maricopa,013,2016,6,CO2,Culex quinquefasciatus,685,4029,21
Arizona,04,Maricopa,013,2016,6,CO2,Culex tarsalis,132,1661,10
Arizona,04,Maricopa,013,2016,7,BGS,Culex quinquefasciatus,5,7,0
Arizona,04,Maricopa,013,2016,7,CO2,Culex quinquefasciatus,540,2463,15
Arizona,04,Maricopa,013,2016,7,CO2,Culex tarsalis,86,493,7
Arizona,04,Maricopa,013,2016,8,BGS,Culex quinquefasciatus,8,28,0
Arizona,04,Maricopa,013,2016,8,BGS,Culex tarsalis,1,2,0
Arizona,04,Maricopa,013,2016,8,CO2,Culex quinquefasciatus,824,3193,10
Arizona,04,Maricopa,013,2016,8,CO2,Culex tarsalis,154,659,3
Arizona,04,Maricopa,013,2016,9,BGS,Culex quinquefasciatus,10,54,0
Arizona,04,Maricopa,013,2016,9,BGS,Culex tarsalis,1,1,0
Arizona,04,Maricopa,013,2016,9,CO2,Culex quinquefasciatus,1113,3976,18
Arizona,04,Maricopa,013,2016,9,CO2,Culex tarsalis,198,1515,4
Arizona,04,Maricopa,013,2016,10,BGS,Culex quinquefasciatus,6,10,0
Arizona,04,Maricopa,013,2016,10,CO2,Culex quinquefasciatus,1143,4914,10
Arizona,04,Maricopa,013,2016,10,CO2,Culex tarsalis,304,1384,7
Arizona,04,Maricopa,013,2016,11,BGS,Culex quinquefasciatus,5,11,0
Arizona,04,Maricopa,013,2016,11,CO2,Culex quinquefasciatus,827,3106,3
Arizona,04,Maricopa,013,2016,11,CO2,Culex tarsalis,103,256,0
Arizona,04,Maricopa,013,2016,12,BGS,Culex quinquefasciatus,1,1,0
Arizona,04,Maricopa,013,2016,12,CO2,Culex quinquefasciatus,380,953,0
Arizona,04,Maricopa,013,2016,12,CO2,Culex tarsalis,31,90,0
Arizona,04,Maricopa,013,2017,1,BGS,Culex quinquefasciatus,2,2,0
Arizona,04,Maricopa,013,2017,1,CO2,Culex quinquefasciatus,173,291,0
Arizona,04,Maricopa,013,2017,1,CO2,Culex tarsalis,27,90,0
Arizona,04,Maricopa,013,2017,2,CO2,Culex quinquefasciatus,614,1471,0
Arizona,04,Maricopa,013,2017,2,CO2,Culex tarsalis,146,584,0
Arizona,04,Maricopa,013,2017,3,BGS,Culex quinquefasciatus,4,6,0
Arizona,04,Maricopa,013,2017,3,BGS,Culex tarsalis,2,2,0
Arizona,04,Maricopa,013,2017,3,CO2,Culex quinquefasciatus,1172,4370,0
Arizona,04,Maricopa,013,2017,3,CO2,Culex tarsalis,315,2914,0
Arizona,04,Maricopa,013,2017,4,BGS,Culex quinquefasciatus,9,36,0
Arizona,04,Maricopa,013,2017,4,BGS,Culex tarsalis,1,1,0
Arizona,04,Maricopa,013,2017,4,CO2,Culex quinquefasciatus,1224,6899,1
Arizona,04,Maricopa,013,2017,4,CO2,Culex tarsalis,268,2637,0
Arizona,04,Maricopa,013,2017,5,BGS,Culex quinquefasciatus,8,15,0
Arizona,04,Maricopa,013,2017,5,BGS,Culex tarsalis,1,1,0
Arizona,04,Maricopa,013,2017,5,CO2,Culex quinquefasciatus,1023,4876,12
Arizona,04,Maricopa,013,2017,5,CO2,Culex tarsalis,140,1220,1
Arizona,04,Maricopa,013,2017,6,BGS,Culex quinquefasciatus,8,12,0
Arizona,04,Maricopa,013,2017,6,BGS,Culex tarsalis,2,2,0
Arizona,04,Maricopa,013,2017,6,CO2,Culex quinquefasciatus,807,2996,31
Arizona,04,Maricopa,013,2017,6,CO2,Culex tarsalis,117,845,7
Arizona,04,Maricopa,013,2017,7,BGS,Culex quinquefasciatus,3,4,0
Arizona,04,Maricopa,013,2017,7,CO2,Culex quinquefasciatus,503,1823,10
Arizona,04,Maricopa,013,2017,7,CO2,Culex tarsalis,84,403,5
Arizona,04,Maricopa,013,2017,8,BGS,Culex quinquefasciatus,55,137,1
Arizona,04,Maricopa,013,2017,8,BGS,Culex tarsalis,22,47,3
Arizona,04,Maricopa,013,2017,8,CO2,Culex quinquefasciatus,1618,10595,91
Arizona,04,Maricopa,013,2017,8,CO2,Culex tarsalis,435,1831,15
Arizona,04,Maricopa,013,2017,9,BGS,Culex quinquefasciatus,2,2,0
Arizona,04,Maricopa,013,2017,9,BGS,Culex tarsalis,3,4,0
Arizona,04,Maricopa,013,2017,9,CO2,Culex quinquefasciatus,1108,4213,26
Arizona,04,Maricopa,013,2017,9,CO2,Culex tarsalis,454,2474,13
Arizona,04,Maricopa,013,2017,10,BGS,Culex quinquefasciatus,2,3,0
Arizona,04,Maricopa,013,2017,10,BGS,Culex tarsalis,1,2,0
Arizona,04,Maricopa,013,2017,10,CO2,Culex quinquefasciatus,919,3287,2
Arizona,04,Maricopa,013,2017,10,CO2,Culex tarsalis,572,5022,9
Arizona,04,Maricopa,013,2017,11,BGS,Culex quinquefasciatus,3,4,0
Arizona,04,Maricopa,013,2017,11,CO2,Culex quinquefasciatus,785,3156,1
Arizona,04,Maricopa,013,2017,11,CO2,Culex tarsalis,177,845,0
Arizona,04,Maricopa,013,2017,12,CO2,Culex quinquefasciatus,349,839,0
Arizona,04,Maricopa,013,2017,12,CO2,Culex tarsalis,26,48,0
Arizona,04,Maricopa,013,2018,1,BGS,Culex quinquefasciatus,5,9,0
Arizona,04,Maricopa,013,2018,1,BGS,Culex tarsalis,1,1,0
Arizona,04,Maricopa,013,2018,1,CO2,Culex quinquefasciatus,423,1219,1
Arizona,04,Maricopa,013,2018,1,CO2,Culex tarsalis,121,361,1
Arizona,04,Maricopa,013,2018,2,BGS,Culex quinquefasciatus,4,5,0
Arizona,04,Maricopa,013,2018,2,BGS,Culex tarsalis,1,1,0
Arizona,04,Maricopa,013,2018,2,CO2,Culex quinquefasciatus,495,1626,0
Arizona,04,Maricopa,013,2018,2,CO2,Culex tarsalis,141,662,0
Arizona,04,Maricopa,013,2018,3,BGS,Culex quinquefasciatus,4,15,1
Arizona,04,Maricopa,013,2018,3,CO2,Culex quinquefasciatus,1011,3969,2
Arizona,04,Maricopa,013,2018,3,CO2,Culex tarsalis,364,2045,1
Arizona,04,Maricopa,013,2018,4,BGS,Culex quinquefasciatus,14,86,0
Arizona,04,Maricopa,013,2018,4,BGS,Culex tarsalis,1,1,0
Arizona,04,Maricopa,013,2018,4,CO2,Culex quinquefasciatus,1022,3351,1
Arizona,04,Maricopa,013,2018,4,CO2,Culex tarsalis,312,2176,0
Arizona,04,Maricopa,013,2018,5,BGS,Culex quinquefasciatus,16,46,0
Arizona,04,Maricopa,013,2018,5,BGS,Culex tarsalis,1,1,0
Arizona,04,Maricopa,013,2018,5,CO2,Culex quinquefasciatus,940,2615,0
Arizona,04,Maricopa,013,2018,5,CO2,Culex tarsalis,349,1659,0
Arizona,04,Maricopa,013,2018,6,BGS,Culex quinquefasciatus,15,67,0
Arizona,04,Maricopa,013,2018,6,BGS,Culex tarsalis,3,5,0
Arizona,04,Maricopa,013,2018,6,CO2,Culex quinquefasciatus,701,2084,5
Arizona,04,Maricopa,013,2018,6,CO2,Culex tarsalis,273,1410,8
Arizona,04,Maricopa,013,2018,7,BGS,Culex quinquefasciatus,6,16,0
Arizona,04,Maricopa,013,2018,7,BGS,Culex tarsalis,1,2,0
Arizona,04,Maricopa,013,2018,7,CO2,Culex quinquefasciatus,842,3486,14
Arizona,04,Maricopa,013,2018,7,CO2,Culex tarsalis,219,1126,9
Arizona,04,Maricopa,013,2018,8,BGS,Culex quinquefasciatus,11,35,0
Arizona,04,Maricopa,013,2018,8,CO2,Culex quinquefasciatus,1274,5744,18
Arizona,04,Maricopa,013,2018,8,CO2,Culex tarsalis,268,1462,5
Arizona,04,Maricopa,013,2018,9,BGS,Culex quinquefasciatus,12,50,1
Arizona,04,Maricopa,013,2018,9,BGS,Culex tarsalis,2,3,0
Arizona,04,Maricopa,013,2018,9,CO2,Culex quinquefasciatus,1276,6611,43
Arizona,04,Maricopa,013,2018,9,CO2,Culex tarsalis,525,3345,14
Arizona,04,Maricopa,013,2018,10,BGS,Culex quinquefasciatus,10,27,0
Arizona,04,Maricopa,013,2018,10,BGS,Culex tarsalis,1,2,0
Arizona,04,Maricopa,013,2018,10,CO2,Culex quinquefasciatus,1371,6542,9
Arizona,04,Maricopa,013,2018,10,CO2,Culex tarsalis,479,3268,1
Arizona,04,Maricopa,013,2018,11,BGS,Culex quinquefasciatus,18,77,0
Arizona,04,Maricopa,013,2018,11,BGS,Culex tarsalis,2,5,0
Arizona,04,Maricopa,013,2018,11,CO2,Culex quinquefasciatus,1651,8056,8
Arizona,04,Maricopa,013,2018,11,CO2,Culex tarsalis,179,1269,0
Arizona,04,Maricopa,013,2018,12,BGS,Culex quinquefasciatus,4,5,0
Arizona,04,Maricopa,013,2018,12,CO2,Culex quinquefasciatus,544,1610,0
Arizona,04,Maricopa,013,2018,12,CO2,Culex tarsalis,65,338,0
Arizona,04,Maricopa,013,2019,1,BGS,Culex quinquefasciatus,3,4,0
Arizona,04,Maricopa,013,2019,1,CO2,Culex quinquefasciatus,371,1042,0
Arizona,04,Maricopa,013,2019,1,CO2,Culex tarsalis,355,1159,0
Arizona,04,Maricopa,013,2019,2,BGS,Culex quinquefasciatus,2,2,0
Arizona,04,Maricopa,013,2019,2,CO2,Culex quinquefasciatus,223,642,0
Arizona,04,Maricopa,013,2019,2,CO2,Culex tarsalis,332,805,0
Arizona,04,Maricopa,013,2019,3,BGS,Culex quinquefasciatus,1,1,0
Arizona,04,Maricopa,013,2019,3,CO2,Culex quinquefasciatus,806,3368,0
Arizona,04,Maricopa,013,2019,3,CO2,Culex tarsalis,888,5350,1
Arizona,04,Maricopa,013,2019,4,BGS,Culex quinquefasciatus,3,4,0
Arizona,04,Maricopa,013,2019,4,CO2,Culex quinquefasciatus,1026,4325,2
Arizona,04,Maricopa,013,2019,4,CO2,Culex tarsalis,1073,9833,13
Arizona,04,Maricopa,013,2019,5,BGS,Culex quinquefasciatus,12,26,1
Arizona,04,Maricopa,013,2019,5,CO2,Culex quinquefasciatus,1680,8838,108
Arizona,04,Maricopa,013,2019,5,CO2,Culex tarsalis,525,5362,42
Arizona,04,Maricopa,013,2019,6,BGS,Culex quinquefasciatus,10,35,2
Arizona,04,Maricopa,013,2019,6,CO2,Culex quinquefasciatus,1002,5570,120
Arizona,04,Maricopa,013,2019,6,CO2,Culex tarsalis,273,3444,51
Arizona,04,Maricopa,013,2019,7,BGS,Culex quinquefasciatus,2,2,0
Arizona,04,Maricopa,013,2019,7,CO2,Culex quinquefasciatus,591,2223,35
Arizona,04,Maricopa,013,2019,7,CO2,Culex tarsalis,232,1102,16
Arizona,04,Maricopa,013,2019,8,BGS,Culex quinquefasciatus,2,2,0
Arizona,04,Maricopa,013,2019,8,CO2,Culex quinquefasciatus,867,3435,37
Arizona,04,Maricopa,013,2019,8,CO2,Culex tarsalis,310,1315,13
Arizona,04,Maricopa,013,2019,9,BGS,Culex quinquefasciatus,4,4,0
Arizona,04,Maricopa,013,2019,9,CO2,Culex quinquefasciatus,775,2528,0
Arizona,04,Maricopa,013,2019,9,CO2,Culex tarsalis,402,1680,0
Arizona,04,Maricopa,013,2019,10,BGS,Culex quinquefasciatus,10,37,0
Arizona,04,Maricopa,013,2019,10,CO2,Culex quinquefasciatus,1551,7267,2
Arizona,04,Maricopa,013,2019,10,CO2,Culex tarsalis,1045,8349,0
Arizona,04,Maricopa,013,2019,11,BGS,Culex quinquefasciatus,7,19,0
Arizona,04,Maricopa,013,2019,11,CO2,Culex quinquefasciatus,869,3097,0
Arizona,04,Maricopa,013,2019,11,CO2,Culex tarsalis,165,511,0
Arizona,04,Maricopa,013,2019,12,BGS,Culex quinquefasciatus,1,1,0
Arizona,04,Maricopa,013,2019,12,CO2,Culex quinquefasciatus,270,646,0
Arizona,04,Maricopa,013,2019,12,CO2,Culex tarsalis,65,105,0
Arizona,04,Maricopa,013,2020,1,BGS,Culex quinquefasciatus,6,7,0
Arizona,04,Maricopa,013,2020,1,CO2,Culex quinquefasciatus,274,572,0
Arizona,04,Maricopa,013,2020,1,CO2,Culex tarsalis,217,447,0
Arizona,04,Maricopa,013,2020,2,BGS,Culex quinquefasciatus,6,8,0
Arizona,04,Maricopa,013,2020,2,CO2,Culex quinquefasciatus,447,973,0
Arizona,04,Maricopa,013,2020,2,CO2,Culex tarsalis,179,625,0
Arizona,04,Maricopa,013,2020,3,BGS,Culex quinquefasciatus,6,24,0
Arizona,04,Maricopa,013,2020,3,BGS,Culex tarsalis,1,1,0
Arizona,04,Maricopa,013,2020,3,CO2,Culex quinquefasciatus,990,3931,0
Arizona,04,Maricopa,013,2020,3,CO2,Culex tarsalis,583,2274,0
Arizona,04,Maricopa,013,2020,4,BGS,Culex quinquefasciatus,16,81,0
Arizona,04,Maricopa,013,2020,4,BGS,Culex tarsalis,1,1,0
Arizona,04,Maricopa,013,2020,4,CO2,Culex quinquefasciatus,1548,7873,0
Arizona,04,Maricopa,013,2020,4,CO2,Culex tarsalis,630,6484,0
Arizona,04,Maricopa,013,2020,5,BGS,Culex quinquefasciatus,19,135,0
Arizona,04,Maricopa,013,2020,5,BGS,Culex tarsalis,1,2,0
Arizona,04,Maricopa,013,2020,5,CO2,Culex quinquefasciatus,1355,7016,0
Arizona,04,Maricopa,013,2020,5,CO2,Culex tarsalis,496,4733,0
Arizona,04,Maricopa,013,2020,6,BGS,Culex quinquefasciatus,5,6,0
Arizona,04,Maricopa,013,2020,6,CO2,Culex quinquefasciatus,839,2897,0
Arizona,04,Maricopa,013,2020,6,CO2,Culex tarsalis,238,1897,1
Arizona,04,Maricopa,013,2020,7,BGS,Culex quinquefasciatus,1,1,0
Arizona,04,Maricopa,013,2020,7,BGS,Culex tarsalis,1,2,0
Arizona,04,Maricopa,013,2020,7,CO2,Culex quinquefasciatus,594,2432,1
Arizona,04,Maricopa,013,2020,7,CO2,Culex tarsalis,226,1348,6
Arizona,04,Maricopa,013,2020,8,BGS,Culex quinquefasciatus,2,3,0
Arizona,04,Maricopa,013,2020,8,CO2,Culex quinquefasciatus,496,1739,2
Arizona,04,Maricopa,013,2020,8,CO2,Culex tarsalis,187,554,0
Arizona,04,Maricopa,013,2020,9,BGS,Culex quinquefasciatus,1,1,0
Arizona,04,Maricopa,013,2020,9,CO2,Culex quinquefasciatus,888,3660,0
Arizona,04,Maricopa,013,2020,9,CO2,Culex tarsalis,430,1913,2
Arizona,04,Maricopa,013,2020,10,BGS,Culex quinquefasciatus,3,3,0
Arizona,04,Maricopa,013,2020,10,CO2,Culex quinquefasciatus,898,2781,0
Arizona,04,Maricopa,013,2020,10,CO2,Culex tarsalis,494,2013,0
Arizona,04,Maricopa,013,2020,11,BGS,Culex quinquefasciatus,1,1,0
Arizona,04,Maricopa,013,2020,11,CO2,Culex quinquefasciatus,628,1589,0
Arizona,04,Maricopa,013,2020,11,CO2,Culex tarsalis,130,268,0
Arizona,04,Maricopa,013,2020,12,CO2,Culex quinquefasciatus,183,313,0
Arizona,04,Maricopa,013,2020,12,CO2,Culex tarsalis,34,53,0
Arizona,04,Maricopa,013,2021,1,CO2,Culex quinquefasciatus,125,234,0
Arizona,04,Maricopa,013,2021,1,CO2,Culex tarsalis,55,103,0
Arizona,04,Maricopa,013,2021,2,CO2,Culex quinquefasciatus,323,678,0
Arizona,04,Maricopa,013,2021,2,CO2,Culex tarsalis,126,1463,0
Arizona,04,Maricopa,013,2021,3,BGS,Culex quinquefasciatus,1,1,0
Arizona,04,Maricopa,013,2021,3,CO2,Culex quinquefasciatus,876,2596,0
Arizona,04,Maricopa,013,2021,3,CO2,Culex tarsalis,326,5246,0
Arizona,04,Maricopa,013,2021,4,BGS,Culex quinquefasciatus,18,57,0
Arizona,04,Maricopa,013,2021,4,CO2,Culex quinquefasciatus,1241,4064,1
Arizona,04,Maricopa,013,2021,4,CO2,Culex tarsalis,270,3599,0
Arizona,04,Maricopa,013,2021,5,BGS,Culex quinquefasciatus,8,44,0
Arizona,04,Maricopa,013,2021,5,CO2,Culex quinquefasciatus,850,3133,6
Arizona,04,Maricopa,013,2021,5,CO2,Culex tarsalis,103,1395,0
Arizona,04,Maricopa,013,2021,6,BGS,Culex quinquefasciatus,6,28,0
Arizona,04,Maricopa,013,2021,6,CO2,Culex quinquefasciatus,737,3149,30
Arizona,04,Maricopa,013,2021,6,CO2,Culex tarsalis,144,737,8
Arizona,04,Maricopa,013,2021,7,BGS,Culex quinquefasciatus,1,3,0
Arizona,04,Maricopa,013,2021,7,CO2,Culex quinquefasciatus,954,3642,27
Arizona,04,Maricopa,013,2021,7,CO2,Culex tarsalis,163,498,9
Arizona,04,Maricopa,013,2021,8,BGS,Culex quinquefasciatus,12,65,1
Arizona,04,Maricopa,013,2021,8,BGS,Culex tarsalis,1,2,0
Arizona,04,Maricopa,013,2021,8,CO2,Culex quinquefasciatus,1874,10538,215
Arizona,04,Maricopa,013,2021,8,CO2,Culex tarsalis,866,3962,91
Arizona,04,Maricopa,013,2021,9,BGS,Culex quinquefasciatus,13,47,0
Arizona,04,Maricopa,013,2021,9,BGS,Culex tarsalis,4,4,0
Arizona,04,Maricopa,013,2021,9,CO2,Culex quinquefasciatus,1821,9905,190
Arizona,04,Maricopa,013,2021,9,CO2,Culex tarsalis,1504,8050,177
Arizona,04,Maricopa,013,2021,10,BGS,Culex quinquefasciatus,12,28,0
Arizona,04,Maricopa,013,2021,10,BGS,Culex tarsalis,2,2,0
Arizona,04,Maricopa,013,2021,10,CO2,Culex quinquefasciatus,1243,4341,22
Arizona,04,Maricopa,013,2021,10,CO2,Culex tarsalis,1001,2897,37
Arizona,04,Maricopa,013,2021,11,BGS,Culex quinquefasciatus,7,17,0
Arizona,04,Maricopa,013,2021,11,CO2,Culex quinquefasciatus,1001,3332,3
Arizona,04,Maricopa,013,2021,11,CO2,Culex tarsalis,401,754,5
Arizona,04,Maricopa,013,2021,12,CO2,Culex quinquefasciatus,319,801,0
Arizona,04,Maricopa,013,2021,12,CO2,Culex tarsalis,109,129,0
Arizona,04,Maricopa,013,2022,1,BGS,Culex quinquefasciatus,1,1,0
Arizona,04,Maricopa,013,2022,1,CO2,Culex quinquefasciatus,217,405,0
Arizona,04,Maricopa,013,2022,1,CO2,Culex tarsalis,297,455,0
Arizona,04,Maricopa,013,2022,2,CO2,Culex quinquefasciatus,275,523,0
Arizona,04,Maricopa,013,2022,2,CO2,Culex tarsalis,312,712,0
Arizona,04,Maricopa,013,2022,3,BGS,Culex quinquefasciatus,6,9,0
Arizona,04,Maricopa,013,2022,3,CO2,Culex quinquefasciatus,589,2098,1
Arizona,04,Maricopa,013,2022,3,CO2,Culex tarsalis,507,2680,0
Arizona,04,Maricopa,013,2022,4,BGS,Culex quinquefasciatus,13,82,0
Arizona,04,Maricopa,013,2022,4,BGS,Culex tarsalis,1,1,0
Arizona,04,Maricopa,013,2022,4,CO2,Culex quinquefasciatus,873,3999,0
Arizona,04,Maricopa,013,2022,4,CO2,Culex tarsalis,620,3447,0
Arizona,04,Maricopa,013,2022,5,BGS,Culex quinquefasciatus,16,148,0
Arizona,04,Maricopa,013,2022,5,BGS,Culex tarsalis,3,4,0
Arizona,04,Maricopa,013,2022,5,CO2,Culex quinquefasciatus,922,4640,0
Arizona,04,Maricopa,013,2022,5,CO2,Culex tarsalis,407,3163,1
Arizona,04,Maricopa,013,2022,6,CO2,Culex quinquefasciatus,842,5477,2
Arizona,04,Maricopa,013,2022,6,CO2,Culex tarsalis,290,2073,2
Arizona,04,Maricopa,013,2022,7,BGS,Culex quinquefasciatus,7,20,0
Arizona,04,Maricopa,013,2022,7,BGS,Culex tarsalis,3,7,0
Arizona,04,Maricopa,013,2022,7,CO2,Culex quinquefasciatus,648,6795,2
Arizona,04,Maricopa,013,2022,7,CO2,Culex tarsalis,221,3710,1
Arizona,04,Maricopa,013,2022,8,BGS,Culex quinquefasciatus,14,46,0
Arizona,04,Maricopa,013,2022,8,BGS,Culex tarsalis,4,7,0
Arizona,04,Maricopa,013,2022,8,CO2,Culex quinquefasciatus,1603,18585,9
Arizona,04,Maricopa,013,2022,8,CO2,Culex tarsalis,614,3710,6
Arizona,04,Maricopa,013,2022,9,BGS,Culex quinquefasciatus,8,22,0
Arizona,04,Maricopa,013,2022,9,BGS,Culex tarsalis,3,6,0
Arizona,04,Maricopa,013,2022,9,CO2,Culex quinquefasciatus,1370,10865,14
Arizona,04,Maricopa,013,2022,9,CO2,Culex tarsalis,974,6280,8
Arizona,04,Maricopa,013,2022,10,BGS,Culex quinquefasciatus,10,24,0
Arizona,04,Maricopa,013,2022,10,BGS,Culex tarsalis,5,6,0
Arizona,04,Maricopa,013,2022,10,CO2,Culex quinquefasciatus,1326,5346,2
Arizona,04,Maricopa,013,2022,10,CO2,Culex tarsalis,1141,4856,11
Arizona,04,Maricopa,013,2022,11,BGS,Culex quinquefasciatus,7,11,0
Arizona,04,Maricopa,013,2022,11,CO2,Culex quinquefasciatus,796,2440,0
Arizona,04,Maricopa,013,2022,11,CO2,Culex tarsalis,200,311,2
Arizona,04,Maricopa,013,2022,12,BGS,Culex quinquefasciatus,2,2,0
Arizona,04,Maricopa,013,2022,12,BGS,Culex tarsalis,1,1,0
Arizona,04,Maricopa,013,2022,12,CO2,Culex quinquefasciatus,157,298,0
Arizona,04,Maricopa,013,2022,12,CO2,Culex tarsalis,74,89,0
Arizona,04,Maricopa,013,2023,1,BGS,Culex quinquefasciatus,1,1,0
Arizona,04,Maricopa,013,2023,1,CO2,Culex quinquefasciatus,105,156,0
