,XGBoost_weather,XGBoost_census,XGBoost_temporal
2020-10,0.0017487477,0.04222258,0.04720708
2020-11,0.0017487477,0.04222258,0.04306727
2020-12,0.0017487477,0.04222258,0.04306727
2021-01,0.0017487477,0.04222258,0.04306727
2021-02,0.0017487477,0.04222258,0.04306727
2021-03,0.0017487477,0.04222258,0.04306727
2021-04,0.0017487477,0.04222258,0.04306727
2021-05,0.0017487477,0.04222258,0.04306727
2021-06,0.0017487477,0.04222258,0.04306727
2021-07,0.0017487477,0.04222258,0.04306727
2021-08,0.0017487477,0.04222258,0.28561914
2021-09,0.0017487477,0.04222258,0.04720708
2021-10,0.99153167,0.04222258,0.04720708
2021-11,0.0017487477,0.04222258,0.04306727
2021-12,0.0017487477,0.04222258,0.04306727
2022-01,0.0017487477,0.04222258,0.04306727
2022-02,0.0017487477,0.04222258,0.04306727
2022-03,0.0017487477,0.04222258,0.04306727
2022-04,0.0017487477,0.04222258,0.04306727
2022-05,0.0017487477,0.04222258,0.04306727
2022-06,0.0017487477,0.04222258,0.04306727
2022-07,0.0017487477,0.04222258,0.04306727
2022-08,0.0017487477,0.04222258,0.28561914
2022-09,0.0017487477,0.04222258,0.04720708
2022-10,0.0017487477,0.04222258,0.04720708
2022-11,0.0017487477,0.04222258,0.04306727
2022-12,0.0017487477,0.04222258,0.04306727
2023-01,0.0017487477,0.04222258,0.04306727
2023-02,0.0017487477,0.04222258,0.04306727
2023-03,0.0017487477,0.04222258,0.04306727
2023-04,0.0017487477,0.04222258,0.04306727
