year,month,statefp,countyfp,rate/trap_night
2003,10,34,31,0.0
2003,10,34,33,1.6854838709677418
2003,10,34,35,0.3467741935483871
2003,10,34,37,0.3763440860215053
2003,11,6,7,1.9168970814132105
2003,11,6,37,19.942689075630252
2003,11,6,65,109.23712288724853
2003,11,6,67,3.959720526387193
2003,11,6,85,0.2467532467532466
2003,11,6,99,1.2285714285714286
2003,11,6,101,2.183673469387755
2003,11,6,113,2.861439312567132
2003,11,6,115,0.1428571428571428
2003,12,6,37,32.04224250325945
2003,12,6,65,37.9
2003,12,6,67,1.062686156697456
2003,12,6,89,0.0
2003,12,6,113,0.7904247104247103
2004,1,6,37,48.505488505747124
2004,1,6,65,140.95
2004,1,6,67,0.4497174243536171
2004,1,6,113,0.5724489795918366
2004,2,6,37,9.037288135593219
2004,2,6,65,60.58730158730158
2004,2,6,67,0.8767341975801364
2004,2,6,113,0.4678571428571428
2004,3,6,37,15.818370713107557
2004,3,6,61,0.5
2004,3,6,65,294.19642857142856
2004,3,6,67,1.8357111102643242
2004,3,6,99,0.3814589665653495
2004,3,6,113,1.301104154809334
2004,4,6,7,0.6435185185185184
2004,4,6,29,22.040563837339008
2004,4,6,37,38.56157693604586
2004,4,6,61,86.0
2004,4,6,65,244.630778763605
2004,4,6,67,56.61961057759089
2004,4,6,85,0.2796352583586625
2004,4,6,89,0.97165991902834
2004,4,6,99,1.5955473098330242
2004,4,6,101,0.8313432835820895
2004,4,6,113,23.049180327868854
2004,4,6,115,0.9021479713603817
2004,4,34,21,0.0
2004,4,34,33,0.0
2004,5,6,7,3.4160125588697015
2004,5,6,29,26.887858535226954
2004,5,6,37,87.3729789274069
2004,5,6,61,107.85714285714286
2004,5,6,65,392.3706563706564
2004,5,6,67,49.35534319268604
2004,5,6,85,0.4810495626822156
2004,5,6,89,1.503968253968254
2004,5,6,99,3.593692022263451
2004,5,6,101,0.9248120300751879
2004,5,6,113,36.87148343159819
2004,5,6,115,0.7882653061224488
2004,5,34,1,0.8250000000000001
2004,5,34,3,0.72
2004,5,34,7,0.31
2004,5,34,9,7.033333333333333
2004,5,34,11,2.9415584415584415
2004,5,34,13,0.2688172043010752
2004,5,34,15,25.7
2004,5,34,17,0.0
2004,5,34,19,0.0
2004,5,34,21,0.5935483870967742
2004,5,34,23,0.5098039215686274
2004,5,34,25,1.9032258064516128
2004,5,34,27,0.0
2004,5,34,29,0.1096774193548387
2004,5,34,31,0.0
2004,5,34,33,0.6129032258064515
2004,5,34,35,1.8375
2004,5,34,37,1.5333333333333334
2004,6,6,7,25.878511404561824
2004,6,6,29,95.16106266921484
2004,6,6,37,76.73078431893452
2004,6,6,61,244.11559139784944
2004,6,6,65,197.28715418353576
2004,6,6,67,132.9930328750286
2004,6,6,85,0.3768115942028984
2004,6,6,89,3.4621359223300967
2004,6,6,99,59.79940476190477
2004,6,6,101,35.19428571428571
2004,6,6,113,420.80790065894075
2004,6,6,115,17.042857142857144
2004,6,34,1,2.9166666666666665
2004,6,34,3,3.38
2004,6,34,7,4.121621621621622
2004,6,34,9,23.08333333333333
2004,6,34,11,12.733333333333334
2004,6,34,13,1.0555555555555556
2004,6,34,15,35.4
2004,6,34,17,3.6666666666666665
2004,6,34,19,0.7111111111111111
2004,6,34,21,2.0933333333333333
2004,6,34,23,1.6
2004,6,34,25,6.66
2004,6,34,27,0.1466666666666666
2004,6,34,29,1.2066666666666666
2004,6,34,31,0.5666666666666667
2004,6,34,33,6.125
2004,6,34,35,5.116666666666666
2004,6,34,37,7.288888888888889
2004,7,6,7,41.87401215805471
2004,7,6,29,156.13038327526132
2004,7,6,37,112.90212404817112
2004,7,6,61,825.9393939393939
2004,7,6,65,90.19146259146258
2004,7,6,67,141.50059992312063
2004,7,6,77,21.0
2004,7,6,85,0.64010989010989
2004,7,6,89,11.1303074670571
2004,7,6,99,45.02671755725191
2004,7,6,101,47.73623188405797
2004,7,6,113,726.6403041456197
2004,7,6,115,28.021164021164022
2004,7,34,1,1.3870967741935483
2004,7,34,3,3.2193548387096773
2004,7,34,7,2.6129032258064515
2004,7,34,9,43.10215053763441
2004,7,34,11,13.851851851851853
2004,7,34,13,0.4835164835164835
2004,7,34,15,31.266129032258064
2004,7,34,17,6.387096774193548
2004,7,34,19,0.2222222222222221
2004,7,34,21,2.3419354838709676
2004,7,34,23,1.7526881720430108
2004,7,34,25,3.8258064516129036
2004,7,34,27,0.2903225806451613
2004,7,34,29,0.6903225806451613
2004,7,34,31,0.6129032258064516
2004,7,34,33,12.39516129032258
2004,7,34,35,1.7741935483870968
2004,7,34,37,0.0
2004,8,6,7,23.514296157059313
2004,8,6,29,156.87879582677624
2004,8,6,37,60.68535438827024
2004,8,6,61,498.20402298850576
2004,8,6,65,38.750135281385276
2004,8,6,67,75.08476563445488
2004,8,6,85,1.0980392156862746
2004,8,6,89,8.205479452054794
2004,8,6,99,79.27499999999999
2004,8,6,101,8.938242280285035
2004,8,6,113,157.15193055198645
2004,8,6,115,5.714285714285714
2004,8,34,1,2.3306451612903225
2004,8,34,3,6.741935483870968
2004,8,34,7,1.1935483870967742
2004,8,34,9,20.688172043010752
2004,8,34,11,35.489510489510494
2004,8,34,13,0.4623655913978494
2004,8,34,15,28.387096774193548
2004,8,34,17,3.2580645161290325
2004,8,34,19,1.120481927710843
2004,8,34,21,2.92258064516129
2004,8,34,23,7.010752688172043
2004,8,34,25,3.9419354838709677
2004,8,34,27,1.735483870967742
2004,8,34,29,0.6193548387096773
2004,8,34,31,0.7419354838709677
2004,8,34,33,22.81730769230769
2004,8,34,35,3.1693548387096775
2004,8,34,37,0.0
2004,9,6,7,21.02165207673682
2004,9,6,29,145.16632392948182
2004,9,6,37,41.494714629373874
2004,9,6,61,147.66417910447763
2004,9,6,65,68.71019422261658
2004,9,6,67,224.1257951320874
2004,9,6,85,3.2928571428571427
2004,9,6,89,5.657894736842105
2004,9,6,99,75.37925537176137
2004,9,6,101,4.896103896103896
2004,9,6,113,126.42137836462105
2004,9,6,115,2.7397959183673466
2004,9,34,1,1.9083333333333332
2004,9,34,3,5.546666666666667
2004,9,34,7,2.62
2004,9,34,9,3.5555555555555554
2004,9,34,11,10.84
2004,9,34,13,0.4222222222222221
2004,9,34,15,7.883333333333334
2004,9,34,17,4.413793103448277
2004,9,34,19,0.5555555555555556
2004,9,34,21,2.6733333333333333
2004,9,34,23,2.966666666666667
2004,9,34,25,1.3333333333333333
2004,9,34,27,0.8666666666666667
2004,9,34,29,0.6866666666666666
2004,9,34,31,0.9
2004,9,34,33,2.9916666666666667
2004,9,34,35,2.316666666666667
2004,9,34,37,0.0
2004,10,6,7,9.089064161644806
2004,10,6,29,69.29757156423823
2004,10,6,37,30.465625576679642
2004,10,6,61,43.05844155844156
2004,10,6,65,162.79591836734696
2004,10,6,67,40.5370274223443
2004,10,6,77,231.0
2004,10,6,85,0.5416666666666666
2004,10,6,89,1.5390879478827362
2004,10,6,99,37.23369272237196
2004,10,6,101,5.412698412698413
2004,10,6,113,15.525871867734434
2004,10,6,115,1.2125435540069687
2004,10,34,1,0.5564516129032258
2004,10,34,3,1.4129032258064516
2004,10,34,7,0.7741935483870968
2004,10,34,9,0.0
2004,10,34,11,2.1161290322580646
2004,10,34,13,0.043010752688172
2004,10,34,15,0.2661290322580644
2004,10,34,17,1.4838709677419355
2004,10,34,19,0.032258064516129
2004,10,34,21,0.2709677419354839
2004,10,34,23,0.0
2004,10,34,25,0.0
2004,10,34,27,0.0
2004,10,34,29,1.3419354838709676
2004,10,34,31,0.1290322580645161
2004,10,34,33,0.379032258064516
2004,10,34,35,0.1935483870967742
2004,10,34,37,0.0
2004,11,6,7,0.1983471074380164
2004,11,6,37,13.050665456745312
2004,11,6,61,19.333333333333336
2004,11,6,65,35.85367192331478
2004,11,6,67,2.918509789702683
2004,11,6,85,0.257142857142857
2004,11,6,99,1.9823650687800063
2004,11,6,113,0.795269423558897
2004,12,6,37,8.13
2004,12,6,61,35.666666666666664
2004,12,6,65,31.910714285714285
2004,12,6,67,1.2207446808510638
2004,12,6,113,0.16499999999999998
2005,1,6,37,3.1482142857142854
2005,1,6,65,98.2222222222222
2005,1,6,67,0.1656862745098037
2005,1,6,113,0.1302670004171879
2005,2,6,37,3.4214046822742468
2005,2,6,61,0.2608695652173913
2005,2,6,65,89.68969298245614
2005,2,6,67,0.5848575784615826
2005,2,6,113,0.5790639018849032
2005,3,6,29,2.5476190476190474
2005,3,6,37,19.53689600840336
2005,3,6,61,1.5666666666666667
2005,3,6,65,306.908810325477
2005,3,6,67,1.1217912931268674
2005,3,6,99,0.3838709677419355
2005,3,6,113,1.8592071952031977
2005,4,6,7,0.5630252100840335
2005,4,6,29,37.14586253369272
2005,4,6,37,52.885523220130935
2005,4,6,65,388.56697031039135
2005,4,6,67,8.878823014307732
2005,4,6,89,0.2816635160680528
2005,4,6,99,1.4267161410018554
2005,4,6,101,0.3398496240601502
2005,4,6,113,1.2246856583250265
2005,4,6,115,0.48214285714285704
2005,4,34,21,0.0
2005,4,34,33,0.0
2005,5,4,19,0.0
2005,5,6,7,3.5670349550946567
2005,5,6,29,80.16849816849816
2005,5,6,37,132.25260162601626
2005,5,6,65,330.55269526952696
2005,5,6,67,32.1823850707991
2005,5,6,89,0.7291666666666666
2005,5,6,99,46.871228524826805
2005,5,6,101,0.7165932452276063
2005,5,6,113,8.48840203527349
2005,5,6,115,0.8214285714285714
2005,5,34,1,0.6753246753246751
2005,5,34,3,0.44999999999999996
2005,5,34,7,0.43
2005,5,34,9,0.5833333333333334
2005,5,34,11,1.9806451612903224
2005,5,34,13,0.2150537634408602
2005,5,34,15,0.8
2005,5,34,17,2.55
2005,5,34,19,0.0833333333333333
2005,5,34,21,0.2129032258064515
2005,5,34,23,0.4313725490196078
2005,5,34,25,1.2451612903225806
2005,5,34,27,0.0
2005,5,34,29,0.1483870967741935
2005,5,34,31,0.0
2005,5,34,33,0.4677419354838709
2005,5,34,35,1.108695652173913
2005,5,34,37,2.466666666666667
2005,5,49,35,1.8571428571428572
2005,6,6,7,7.887445887445888
2005,6,6,29,169.2111111111111
2005,6,6,37,256.029298484997
2005,6,6,65,202.03725782414307
2005,6,6,67,56.18481442988884
2005,6,6,89,1.722735674676525
2005,6,6,99,172.44342694342694
2005,6,6,101,7.769409038238702
2005,6,6,113,41.185964471995696
2005,6,6,115,2.7265306122448982
2005,6,34,1,0.9749999999999999
2005,6,34,3,2.0733333333333333
2005,6,34,7,2.8199999999999994
2005,6,34,9,9.672222222222222
2005,6,34,11,9.553333333333335
2005,6,34,13,0.7666666666666667
2005,6,34,15,10.891666666666666
2005,6,34,17,15.599999999999998
2005,6,34,19,0.1444444444444444
2005,6,34,21,0.74
2005,6,34,23,0.8777777777777778
2005,6,34,25,2.8866666666666667
2005,6,34,27,0.9133333333333332
2005,6,34,29,0.4999999999999999
2005,6,34,31,0.2
2005,6,34,33,0.3166666666666666
2005,6,34,35,2.6166666666666667
2005,6,34,37,3.9555555555555553
2005,6,49,35,8.83838383838384
2005,7,6,7,27.06018563911495
2005,7,6,29,158.6147542796479
2005,7,6,37,129.17952548837218
2005,7,6,65,41.10465801886792
2005,7,6,67,69.89742570910765
2005,7,6,89,3.079178885630499
2005,7,6,99,58.14193548387097
2005,7,6,101,22.363503649635035
2005,7,6,113,93.20238095238095
2005,7,6,115,9.445012787723785
2005,7,34,1,2.7661290322580645
2005,7,34,3,2.1548387096774193
2005,7,34,7,2.6451612903225805
2005,7,34,9,23.494623655913976
2005,7,34,11,20.064516129032256
2005,7,34,13,0.4408602150537634
2005,7,34,15,6.951612903225806
2005,7,34,17,37.29032258064516
2005,7,34,19,0.3118279569892472
2005,7,34,21,1.335483870967742
2005,7,34,23,1.3763440860215053
2005,7,34,25,1.5999999999999999
2005,7,34,27,1.135483870967742
2005,7,34,29,2.129032258064516
2005,7,34,31,0.0967741935483871
2005,7,34,33,1.1451612903225807
2005,7,34,35,1.0483870967741935
2005,7,34,37,2.311827956989247
2005,7,38,105,55.714285714285715
2005,7,49,35,50.47286821705426
2005,8,6,7,29.178232512966474
2005,8,6,29,132.02379968109608
2005,8,6,37,44.89937156582593
2005,8,6,61,138.93055555555554
2005,8,6,65,40.68291316526611
2005,8,6,67,41.98652429351187
2005,8,6,89,3.1093189964157704
2005,8,6,99,47.471066555277076
2005,8,6,101,10.614857142857142
2005,8,6,113,86.04323351015361
2005,8,6,115,22.925465838509318
2005,8,34,1,2.3629032258064515
2005,8,34,3,1.793548387096774
2005,8,34,7,1.2451612903225806
2005,8,34,9,23.403225806451612
2005,8,34,11,56.122580645161285
2005,8,34,13,0.1397849462365591
2005,8,34,15,12.395161290322582
2005,8,34,17,15.67741935483871
2005,8,34,19,0.2795698924731182
2005,8,34,21,1.5935483870967744
2005,8,34,23,0.7311827956989247
2005,8,34,25,1.2903225806451613
2005,8,34,27,0.4
2005,8,34,29,1.4709677419354839
2005,8,34,33,1.8870967741935485
2005,8,34,35,0.8387096774193549
2005,8,34,37,2.913978494623656
2005,8,38,105,29.142857142857142
2005,8,49,35,65.6969696969697
2005,9,6,7,23.43428184281843
2005,9,6,29,171.01214734364257
2005,9,6,37,31.76802237362768
2005,9,6,61,88.02298850574712
2005,9,6,65,70.1954802259887
2005,9,6,67,34.1669690618473
2005,9,6,89,1.5594713656387664
2005,9,6,99,93.09645989974938
2005,9,6,101,5.422857142857143
2005,9,6,113,156.30996508192317
2005,9,6,115,7.198979591836734
2005,9,34,1,1.4333333333333331
2005,9,34,3,1.5266666666666664
2005,9,34,7,1.5933333333333335
2005,9,34,9,4.683333333333334
2005,9,34,11,10.786666666666667
2005,9,34,15,14.791666666666668
2005,9,34,17,23.366666666666667
2005,9,34,19,0.1444444444444444
2005,9,34,21,1.0466666666666666
2005,9,34,23,0.311111111111111
2005,9,34,25,0.52
2005,9,34,27,0.3066666666666666
2005,9,34,29,0.5466666666666666
2005,9,34,31,0.0333333333333333
2005,9,34,33,4.191666666666667
2005,9,34,35,0.8
2005,9,34,37,1.0666666666666667
2005,9,49,35,23.192771084337352
2005,10,6,7,27.79615316275764
2005,10,6,29,94.7077989090373
2005,10,6,37,44.971229696991394
2005,10,6,61,33.66666666666667
2005,10,6,65,97.84652014652015
2005,10,6,67,24.759177535016583
2005,10,6,89,0.3432494279176201
2005,10,6,99,14.63961038961039
2005,10,6,101,5.379790940766551
2005,10,6,113,52.68073179716676
2005,10,6,115,1.0876623376623376
2005,10,34,1,0.1290322580645159
2005,10,34,3,0.5225806451612903
2005,10,34,7,1.1741935483870969
2005,10,34,9,1.8172043010752688
2005,10,34,11,2.7161290322580642
2005,10,34,13,0.0
2005,10,34,15,0.0
2005,10,34,17,5.0
2005,10,34,19,0.0
2005,10,34,21,0.0
2005,10,34,23,0.0
2005,10,34,25,0.0
2005,10,34,27,0.0
2005,10,34,29,0.06451612903225801
2005,10,34,33,1.3870967741935483
2005,10,34,35,0.6774193548387096
2005,10,34,37,0.1075268817204301
2005,11,6,7,2.6218741017533773
2005,11,6,37,38.52707293604465
2005,11,6,61,17.0
2005,11,6,65,85.7075702075702
2005,11,6,67,7.89270782127925
2005,11,6,99,2.0880258293949745
2005,11,6,101,7.26530612244898
2005,11,6,113,6.432610325692748
2005,11,6,115,0.5357142857142857
2005,12,6,37,40.29749150770839
2005,12,6,65,35.68896321070234
2005,12,6,67,3.576704014939309
2005,12,6,99,0.134453781512605
2005,12,6,113,1.4029195011337867
2006,1,6,37,11.677672955974844
2006,1,6,61,21.0
2006,1,6,65,24.4
2006,1,6,67,1.1078017683141355
2006,1,6,71,6.7703663203936575
2006,1,6,99,0.14285714285714268
2006,1,6,113,2.525258920775137
2006,2,6,37,9.038461538461538
2006,2,6,65,30.927419354838708
2006,2,6,67,1.8102864408406103
2006,2,6,71,3.7304147465437785
2006,2,6,99,0.2307692307692307
2006,2,6,113,4.279134910236723
2006,3,6,7,0.0075187969924812
2006,3,6,13,2.6
2006,3,6,19,0.12962962962962948
2006,3,6,37,4.682589566310496
2006,3,6,65,74.21813725490196
2006,3,6,67,1.3483861093202076
2006,3,6,71,0.3759185980780101
2006,3,6,99,0.11538461538461531
2006,3,6,113,2.9843391902215433
2006,4,6,1,6.0
2006,4,6,7,0.4180306160283912
2006,4,6,11,0.1428571428571428
2006,4,6,19,0.2435897435897435
2006,4,6,29,21.264437689969604
2006,4,6,37,7.479583680845149
2006,4,6,61,2.081720430107527
2006,4,6,65,72.92617545871559
2006,4,6,67,4.147978880659212
2006,4,6,71,1.1166666666666667
2006,4,6,89,0.25679012345679
2006,4,6,99,0.3985765124555159
2006,4,6,101,0.1306451612903225
2006,4,6,107,0.44099378881987567
2006,4,6,113,2.757092986002938
2006,4,6,115,0.1983240223463687
2006,4,34,21,0.0
2006,4,34,33,0.0
2006,5,6,1,3.7142857142857144
2006,5,6,7,3.310434346961393
2006,5,6,11,1.9693877551020407
2006,5,6,19,194.12727272727273
2006,5,6,29,63.050950924616615
2006,5,6,37,50.63750868384489
2006,5,6,41,78.66666666666666
2006,5,6,61,5.687874194770746
2006,5,6,65,129.59989845138358
2006,5,6,67,20.756348904293546
2006,5,6,71,27.526126126126126
2006,5,6,89,6.136980108499095
2006,5,6,97,16.045454545454547
2006,5,6,99,187.1428161911998
2006,5,6,101,1.0983606557377048
2006,5,6,107,98.57894736842105
2006,5,6,113,12.736674430991906
2006,5,6,115,0.9714867617107943
2006,5,34,1,7.714285714285714
2006,5,34,3,0.72
2006,5,34,7,1.62
2006,5,34,9,18.858333333333334
2006,5,34,11,4.464516129032258
2006,5,34,13,0.1827956989247312
2006,5,34,15,0.0
2006,5,34,17,3.3000000000000003
2006,5,34,19,0.05
2006,5,34,21,0.4903225806451612
2006,5,34,23,1.0784313725490196
2006,5,34,25,2.329032258064516
2006,5,34,27,0.0
2006,5,34,29,0.19860627177700318
2006,5,34,33,1.1048387096774193
2006,5,34,35,0.2391304347826086
2006,5,34,37,1.05
2006,5,49,35,5.889908256880735
2006,6,6,1,10.636363636363637
2006,6,6,7,15.678573874587848
2006,6,6,11,4.392857142857142
2006,6,6,19,88.60993874728315
2006,6,6,29,170.93190178824864
2006,6,6,31,8.071428571428571
2006,6,6,37,95.87738661485898
2006,6,6,39,62.333333333333336
2006,6,6,41,18.372252747252748
2006,6,6,47,136.0
2006,6,6,61,51.39609022556391
2006,6,6,65,119.02256944444444
2006,6,6,67,49.21515648944216
2006,6,6,71,38.28333333333333
2006,6,6,89,8.234870668618838
2006,6,6,97,23.282953761214632
2006,6,6,99,112.604519887505
2006,6,6,101,8.892857142857142
2006,6,6,107,97.67365424430642
2006,6,6,113,52.04311529826886
2006,6,6,115,5.936224489795919
2006,6,34,1,16.23333333333333
2006,6,34,3,3.42
2006,6,34,7,10.226666666666667
2006,6,34,9,20.222222222222225
2006,6,34,11,20.046666666666667
2006,6,34,13,1.0
2006,6,34,15,0.0
2006,6,34,17,14.233333333333333
2006,6,34,19,0.3
2006,6,34,21,2.473333333333333
2006,6,34,23,1.3777777777777775
2006,6,34,25,10.066666666666666
2006,6,34,27,1.0266666666666666
2006,6,34,29,1.8859649122807014
2006,6,34,31,0.0666666666666666
2006,6,34,33,1.9166666666666665
2006,6,34,35,0.4666666666666667
2006,6,34,37,3.6666666666666665
2006,6,38,105,1.3333333333333333
2006,6,49,35,53.40151515151515
2006,7,6,1,13.571428571428571
2006,7,6,7,48.62431595042653
2006,7,6,11,9.752380952380951
2006,7,6,19,102.7989589536602
2006,7,6,29,77.13793059213901
2006,7,6,31,8.5
2006,7,6,37,131.80233415481578
2006,7,6,41,18.8421768707483
2006,7,6,47,351.0
2006,7,6,61,340.49474009012886
2006,7,6,65,54.167299864314785
2006,7,6,67,45.31421136454078
2006,7,6,71,30.515698805223675
2006,7,6,85,1.2121212121212122
2006,7,6,89,37.79442508710801
2006,7,6,97,41.4305373525557
2006,7,6,99,28.471399740187437
2006,7,6,101,40.455714285714286
2006,7,6,107,20.139880952380953
2006,7,6,113,227.96281378785682
2006,7,6,115,13.679197994987469
2006,7,34,1,25.524193548387096
2006,7,34,3,4.012903225806451
2006,7,34,7,12.464516129032258
2006,7,34,9,70.90860215053763
2006,7,34,11,161.0451612903226
2006,7,34,13,1.6881720430107527
2006,7,34,15,0.0
2006,7,34,17,19.516129032258064
2006,7,34,19,0.8494623655913978
2006,7,34,21,3.0451612903225804
2006,7,34,23,1.8387096774193548
2006,7,34,25,11.703225806451613
2006,7,34,27,0.7806451612903226
2006,7,34,29,34.670967741935485
2006,7,34,31,0.032258064516129
2006,7,34,33,12.193548387096774
2006,7,34,35,0.5161290322580645
2006,7,34,37,5.161290322580645
2006,7,38,105,6.7
2006,7,49,35,119.82692307692307
2006,8,6,1,1.7058823529411766
2006,8,6,7,41.38887372717404
2006,8,6,11,4.514285714285714
2006,8,6,19,86.38797543308822
2006,8,6,29,152.1538566882829
2006,8,6,31,16.682142857142857
2006,8,6,37,125.59162852784132
2006,8,6,41,27.803401360544218
2006,8,6,47,3.0
2006,8,6,61,242.8634135338346
2006,8,6,65,14.260025062656641
2006,8,6,67,47.14081744570369
