DateTime,Pandemic[en]
2008-05-28, 1960
2008-05-29, 1692
2008-05-30, 1336
2008-05-31, 1067
2008-06-01, 1379
2008-06-02, 1856
2008-06-03, 1819
2008-06-04, 1806
2008-06-05, 1658
2008-06-06, 1375
2008-06-07, 1083
2008-06-08, 1325
2008-06-09, 1811
2008-06-10, 1669
2008-06-11, 1629
2008-06-12, 1454
2008-06-13, 1495
2008-06-14, 2144
2008-06-15, 2242
2008-06-16, 1655
2008-06-17, 1614
2008-06-18, 1592
2008-06-19, 1544
2008-06-20, 1191
2008-06-21, 1175
2008-06-22, 1253
2008-06-23, 1581
2008-06-24, 1651
2008-06-25, 1494
2008-06-26, 1477
2008-06-27, 1178
2008-06-28, 951
2008-06-29, 1059
2008-06-30, 1782
2008-07-01, 1385
2008-07-02, 1390
2008-07-03, 1384
2008-07-04, 1040
2008-07-05, 804
2008-07-06, 941
2008-07-07, 1490
2008-07-08, 1432
2008-07-09, 1213
2008-07-10, 1230
2008-07-11, 1087
2008-07-12, 837
2008-07-13, 895
2008-07-14, 1292
2008-07-15, 1645
2008-07-16, 1763
2008-07-17, 2015
2008-07-18, 1910
2008-07-19, 1743
2008-07-20, 2175
2008-07-21, 2967
2008-07-22, 2400
2008-07-23, 2351
2008-07-24, 2056
2008-07-25, 2095
2008-07-26, 1735
2008-07-27, 1924
2008-07-28, 2143
2008-07-29, 2160
2008-07-30, 2279
2008-07-31, 1942
2008-08-01, 1757
2008-08-02, 1584
2008-08-03, 2096
2008-08-04, 2458
2008-08-05, 1773
2008-08-06, 1714
2008-08-07, 1777
2008-08-08, 1670
2008-08-09, 1307
2008-08-10, 1200
2008-08-11, 1552
2008-08-12, 1539
2008-08-13, 1430
2008-08-14, 1353
2008-08-15, 1142
2008-08-16, 1018
2008-08-17, 1991
2008-08-18, 1807
2008-08-19, 1645
2008-08-20, 1588
2008-08-21, 1323
2008-08-22, 1795
2008-08-23, 1062
2008-08-24, 1161
2008-08-25, 1400
2008-08-26, 1510
2008-08-27, 1640
2008-08-28, 1704
2008-08-29, 1393
2008-08-30, 1075
2008-08-31, 1386
2008-09-01, 1404
2008-09-02, 1630
2008-09-03, 1640
2008-09-04, 1697
2008-09-05, 1496
2008-09-06, 1147
2008-09-07, 1357
2008-09-08, 1760
2008-09-09, 1570
2008-09-10, 2186
2008-09-11, 2012
2008-09-12, 1541
2008-09-13, 1227
2008-09-14, 1572
2008-09-15, 1801
2008-09-16, 1850
2008-09-17, 1819
2008-09-18, 1558
2008-09-19, 1453
2008-09-20, 1157
2008-09-21, 1341
2008-09-22, 1799
2008-09-23, 1745
2008-09-24, 1815
2008-09-25, 1667
2008-09-26, 1410
2008-09-27, 1051
2008-09-28, 1350
2008-09-29, 1718
2008-09-30, 1485
2008-10-01, 2011
2008-10-02, 2246
2008-10-03, 1578
2008-10-04, 1191
2008-10-05, 1347
2008-10-06, 2097
2008-10-07, 2028
2008-10-08, 1905
2008-10-09, 1877
2008-10-10, 1529
2008-10-11, 1206
2008-10-12, 1496
2008-10-13, 1983
2008-10-14, 1779
2008-10-15, 1828
2008-10-16, 1838
2008-10-17, 1562
2008-10-18, 1175
2008-10-19, 1511
2008-10-20, 2278
2008-10-21, 972
2008-10-22, 1274
2008-10-23, 6932
2008-10-24, 4818
2008-10-25, 2659
2008-10-26, 2707
2008-10-27, 3126
2008-10-28, 2690
2008-10-29, 2786
2008-10-30, 4461
2008-10-31, 2962
2008-11-01, 1807
2008-11-02, 2119
2008-11-03, 2626
2008-11-04, 2260
2008-11-05, 1860
2008-11-06, 2186
2008-11-07, 1875
2008-11-08, 1509
2008-11-09, 1704
2008-11-10, 2245
2008-11-11, 2112
2008-11-12, 2372
2008-11-13, 2336
2008-11-14, 2068
2008-11-15, 1555
2008-11-16, 2106
2008-11-17, 2521
2008-11-18, 2101
2008-11-19, 2018
2008-11-20, 1882
2008-11-21, 1724
2008-11-22, 1448
2008-11-23, 2068
2008-11-24, 2349
2008-11-25, 2157
2008-11-26, 1988
2008-11-27, 1733
2008-11-28, 1752
2008-11-29, 1575
2008-11-30, 1747
2008-12-01, 2811
2008-12-02, 2582
2008-12-03, 2501
2008-12-04, 2306
2008-12-05, 2002
2008-12-06, 1588
2008-12-07, 1741
2008-12-08, 2158
2008-12-09, 2419
2008-12-10, 2332
2008-12-11, 2246
2008-12-12, 1983
2008-12-13, 1440
2008-12-14, 1754
2008-12-15, 2026
2008-12-16, 1891
2008-12-17, 1857
2008-12-18, 1719
2008-12-19, 1487
2008-12-20, 1073
2008-12-21, 1142
2008-12-22, 1385
2008-12-23, 1241
2008-12-24, 1136
2008-12-25, 734
2008-12-26, 975
2008-12-27, 989
2008-12-28, 996
2008-12-29, 1166
2008-12-30, 1873
2008-12-31, 1393
2009-01-01, 1028
2009-01-02, 1281
2009-01-03, 1317
2009-01-04, 1198
2009-01-05, 1731
2009-01-06, 1808
2009-01-07, 1908
2009-01-08, 1815
2009-01-09, 1753
2009-01-10, 1472
2009-01-11, 1648
2009-01-12, 1813
2009-01-13, 1844
2009-01-14, 2051
2009-01-15, 1897
2009-01-16, 1815
2009-01-17, 1326
2009-01-18, 1739
2009-01-19, 2023
2009-01-20, 1952
2009-01-21, 1986
2009-01-22, 1662
2009-01-23, 1473
2009-01-24, 1440
2009-01-25, 1550
2009-01-26, 1753
2009-01-27, 1892
2009-01-28, 1923
2009-01-29, 1731
2009-01-30, 1725
2009-01-31, 1397
2009-02-01, 1518
2009-02-02, 1866
2009-02-03, 2005
2009-02-04, 1889
2009-02-05, 1918
2009-02-06, 1694
2009-02-07, 1311
2009-02-08, 1577
2009-02-09, 2003
2009-02-10, 2088
2009-02-11, 2015
2009-02-12, 1899
2009-02-13, 1591
2009-02-14, 1338
2009-02-15, 1424
2009-02-16, 1810
2009-02-17, 1879
2009-02-18, 1848
2009-02-19, 1830
2009-02-20, 1616
2009-02-21, 1421
2009-02-22, 1796
2009-02-23, 2188
2009-02-24, 2094
2009-02-25, 2162
2009-02-26, 2024
2009-02-27, 1753
2009-02-28, 1511
2009-03-01, 1732
2009-03-02, 2048
2009-03-03, 2085
2009-03-04, 1960
2009-03-05, 1944
2009-03-06, 1778
2009-03-07, 1428
2009-03-08, 1573
2009-03-09, 2004
2009-03-10, 1850
2009-03-11, 1919
2009-03-12, 1915
2009-03-13, 1859
2009-03-14, 1380
2009-03-15, 1715
2009-03-16, 2067
2009-03-17, 1986
2009-03-18, 2059
2009-03-19, 2053
2009-03-20, 1736
2009-03-21, 1425
2009-03-22, 1808
2009-03-23, 2172
2009-03-24, 1954
2009-03-25, 1916
2009-03-26, 1963
2009-03-27, 1900
2009-03-28, 1393
2009-03-29, 1812
2009-03-30, 2036
2009-03-31, 1969
2009-04-01, 1892
2009-04-02, 1871
2009-04-03, 1632
2009-04-04, 1256
2009-04-05, 1518
2009-04-06, 1935
2009-04-07, 1917
2009-04-08, 1724
2009-04-09, 1563
2009-04-10, 1430
2009-04-11, 1303
2009-04-12, 1469
2009-04-13, 1769
2009-04-14, 2054
2009-04-15, 2058
2009-04-16, 1924
2009-04-17, 1621
2009-04-18, 1357
2009-04-19, 1759
2009-04-20, 2116
2009-04-21, 2032
2009-04-22, 2049
2009-04-23, 2166
2009-04-24, 5161
2009-04-25, 32577
2009-04-26, 47408
2009-04-27, 105943
2009-04-28, 121782
2009-04-29, 88860
2009-04-30, 201501
2009-05-01, 77492
2009-05-02, 30966
2009-05-03, 22710
2009-05-04, 30743
2009-05-05, 18337
2009-05-06, 14029
2009-05-07, 10412
2009-05-08, 8100
2009-05-09, 4831
2009-05-10, 4847
2009-05-11, 6811
2009-05-12, 7010
2009-05-13, 5486
2009-05-14, 5161
2009-05-15, 5148
2009-05-16, 2954
2009-05-17, 3408
2009-05-18, 6010
2009-05-19, 6207
2009-05-20, 5241
2009-05-21, 5001
2009-05-22, 4238
2009-05-23, 2932
2009-05-24, 2966
2009-05-25, 3490
2009-05-26, 4328
2009-05-27, 4375
2009-05-28, 4252
2009-05-29, 3639
2009-05-30, 2634
2009-05-31, 2822
2009-06-01, 3949
2009-06-02, 4294
2009-06-03, 4922
2009-06-04, 3905
2009-06-05, 3240
2009-06-06, 2583
2009-06-07, 2680
2009-06-08, 3630
2009-06-09, 5826
2009-06-10, 9470
2009-06-11, 47548
2009-06-12, 44112
2009-06-13, 12586
2009-06-14, 8887
2009-06-15, 9547
2009-06-16, 6653
2009-06-17, 5726
2009-06-18, 4960
2009-06-19, 4125
2009-06-20, 2803
2009-06-21, 2890
2009-06-22, 3940
2009-06-23, 3783
2009-06-24, 3606
2009-06-25, 3496
2009-06-26, 2874
2009-06-27, 3602
2009-06-28, 2246
2009-06-29, 3080
2009-06-30, 2899
2009-07-01, 2669
2009-07-02, 3013
2009-07-03, 2674
2009-07-04, 1891
2009-07-05, 2032
2009-07-06, 2944
2009-07-07, 2746
2009-07-08, 2768
2009-07-09, 2935
2009-07-10, 2792
2009-07-11, 1941
2009-07-12, 2036
2009-07-13, 3334
2009-07-14, 3850
2009-07-15, 3581
2009-07-16, 4018
2009-07-17, 3865
2009-07-18, 2421
2009-07-19, 2455
2009-07-20, 3693
2009-07-21, 3913
2009-07-22, 3897
2009-07-23, 4271
2009-07-24, 3560
2009-07-25, 2477
2009-07-26, 3045
2009-07-27, 3237
2009-07-28, 3254
2009-07-29, 3174
2009-07-30, 3329
2009-07-31, 2443
2009-08-01, 1834
2009-08-02, 2107
2009-08-03, 3143
2009-08-04, 3473
2009-08-05, 3781
2009-08-06, 3670
2009-08-07, 3255
2009-08-08, 2014
2009-08-09, 2686
2009-08-10, 5067
2009-08-11, 5418
2009-08-12, 4926
2009-08-13, 4623
2009-08-14, 3255
2009-08-15, 2218
2009-08-16, 2447
2009-08-17, 3305
2009-08-18, 3373
2009-08-19, 3001
2009-08-20, 2867
2009-08-21, 2867
2009-08-22, 1879
2009-08-23, 2224
2009-08-24, 3018
2009-08-25, 3543
2009-08-26, 3527
2009-08-27, 3264
2009-08-28, 2828
2009-08-29, 2082
2009-08-30, 2352
2009-08-31, 3061
2009-09-01, 3614
2009-09-02, 3946
2009-09-03, 3681
2009-09-04, 3051
2009-09-05, 2215
2009-09-06, 2396
2009-09-07, 2926
2009-09-08, 3640
2009-09-09, 3710
2009-09-10, 3613
2009-09-11, 3273
2009-09-12, 2259
2009-09-13, 2676
2009-09-14, 3320
2009-09-15, 3711
2009-09-16, 3786
2009-09-17, 3670
2009-09-18, 3245
2009-09-19, 2270
2009-09-20, 2544
2009-09-21, 1761
2009-09-22, 0
2009-09-23, 0
2009-09-24, 0
2009-09-25, 0
2009-09-26, 0
2009-09-27, 0
2009-09-28, 0
2009-09-29, 0
2009-09-30, 0
2009-10-01, 3737
2009-10-02, 3488
2009-10-03, 2426
2009-10-04, 2723
2009-10-05, 4017
2009-10-06, 3765
2009-10-07, 3879
2009-10-08, 3915
2009-10-09, 3517
2009-10-10, 2668
2009-10-11, 3277
2009-10-12, 6864
2009-10-13, 5097
2009-10-14, 4197
2009-10-15, 0
2009-10-16, 3634
2009-10-17, 3013
2009-10-18, 2806
2009-10-19, 4318
2009-10-20, 4402
2009-10-21, 4426
2009-10-22, 5125
2009-10-23, 4607
2009-10-24, 4447
2009-10-25, 4855
2009-10-26, 5754
2009-10-27, 6072
2009-10-28, 6699
2009-10-29, 6276
2009-10-30, 5548
2009-10-31, 4074
2009-11-01, 3515
2009-11-02, 5283
2009-11-03, 6377
2009-11-04, 5572
2009-11-05, 6008
2009-11-06, 4764
2009-11-07, 3511
2009-11-08, 3855
2009-11-09, 5067
2009-11-10, 5032
2009-11-11, 4114
2009-11-12, 4747
2009-11-13, 4559
2009-11-14, 3051
2009-11-15, 3135
2009-11-16, 4253
2009-11-17, 4890
2009-11-18, 5494
2009-11-19, 4237
2009-11-20, 3698
2009-11-21, 2796
2009-11-22, 2450
2009-11-23, 3822
2009-11-24, 3545
2009-11-25, 2504
2009-11-26, 2783
2009-11-27, 2560
2009-11-28, 2643
2009-11-29, 3250
2009-11-30, 3236
2009-12-01, 3600
2009-12-02, 3211
2009-12-03, 2919
2009-12-04, 3080
2009-12-05, 2506
2009-12-06, 2623
2009-12-07, 2866
2009-12-08, 3284
2009-12-09, 2937
2009-12-10, 2925
2009-12-11, 2933
2009-12-12, 2202
2009-12-13, 2072
2009-12-14, 2279
2009-12-15, 2412
2009-12-16, 2477
2009-12-17, 2450
2009-12-18, 2242
2009-12-19, 1810
2009-12-20, 1548
2009-12-21, 2081
2009-12-22, 1885
2009-12-23, 1733
2009-12-24, 1358
2009-12-25, 1042
2009-12-26, 1193
2009-12-27, 1344
2009-12-28, 1601
2009-12-29, 1817
2009-12-30, 1943
2009-12-31, 2017
2010-01-01, 1528
2010-01-02, 1585
2010-01-03, 1649
2010-01-04, 1697
2010-01-05, 1663
2010-01-06, 2393
2010-01-07, 2076
2010-01-08, 2008
2010-01-09, 1736
2010-01-10, 1865
2010-01-11, 2109
2010-01-12, 2492
2010-01-13, 2585
2010-01-14, 2805
2010-01-15, 2567
2010-01-16, 1541
2010-01-17, 1546
2010-01-18, 1913
2010-01-19, 2312
2010-01-20, 2002
2010-01-21, 1985
2010-01-22, 2009
2010-01-23, 189
2010-01-24, 0
2010-01-25, 2162
2010-01-26, 2389
2010-01-27, 2247
2010-01-28, 1802
2010-01-29, 1419
2010-01-30, 1392
2010-01-31, 1360
2010-02-01, 1859
2010-02-02, 2189
2010-02-03, 2187
2010-02-04, 2211
2010-02-05, 2222
2010-02-06, 1387
2010-02-07, 1447
2010-02-08, 1581
2010-02-09, 2282
2010-02-10, 2083
2010-02-11, 2142
2010-02-12, 1988
2010-02-13, 1467
2010-02-14, 1682
2010-02-15, 1967
2010-02-16, 2009
2010-02-17, 1995
2010-02-18, 2042
2010-02-19, 1919
2010-02-20, 1773
2010-02-21, 1860
2010-02-22, 2340
2010-02-23, 2306
2010-02-24, 1962
2010-02-25, 1858
2010-02-26, 1690
2010-02-27, 1892
2010-02-28, 1896
2010-03-01, 2234
2010-03-02, 2415
2010-03-03, 2318
2010-03-04, 2185
2010-03-05, 2130
2010-03-06, 1543
2010-03-07, 1879
2010-03-08, 2246
2010-03-09, 2427
2010-03-10, 2034
2010-03-11, 2038
2010-03-12, 2024
2010-03-13, 1593
2010-03-14, 1591
2010-03-15, 2252
2010-03-16, 2065
2010-03-17, 1937
2010-03-18, 1863
2010-03-19, 1902
2010-03-20, 1525
2010-03-21, 1520
2010-03-22, 1957
2010-03-23, 1930
2010-03-24, 2114
2010-03-25, 2076
2010-03-26, 1835
2010-03-27, 1498
2010-03-28, 1642
2010-03-29, 2046
2010-03-30, 2219
2010-03-31, 2043
2010-04-01, 1952
2010-04-02, 1609
2010-04-03, 1476
2010-04-04, 1500
2010-04-05, 1727
2010-04-06, 1775
2010-04-07, 1951
2010-04-08, 1923
2010-04-09, 1570
2010-04-10, 1248
2010-04-11, 1266
2010-04-12, 1594
2010-04-13, 1632
2010-04-14, 1602
2010-04-15, 1591
2010-04-16, 1659
2010-04-17, 1346
2010-04-18, 1441
2010-04-19, 1849
2010-04-20, 1740
2010-04-21, 1811
2010-04-22, 1776
2010-04-23, 1815
2010-04-24, 1492
2010-04-25, 1637
2010-04-26, 2150
2010-04-27, 2106
2010-04-28, 2080
2010-04-29, 2056
2010-04-30, 2050
2010-05-01, 1676
2010-05-02, 1711
2010-05-03, 1989
2010-05-04, 2004
2010-05-05, 1978
2010-05-06, 1974
2010-05-07, 1860
2010-05-08, 1467
2010-05-09, 1567
2010-05-10, 1936
2010-05-11, 1944
2010-05-12, 1901
2010-05-13, 1642
2010-05-14, 1558
2010-05-15, 1254
2010-05-16, 1498
2010-05-17, 1757
2010-05-18, 1593
2010-05-19, 1533
2010-05-20, 1761
2010-05-21, 1653
2010-05-22, 1389
2010-05-23, 1566
2010-05-24, 1706
2010-05-25, 1766
2010-05-26, 1695
2010-05-27, 1657
2010-05-28, 1349
2010-05-29, 1293
2010-05-30, 1264
2010-05-31, 1512
2010-06-01, 1672
2010-06-02, 1797
2010-06-03, 1705
2010-06-04, 1595
2010-06-05, 1397
2010-06-06, 1503
2010-06-07, 1652
2010-06-08, 1706
2010-06-09, 1929
2010-06-10, 1714
2010-06-11, 973
2010-06-12, 267
2010-06-13, 225
2010-06-14, 298
2010-06-15, 806
2010-06-16, 1184
2010-06-17, 1456
2010-06-18, 1469
2010-06-19, 1180
2010-06-20, 1213
2010-06-21, 1449
2010-06-22, 1385
2010-06-23, 1330
2010-06-24, 1187
2010-06-25, 970
2010-06-26, 919
2010-06-27, 362
2010-06-28, 809
2010-06-29, 1230
2010-06-30, 1330
2010-07-01, 1450
2010-07-02, 1094
2010-07-03, 830
2010-07-04, 925
2010-07-05, 412
2010-07-06, 1082
2010-07-07, 488
2010-07-08, 0
2010-07-09, 0
2010-07-10, 612
2010-07-11, 992
2010-07-12, 1075
2010-07-13, 1184
2010-07-14, 1094
2010-07-15, 1174
2010-07-16, 1085
2010-07-17, 1028
2010-07-18, 1149
2010-07-19, 1300
2010-07-20, 1317
2010-07-21, 1216
2010-07-22, 1460
2010-07-23, 1514
2010-07-24, 1286
2010-07-25, 1391
2010-07-26, 1785
2010-07-27, 1874
2010-07-28, 1866
2010-07-29, 1758
2010-07-30, 1498
2010-07-31, 1291
2010-08-01, 1548
2010-08-02, 1907
2010-08-03, 1774
2010-08-04, 1884
2010-08-05, 1660
2010-08-06, 1610
2010-08-07, 1277
2010-08-08, 1389
2010-08-09, 1740
2010-08-10, 2263
2010-08-11, 2336
2010-08-12, 2070
2010-08-13, 1947
2010-08-14, 1621
2010-08-15, 1508
2010-08-16, 1870
2010-08-17, 1965
2010-08-18, 1800
2010-08-19, 1685
2010-08-20, 1543
2010-08-21, 1306
2010-08-22, 1423
2010-08-23, 2086
2010-08-24, 1835
2010-08-25, 1928
2010-08-26, 1987
2010-08-27, 1758
2010-08-28, 1317
2010-08-29, 1549
2010-08-30, 2049
2010-08-31, 2019
2010-09-01, 1787
2010-09-02, 1885
2010-09-03, 1658
2010-09-04, 1389
2010-09-05, 1466
2010-09-06, 1816
2010-09-07, 2072
2010-09-08, 2214
2010-09-09, 2017
2010-09-10, 1886
2010-09-11, 1456
2010-09-12, 1571
2010-09-13, 2112
2010-09-14, 2362
2010-09-15, 2290
2010-09-16, 2125
2010-09-17, 1931
2010-09-18, 1477
2010-09-19, 1771
2010-09-20, 2291
2010-09-21, 2274
2010-09-22, 2244
2010-09-23, 2081
2010-09-24, 1947
2010-09-25, 1436
2010-09-26, 1858
2010-09-27, 2346
2010-09-28, 2338
2010-09-29, 2179
2010-09-30, 2345
2010-10-01, 1998
2010-10-02, 1485
2010-10-03, 1893
2010-10-04, 2270
2010-10-05, 2223
2010-10-06, 2410
2010-10-07, 2252
2010-10-08, 2052
2010-10-09, 1489
2010-10-10, 1710
2010-10-11, 2208
2010-10-12, 2631
2010-10-13, 2740
2010-10-14, 2653
2010-10-15, 2242
2010-10-16, 1573
2010-10-17, 1871
2010-10-18, 2606
2010-10-19, 2557
2010-10-20, 2443
2010-10-21, 2364
2010-10-22, 2261
2010-10-23, 1726
2010-10-24, 2080
2010-10-25, 2929
2010-10-26, 2476
2010-10-27, 2418
2010-10-28, 2490
2010-10-29, 2143
2010-10-30, 1527
2010-10-31, 1906
2010-11-01, 2618
2010-11-02, 2586
2010-11-03, 2526
2010-11-04, 2512
2010-11-05, 2287
2010-11-06, 1714
2010-11-07, 1897
2010-11-08, 2678
2010-11-09, 2709
2010-11-10, 2552
2010-11-11, 2263
2010-11-12, 2072
2010-11-13, 1474
2010-11-14, 1780
2010-11-15, 2495
2010-11-16, 2778
2010-11-17, 2558
2010-11-18, 2800
2010-11-19, 2236
2010-11-20, 1598
2010-11-21, 1821
2010-11-22, 2442
2010-11-23, 2450
2010-11-24, 2043
2010-11-25, 1773
2010-11-26, 1558
2010-11-27, 1530
2010-11-28, 1648
2010-11-29, 2496
2010-11-30, 1220
2010-12-01, 3020
2010-12-02, 2572
2010-12-03, 2174
2010-12-04, 1668
2010-12-05, 1913
2010-12-06, 2805
2010-12-07, 2881
2010-12-08, 2688
2010-12-09, 2797
2010-12-10, 2439
2010-12-11, 1807
2010-12-12, 2011
2010-12-13, 2749
2010-12-14, 2693
2010-12-15, 2729
2010-12-16, 2564
2010-12-17, 2066
2010-12-18, 1511
2010-12-19, 1870
2010-12-20, 2060
2010-12-21, 1774
2010-12-22, 1834
2010-12-23, 1598
2010-12-24, 1258
2010-12-25, 979
2010-12-26, 1138
2010-12-27, 1408
2010-12-28, 1541
2010-12-29, 2192
2010-12-30, 1562
2010-12-31, 1340
2011-01-01, 1219
2011-01-02, 1639
2011-01-03, 1903
2011-01-04, 2100
2011-01-05, 2427
2011-01-06, 2658
2011-01-07, 2207
2011-01-08, 1624
2011-01-09, 1688
2011-01-10, 2261
2011-01-11, 2436
2011-01-12, 2536
2011-01-13, 2362
2011-01-14, 2090
2011-01-15, 1675
2011-01-16, 1845
2011-01-17, 2165
2011-01-18, 2320
2011-01-19, 2485
2011-01-20, 2469
2011-01-21, 2104
2011-01-22, 1686
2011-01-23, 2002
2011-01-24, 2353
2011-01-25, 2115
2011-01-26, 2125
2011-01-27, 1934
2011-01-28, 1477
2011-01-29, 1247
2011-01-30, 1513
2011-01-31, 1972
2011-02-01, 2212
2011-02-02, 1807
2011-02-03, 1947
2011-02-04, 1599
2011-02-05, 1184
2011-02-06, 1410
2011-02-07, 1745
2011-02-08, 2022
2011-02-09, 1927
2011-02-10, 1814
2011-02-11, 1728
2011-02-12, 1224
2011-02-13, 1482
2011-02-14, 1923
2011-02-15, 1998
2011-02-16, 2078
2011-02-17, 1915
2011-02-18, 1679
2011-02-19, 1275
2011-02-20, 1586
2011-02-21, 1743
2011-02-22, 1910
2011-02-23, 1947
2011-02-24, 1600
2011-02-25, 1716
2011-02-26, 1289
2011-02-27, 1563
2011-02-28, 2060
2011-03-01, 2020
2011-03-02, 2082
2011-03-03, 1893
2011-03-04, 1887
2011-03-05, 1239
2011-03-06, 1538
2011-03-07, 2075
2011-03-08, 1904
2011-03-09, 1931
2011-03-10, 2076
2011-03-11, 2143
2011-03-12, 1552
2011-03-13, 1739
2011-03-14, 2217
2011-03-15, 2043
2011-03-16, 1962
2011-03-17, 1980
2011-03-18, 1425
2011-03-19, 1150
2011-03-20, 1420
2011-03-21, 1834
2011-03-22, 1765
2011-03-23, 1884
2011-03-24, 1977
2011-03-25, 1523
2011-03-26, 1105
2011-03-27, 1456
2011-03-28, 1945
2011-03-29, 1843
2011-03-30, 1828
2011-03-31, 1883
2011-04-01, 1503
2011-04-02, 1175
2011-04-03, 1507
2011-04-04, 1975
2011-04-05, 1916
2011-04-06, 1770
2011-04-07, 1953
2011-04-08, 1641
2011-04-09, 1104
2011-04-10, 1572
2011-04-11, 1784
2011-04-12, 1908
2011-04-13, 1890
2011-04-14, 1831
2011-04-15, 1530
2011-04-16, 1183
2011-04-17, 1402
2011-04-18, 1794
2011-04-19, 1900
2011-04-20, 1756
2011-04-21, 1684
2011-04-22, 1203
2011-04-23, 1122
2011-04-24, 1277
2011-04-25, 1758
2011-04-26, 1920
2011-04-27, 1743
2011-04-28, 1881
2011-04-29, 1441
2011-04-30, 1059
2011-05-01, 1429
2011-05-02, 1772
2011-05-03, 1931
2011-05-04, 1969
2011-05-05, 1907
2011-05-06, 1542
2011-05-07, 1099
2011-05-08, 1293
2011-05-09, 2317
2011-05-10, 1988
2011-05-11, 1973
2011-05-12, 2176
2011-05-13, 1588
2011-05-14, 1104
2011-05-15, 1370
2011-05-16, 1961
2011-05-17, 1864
2011-05-18, 1782
2011-05-19, 1809
2011-05-20, 1678
2011-05-21, 1285
2011-05-22, 1359
2011-05-23, 1838
2011-05-24, 1928
2011-05-25, 1907
2011-05-26, 1899
2011-05-27, 1538
2011-05-28, 1026
2011-05-29, 1614
2011-05-30, 1933
2011-05-31, 2257
2011-06-01, 2188
2011-06-02, 2111
2011-06-03, 1627
2011-06-04, 1260
2011-06-05, 1504
2011-06-06, 2005
2011-06-07, 1735
2011-06-08, 1577
2011-06-09, 1590
2011-06-10, 1497
2011-06-11, 1075
2011-06-12, 1229
2011-06-13, 1485
2011-06-14, 1431
2011-06-15, 1620
2011-06-16, 1522
2011-06-17, 1310
2011-06-18, 1057
2011-06-19, 1725
2011-06-20, 1526
2011-06-21, 1514
2011-06-22, 1498
2011-06-23, 1594
2011-06-24, 1374
2011-06-25, 890
2011-06-26, 1028
2011-06-27, 1443
