,state,statefp,countyfp,year,month,species,inf/pool
57,Arizona,4,13,2015,12,Culex tarsalis,0.0
58,Arizona,4,13,2016,1,Culex quinquefasciatus,0.0
59,Arizona,4,13,2016,1,Culex tarsalis,0.0
60,Arizona,4,13,2016,2,Culex quinquefasciatus,0.0
61,Arizona,4,13,2016,2,Culex tarsalis,0.0
62,Arizona,4,13,2016,3,Culex quinquefasciatus,0.0
63,Arizona,4,13,2016,3,Culex tarsalis,0.0
64,Arizona,4,13,2016,4,Culex quinquefasciatus,0.0
65,Arizona,4,13,2016,4,Culex quinquefasciatus,0.0
66,Arizona,4,13,2016,4,Culex tarsalis,0.000493339911198816
67,Arizona,4,13,2016,5,Culex quinquefasciatus,0.0
68,Arizona,4,13,2016,5,Culex quinquefasciatus,0.0005489980785067252
69,Arizona,4,13,2016,5,Culex tarsalis,0.0008421052631578948
70,Arizona,4,13,2016,6,Culex quinquefasciatus,0.0
71,Arizona,4,13,2016,6,Culex quinquefasciatus,0.0052122114668652275
72,Arizona,4,13,2016,6,Culex tarsalis,0.006020469596628537
73,Arizona,4,13,2016,7,Culex quinquefasciatus,0.0
74,Arizona,4,13,2016,7,Culex quinquefasciatus,0.0060901339829476245
75,Arizona,4,13,2016,7,Culex tarsalis,0.014198782961460446
76,Arizona,4,13,2016,8,Culex quinquefasciatus,0.0
77,Arizona,4,13,2016,8,Culex tarsalis,0.0
78,Arizona,4,13,2016,8,Culex quinquefasciatus,0.0031318509238960224
79,Arizona,4,13,2016,8,Culex tarsalis,0.004552352048558422
80,Arizona,4,13,2016,9,Culex quinquefasciatus,0.0
81,Arizona,4,13,2016,9,Culex tarsalis,0.0
82,Arizona,4,13,2016,9,Culex quinquefasciatus,0.004527162977867203
83,Arizona,4,13,2016,9,Culex tarsalis,0.0026402640264026403
84,Arizona,4,13,2016,10,Culex quinquefasciatus,0.0
85,Arizona,4,13,2016,10,Culex quinquefasciatus,0.002035002035002035
86,Arizona,4,13,2016,10,Culex tarsalis,0.0050578034682080926
87,Arizona,4,13,2016,11,Culex quinquefasciatus,0.0
88,Arizona,4,13,2016,11,Culex quinquefasciatus,0.0009658725048293626
89,Arizona,4,13,2016,11,Culex tarsalis,0.0
90,Arizona,4,13,2016,12,Culex quinquefasciatus,0.0
91,Arizona,4,13,2016,12,Culex quinquefasciatus,0.0
92,Arizona,4,13,2016,12,Culex tarsalis,0.0
93,Arizona,4,13,2017,1,Culex quinquefasciatus,0.0
94,Arizona,4,13,2017,1,Culex quinquefasciatus,0.0
95,Arizona,4,13,2017,1,Culex tarsalis,0.0
96,Arizona,4,13,2017,2,Culex quinquefasciatus,0.0
97,Arizona,4,13,2017,2,Culex tarsalis,0.0
98,Arizona,4,13,2017,3,Culex quinquefasciatus,0.0
99,Arizona,4,13,2017,3,Culex tarsalis,0.0
100,Arizona,4,13,2017,3,Culex quinquefasciatus,0.0
101,Arizona,4,13,2017,3,Culex tarsalis,0.0
102,Arizona,4,13,2017,4,Culex quinquefasciatus,0.0
103,Arizona,4,13,2017,4,Culex tarsalis,0.0
104,Arizona,4,13,2017,4,Culex quinquefasciatus,0.00014494854326714017
105,Arizona,4,13,2017,4,Culex tarsalis,0.0
106,Arizona,4,13,2017,5,Culex quinquefasciatus,0.0
107,Arizona,4,13,2017,5,Culex tarsalis,0.0
108,Arizona,4,13,2017,5,Culex quinquefasciatus,0.002461033634126333
109,Arizona,4,13,2017,5,Culex tarsalis,0.000819672131147541
110,Arizona,4,13,2017,6,Culex quinquefasciatus,0.0
111,Arizona,4,13,2017,6,Culex tarsalis,0.0
112,Arizona,4,13,2017,6,Culex quinquefasciatus,0.01034712950600801
113,Arizona,4,13,2017,6,Culex tarsalis,0.008284023668639054
114,Arizona,4,13,2017,7,Culex quinquefasciatus,0.0
115,Arizona,4,13,2017,7,Culex quinquefasciatus,0.005485463521667581
116,Arizona,4,13,2017,7,Culex tarsalis,0.01240694789081886
117,Arizona,4,13,2017,8,Culex quinquefasciatus,0.0072992700729927005
118,Arizona,4,13,2017,8,Culex tarsalis,0.06382978723404255
119,Arizona,4,13,2017,8,Culex quinquefasciatus,0.008588957055214725
120,Arizona,4,13,2017,8,Culex tarsalis,0.008192244675040962
121,Arizona,4,13,2017,9,Culex quinquefasciatus,0.0
122,Arizona,4,13,2017,9,Culex tarsalis,0.0
123,Arizona,4,13,2017,9,Culex quinquefasciatus,0.006171374317588417
124,Arizona,4,13,2017,9,Culex tarsalis,0.005254648342764754
125,Arizona,4,13,2017,10,Culex quinquefasciatus,0.0
126,Arizona,4,13,2017,10,Culex tarsalis,0.0
127,Arizona,4,13,2017,10,Culex quinquefasciatus,0.000608457560085184
128,Arizona,4,13,2017,10,Culex tarsalis,0.0017921146953405018
129,Arizona,4,13,2017,11,Culex quinquefasciatus,0.0
130,Arizona,4,13,2017,11,Culex quinquefasciatus,0.0003168567807351077
131,Arizona,4,13,2017,11,Culex tarsalis,0.0
132,Arizona,4,13,2017,12,Culex quinquefasciatus,0.0
133,Arizona,4,13,2017,12,Culex tarsalis,0.0
134,Arizona,4,13,2018,1,Culex quinquefasciatus,0.0
135,Arizona,4,13,2018,1,Culex tarsalis,0.0
136,Arizona,4,13,2018,1,Culex quinquefasciatus,0.0008203445447087777
137,Arizona,4,13,2018,1,Culex tarsalis,0.002770083102493075
138,Arizona,4,13,2018,2,Culex quinquefasciatus,0.0
139,Arizona,4,13,2018,2,Culex tarsalis,0.0
140,Arizona,4,13,2018,2,Culex quinquefasciatus,0.0
141,Arizona,4,13,2018,2,Culex tarsalis,0.0
142,Arizona,4,13,2018,3,Culex quinquefasciatus,0.06666666666666667
143,Arizona,4,13,2018,3,Culex quinquefasciatus,0.0005039052658100278
144,Arizona,4,13,2018,3,Culex tarsalis,0.0004889975550122249
145,Arizona,4,13,2018,4,Culex quinquefasciatus,0.0
146,Arizona,4,13,2018,4,Culex tarsalis,0.0
147,Arizona,4,13,2018,4,Culex quinquefasciatus,0.0002984183825723665
148,Arizona,4,13,2018,4,Culex tarsalis,0.0
149,Arizona,4,13,2018,5,Culex quinquefasciatus,0.0
150,Arizona,4,13,2018,5,Culex tarsalis,0.0
151,Arizona,4,13,2018,5,Culex quinquefasciatus,0.0
152,Arizona,4,13,2018,5,Culex tarsalis,0.0
153,Arizona,4,13,2018,6,Culex quinquefasciatus,0.0
154,Arizona,4,13,2018,6,Culex tarsalis,0.0
155,Arizona,4,13,2018,6,Culex quinquefasciatus,0.0023992322456813818
156,Arizona,4,13,2018,6,Culex tarsalis,0.005673758865248227
157,Arizona,4,13,2018,7,Culex quinquefasciatus,0.0
158,Arizona,4,13,2018,7,Culex tarsalis,0.0
159,Arizona,4,13,2018,7,Culex quinquefasciatus,0.004016064257028112
160,Arizona,4,13,2018,7,Culex tarsalis,0.007992895204262877
161,Arizona,4,13,2018,8,Culex quinquefasciatus,0.0
162,Arizona,4,13,2018,8,Culex quinquefasciatus,0.0031337047353760445
163,Arizona,4,13,2018,8,Culex tarsalis,0.003419972640218878
164,Arizona,4,13,2018,9,Culex quinquefasciatus,0.02
165,Arizona,4,13,2018,9,Culex tarsalis,0.0
166,Arizona,4,13,2018,9,Culex quinquefasciatus,0.006504310996823476
167,Arizona,4,13,2018,9,Culex tarsalis,0.004185351270553065
168,Arizona,4,13,2018,10,Culex quinquefasciatus,0.0
169,Arizona,4,13,2018,10,Culex tarsalis,0.0
170,Arizona,4,13,2018,10,Culex quinquefasciatus,0.0013757260776520942
171,Arizona,4,13,2018,10,Culex tarsalis,0.0003059975520195838
172,Arizona,4,13,2018,11,Culex quinquefasciatus,0.0
173,Arizona,4,13,2018,11,Culex tarsalis,0.0
174,Arizona,4,13,2018,11,Culex quinquefasciatus,0.0009930486593843098
175,Arizona,4,13,2018,11,Culex tarsalis,0.0
176,Arizona,4,13,2018,12,Culex quinquefasciatus,0.0
177,Arizona,4,13,2018,12,Culex quinquefasciatus,0.0
178,Arizona,4,13,2018,12,Culex tarsalis,0.0
179,Arizona,4,13,2019,1,Culex quinquefasciatus,0.0
180,Arizona,4,13,2019,1,Culex quinquefasciatus,0.0
181,Arizona,4,13,2019,1,Culex tarsalis,0.0
182,Arizona,4,13,2019,2,Culex quinquefasciatus,0.0
183,Arizona,4,13,2019,2,Culex quinquefasciatus,0.0
184,Arizona,4,13,2019,2,Culex tarsalis,0.0
185,Arizona,4,13,2019,3,Culex quinquefasciatus,0.0
186,Arizona,4,13,2019,3,Culex quinquefasciatus,0.0
187,Arizona,4,13,2019,3,Culex tarsalis,0.00018691588785046728
188,Arizona,4,13,2019,4,Culex quinquefasciatus,0.0
189,Arizona,4,13,2019,4,Culex quinquefasciatus,0.00046242774566473987
190,Arizona,4,13,2019,4,Culex tarsalis,0.001322078714532696
191,Arizona,4,13,2019,5,Culex quinquefasciatus,0.038461538461538464
192,Arizona,4,13,2019,5,Culex quinquefasciatus,0.012219959266802444
193,Arizona,4,13,2019,5,Culex tarsalis,0.007832898172323759
194,Arizona,4,13,2019,6,Culex quinquefasciatus,0.05714285714285714
195,Arizona,4,13,2019,6,Culex quinquefasciatus,0.02154398563734291
196,Arizona,4,13,2019,6,Culex tarsalis,0.014808362369337979
197,Arizona,4,13,2019,7,Culex quinquefasciatus,0.0
198,Arizona,4,13,2019,7,Culex quinquefasciatus,0.015744489428699954
199,Arizona,4,13,2019,7,Culex tarsalis,0.014519056261343012
200,Arizona,4,13,2019,8,Culex quinquefasciatus,0.0
201,Arizona,4,13,2019,8,Culex quinquefasciatus,0.010771470160116448
202,Arizona,4,13,2019,8,Culex tarsalis,0.00988593155893536
203,Arizona,4,13,2019,9,Culex quinquefasciatus,0.0
204,Arizona,4,13,2019,9,Culex quinquefasciatus,0.0
205,Arizona,4,13,2019,9,Culex tarsalis,0.0
206,Arizona,4,13,2019,10,Culex quinquefasciatus,0.0
207,Arizona,4,13,2019,10,Culex quinquefasciatus,0.0002752167331773772
208,Arizona,4,13,2019,10,Culex tarsalis,0.0
209,Arizona,4,13,2019,11,Culex quinquefasciatus,0.0
210,Arizona,4,13,2019,11,Culex quinquefasciatus,0.0
211,Arizona,4,13,2019,11,Culex tarsalis,0.0
212,Arizona,4,13,2019,12,Culex quinquefasciatus,0.0
213,Arizona,4,13,2019,12,Culex quinquefasciatus,0.0
214,Arizona,4,13,2019,12,Culex tarsalis,0.0
215,Arizona,4,13,2020,1,Culex quinquefasciatus,0.0
216,Arizona,4,13,2020,1,Culex quinquefasciatus,0.0
217,Arizona,4,13,2020,1,Culex tarsalis,0.0
218,Arizona,4,13,2020,2,Culex quinquefasciatus,0.0
219,Arizona,4,13,2020,2,Culex quinquefasciatus,0.0
220,Arizona,4,13,2020,2,Culex tarsalis,0.0
221,Arizona,4,13,2020,3,Culex quinquefasciatus,0.0
222,Arizona,4,13,2020,3,Culex tarsalis,0.0
223,Arizona,4,13,2020,3,Culex quinquefasciatus,0.0
224,Arizona,4,13,2020,3,Culex tarsalis,0.0
225,Arizona,4,13,2020,4,Culex quinquefasciatus,0.0
226,Arizona,4,13,2020,4,Culex tarsalis,0.0
227,Arizona,4,13,2020,4,Culex quinquefasciatus,0.0
228,Arizona,4,13,2020,4,Culex tarsalis,0.0
229,Arizona,4,13,2020,5,Culex quinquefasciatus,0.0
230,Arizona,4,13,2020,5,Culex tarsalis,0.0
231,Arizona,4,13,2020,5,Culex quinquefasciatus,0.0
232,Arizona,4,13,2020,5,Culex tarsalis,0.0
233,Arizona,4,13,2020,6,Culex quinquefasciatus,0.0
234,Arizona,4,13,2020,6,Culex quinquefasciatus,0.0
235,Arizona,4,13,2020,6,Culex tarsalis,0.0005271481286241434
236,Arizona,4,13,2020,7,Culex quinquefasciatus,0.0
237,Arizona,4,13,2020,7,Culex tarsalis,0.0
238,Arizona,4,13,2020,7,Culex quinquefasciatus,0.00041118421052631577
239,Arizona,4,13,2020,7,Culex tarsalis,0.004451038575667656
240,Arizona,4,13,2020,8,Culex quinquefasciatus,0.0
241,Arizona,4,13,2020,8,Culex quinquefasciatus,0.0011500862564692352
242,Arizona,4,13,2020,8,Culex tarsalis,0.0
243,Arizona,4,13,2020,9,Culex quinquefasciatus,0.0
244,Arizona,4,13,2020,9,Culex quinquefasciatus,0.0
245,Arizona,4,13,2020,9,Culex tarsalis,0.0010454783063251437
246,Arizona,4,13,2020,10,Culex quinquefasciatus,0.0
247,Arizona,4,13,2020,10,Culex quinquefasciatus,0.0
248,Arizona,4,13,2020,10,Culex tarsalis,0.0
249,Arizona,4,13,2020,11,Culex quinquefasciatus,0.0
250,Arizona,4,13,2020,11,Culex quinquefasciatus,0.0
251,Arizona,4,13,2020,11,Culex tarsalis,0.0
252,Arizona,4,13,2020,12,Culex quinquefasciatus,0.0
253,Arizona,4,13,2020,12,Culex tarsalis,0.0
254,Arizona,4,13,2021,1,Culex quinquefasciatus,0.0
255,Arizona,4,13,2021,1,Culex tarsalis,0.0
256,Arizona,4,13,2021,2,Culex quinquefasciatus,0.0
257,Arizona,4,13,2021,2,Culex tarsalis,0.0
258,Arizona,4,13,2021,3,Culex quinquefasciatus,0.0
259,Arizona,4,13,2021,3,Culex quinquefasciatus,0.0
260,Arizona,4,13,2021,3,Culex tarsalis,0.0
261,Arizona,4,13,2021,4,Culex quinquefasciatus,0.0
262,Arizona,4,13,2021,4,Culex quinquefasciatus,0.00024606299212598425
263,Arizona,4,13,2021,4,Culex tarsalis,0.0
264,Arizona,4,13,2021,5,Culex quinquefasciatus,0.0
265,Arizona,4,13,2021,5,Culex quinquefasciatus,0.001915097350781998
266,Arizona,4,13,2021,5,Culex tarsalis,0.0
267,Arizona,4,13,2021,6,Culex quinquefasciatus,0.0
268,Arizona,4,13,2021,6,Culex quinquefasciatus,0.00952683391552874
269,Arizona,4,13,2021,6,Culex tarsalis,0.010854816824966078
270,Arizona,4,13,2021,7,Culex quinquefasciatus,0.0
271,Arizona,4,13,2021,7,Culex quinquefasciatus,0.007413509060955519
272,Arizona,4,13,2021,7,Culex tarsalis,0.018072289156626505
273,Arizona,4,13,2021,8,Culex quinquefasciatus,0.015384615384615385
274,Arizona,4,13,2021,8,Culex tarsalis,0.0
275,Arizona,4,13,2021,8,Culex quinquefasciatus,0.02040235338773961
276,Arizona,4,13,2021,8,Culex tarsalis,0.022968197879858657
277,Arizona,4,13,2021,9,Culex quinquefasciatus,0.0
278,Arizona,4,13,2021,9,Culex tarsalis,0.0
279,Arizona,4,13,2021,9,Culex quinquefasciatus,0.019182231196365473
280,Arizona,4,13,2021,9,Culex tarsalis,0.02198757763975155
281,Arizona,4,13,2021,10,Culex quinquefasciatus,0.0
282,Arizona,4,13,2021,10,Culex tarsalis,0.0
283,Arizona,4,13,2021,10,Culex quinquefasciatus,0.00506795669200645
284,Arizona,4,13,2021,10,Culex tarsalis,0.01277183293061788
285,Arizona,4,13,2021,11,Culex quinquefasciatus,0.0
286,Arizona,4,13,2021,11,Culex quinquefasciatus,0.000900360144057623
287,Arizona,4,13,2021,11,Culex tarsalis,0.006631299734748011
288,Arizona,4,13,2021,12,Culex quinquefasciatus,0.0
289,Arizona,4,13,2021,12,Culex tarsalis,0.0
290,Arizona,4,13,2022,1,Culex quinquefasciatus,0.0
291,Arizona,4,13,2022,1,Culex quinquefasciatus,0.0
292,Arizona,4,13,2022,1,Culex tarsalis,0.0
293,Arizona,4,13,2022,2,Culex quinquefasciatus,0.0
294,Arizona,4,13,2022,2,Culex tarsalis,0.0
295,Arizona,4,13,2022,3,Culex quinquefasciatus,0.0
296,Arizona,4,13,2022,3,Culex quinquefasciatus,0.00047664442326024784
297,Arizona,4,13,2022,3,Culex tarsalis,0.0
298,Arizona,4,13,2022,4,Culex quinquefasciatus,0.0
299,Arizona,4,13,2022,4,Culex tarsalis,0.0
300,Arizona,4,13,2022,4,Culex quinquefasciatus,0.0
301,Arizona,4,13,2022,4,Culex tarsalis,0.0
302,Arizona,4,13,2022,5,Culex quinquefasciatus,0.0
303,Arizona,4,13,2022,5,Culex tarsalis,0.0
304,Arizona,4,13,2022,5,Culex quinquefasciatus,0.0
305,Arizona,4,13,2022,5,Culex tarsalis,0.0003161555485298767
306,Arizona,4,13,2022,6,Culex quinquefasciatus,0.0003651634106262553
307,Arizona,4,13,2022,6,Culex tarsalis,0.000964785335262904
308,Arizona,4,13,2022,7,Culex quinquefasciatus,0.0
309,Arizona,4,13,2022,7,Culex tarsalis,0.0
310,Arizona,4,13,2022,7,Culex quinquefasciatus,0.00029433406916850625
311,Arizona,4,13,2022,7,Culex tarsalis,0.00026954177897574127
312,Arizona,4,13,2022,8,Culex quinquefasciatus,0.0
313,Arizona,4,13,2022,8,Culex tarsalis,0.0
314,Arizona,4,13,2022,8,Culex quinquefasciatus,0.00048426150121065375
315,Arizona,4,13,2022,8,Culex tarsalis,0.0016172506738544475
316,Arizona,4,13,2022,9,Culex quinquefasciatus,0.0
317,Arizona,4,13,2022,9,Culex tarsalis,0.0
318,Arizona,4,13,2022,9,Culex quinquefasciatus,0.0012885411872986655
319,Arizona,4,13,2022,9,Culex tarsalis,0.0012738853503184713
320,Arizona,4,13,2022,10,Culex quinquefasciatus,0.0
321,Arizona,4,13,2022,10,Culex tarsalis,0.0
322,Arizona,4,13,2022,10,Culex quinquefasciatus,0.0003741114852225963
323,Arizona,4,13,2022,10,Culex tarsalis,0.0022652388797364084
324,Arizona,4,13,2022,11,Culex quinquefasciatus,0.0
325,Arizona,4,13,2022,11,Culex quinquefasciatus,0.0
326,Arizona,4,13,2022,11,Culex tarsalis,0.006430868167202572
327,Arizona,4,13,2022,12,Culex quinquefasciatus,0.0
328,Arizona,4,13,2022,12,Culex tarsalis,0.0
329,Arizona,4,13,2022,12,Culex quinquefasciatus,0.0
330,Arizona,4,13,2022,12,Culex tarsalis,0.0
331,Arizona,4,13,2023,1,Culex quinquefasciatus,0.0
332,Arizona,4,13,2023,1,Culex quinquefasciatus,0.0
333,Arizona,4,13,2023,1,Culex tarsalis,0.0
334,Arizona,4,13,2023,2,Culex tarsalis,0.0
335,Arizona,4,13,2023,2,Culex quinquefasciatus,0.0
336,Arizona,4,13,2023,2,Culex tarsalis,0.0
337,Arizona,4,13,2023,3,Culex quinquefasciatus,0.0
338,Arizona,4,13,2023,3,Culex quinquefasciatus,0.0
339,Arizona,4,13,2023,3,Culex tarsalis,0.0
340,Arizona,4,13,2023,4,Culex quinquefasciatus,0.0
341,Arizona,4,13,2023,4,Culex tarsalis,0.0
342,Arizona,4,13,2023,4,Culex quinquefasciatus,0.0
343,Arizona,4,13,2023,4,Culex tarsalis,0.0
344,Arizona,4,13,2023,5,Culex quinquefasciatus,0.0
345,Arizona,4,13,2023,5,Culex tarsalis,0.0
346,Arizona,4,13,2023,5,Culex quinquefasciatus,0.003589375448671931
347,Arizona,4,13,2023,5,Culex tarsalis,0.001536824683768767
348,Arizona,4,13,2023,6,Culex quinquefasciatus,0.0
349,Arizona,4,13,2023,6,Culex quinquefasciatus,0.007838745800671893
350,Arizona,4,13,2023,6,Culex tarsalis,0.004990642545227698
351,Arizona,4,19,2020,5,Culex quinquefasciatus,0.0
352,Arizona,4,19,2020,5,Culex tarsalis,0.0
353,Arizona,4,19,2020,6,Culex quinquefasciatus,0.0
354,Arizona,4,19,2020,6,Culex tarsalis,0.0
355,Arizona,4,19,2020,7,Culex quinquefasciatus,0.0
356,Arizona,4,19,2020,7,Culex tarsalis,0.0
357,Arizona,4,19,2020,8,Culex quinquefasciatus,0.0
358,Arizona,4,19,2020,8,Culex tarsalis,0.0
359,Arizona,4,19,2020,9,Culex quinquefasciatus,0.0
360,Arizona,4,19,2021,4,Culex tarsalis,0.25
361,Arizona,4,19,2022,5,Culex quinquefasciatus,0.0
362,Arizona,4,19,2022,7,Culex quinquefasciatus,0.0
363,Arizona,4,19,2022,8,Culex tarsalis,0.0
364,Arizona,4,19,2022,9,Culex quinquefasciatus,0.0
365,Arizona,4,19,2022,9,Culex tarsalis,0.0
366,Arizona,4,19,2022,10,Culex quinquefasciatus,0.0
367,Arizona,4,19,2022,10,Culex tarsalis,0.0
368,Arizona,4,19,2022,10,Culex tarsalis,0.0
369,Arizona,4,19,2023,3,Culex quinquefasciatus,0.0
370,Arizona,4,19,2023,3,Culex tarsalis,0.0
371,Arizona,4,21,2020,4,Culex quinquefasciatus,0.0
372,Arizona,4,21,2020,4,Culex tarsalis,0.0
373,Arizona,4,21,2020,5,Culex quinquefasciatus,0.0
374,Arizona,4,21,2020,5,Culex tarsalis,0.0
375,Arizona,4,21,2020,6,Culex quinquefasciatus,0.0
376,Arizona,4,21,2020,6,Culex tarsalis,0.0
377,Arizona,4,21,2020,7,Culex quinquefasciatus,0.0
378,Arizona,4,21,2020,7,Culex tarsalis,0.015873015873015872
379,Arizona,4,21,2020,8,Culex quinquefasciatus,0.0
380,Arizona,4,21,2020,8,Culex tarsalis,0.017241379310344827
381,Arizona,4,21,2020,9,Culex quinquefasciatus,0.014285714285714285
382,Arizona,4,21,2020,9,Culex tarsalis,0.0
383,Arizona,4,21,2020,10,Culex quinquefasciatus,0.0
384,Arizona,4,21,2020,10,Culex tarsalis,0.0
385,Arizona,4,21,2021,4,Culex quinquefasciatus,0.0
386,Arizona,4,21,2021,4,Culex tarsalis,0.0
387,Arizona,4,21,2021,5,Culex quinquefasciatus,0.0
388,Arizona,4,21,2021,5,Culex tarsalis,0.0
389,Arizona,4,21,2021,6,Culex quinquefasciatus,0.0
390,Arizona,4,21,2021,6,Culex tarsalis,0.0
391,Arizona,4,21,2021,7,Culex quinquefasciatus,0.0
392,Arizona,4,21,2021,7,Culex tarsalis,0.006172839506172839
393,Arizona,4,21,2021,8,Culex quinquefasciatus,0.013311148086522463
394,Arizona,4,21,2021,8,Culex tarsalis,0.02891156462585034
395,Arizona,4,21,2021,9,Culex quinquefasciatus,0.013020833333333334
396,Arizona,4,21,2021,9,Culex tarsalis,0.010512483574244415
397,Arizona,4,21,2021,10,Culex quinquefasciatus,0.0
398,Arizona,4,21,2021,10,Culex tarsalis,0.004484304932735426
399,Arizona,4,21,2022,4,Culex quinquefasciatus,0.0
400,Arizona,4,21,2022,4,Culex tarsalis,0.0
401,Arizona,4,21,2022,5,Culex quinquefasciatus,0.0
402,Arizona,4,21,2022,5,Culex tarsalis,0.0
403,Arizona,4,21,2022,6,Culex quinquefasciatus,0.0
404,Arizona,4,21,2022,6,Culex tarsalis,0.0
405,Arizona,4,21,2022,7,Culex quinquefasciatus,0.0
406,Arizona,4,21,2022,7,Culex tarsalis,0.0
407,Arizona,4,21,2022,8,Culex quinquefasciatus,0.014285714285714285
408,Arizona,4,21,2022,8,Culex tarsalis,0.0
409,Arizona,4,21,2022,9,Culex quinquefasciatus,0.0
410,Arizona,4,21,2022,9,Culex tarsalis,0.0
411,Arizona,4,21,2022,10,Culex quinquefasciatus,0.0
412,Arizona,4,21,2022,10,Culex tarsalis,0.0
413,Arizona,4,21,2023,5,Culex quinquefasciatus,0.0
414,Arizona,4,21,2023,5,Culex tarsalis,0.0
415,Arizona,4,21,2023,6,Culex quinquefasciatus,0.0
416,Arizona,4,21,2023,6,Culex tarsalis,0.0
417,Arizona,4,27,2020,5,Culex quinquefasciatus,0.0
418,Arizona,4,27,2020,5,Culex tarsalis,0.0
419,Arizona,4,27,2020,6,Culex pipiens/quinquefasciatus,0.016129032258064516
420,Arizona,4,27,2020,6,Culex pipiens/quinquefasciatus/restuans,0.0
421,Arizona,4,27,2020,6,Culex quinquefasciatus,0.0
422,Arizona,4,27,2020,6,Culex tarsalis,0.011805555555555555
423,Arizona,4,27,2020,7,Culex pipiens/quinquefasciatus,0.0
424,Arizona,4,27,2020,7,Culex tarsalis,0.014994232987312572
425,Arizona,4,27,2020,8,Culex tarsalis,0.0
426,Arizona,4,27,2020,9,Culex tarsalis,0.0
427,Arizona,4,27,2020,10,Culex pipiens/quinquefasciatus,0.0
428,Arizona,4,27,2020,10,Culex tarsalis,0.0
429,Arizona,4,27,2021,4,Culex pipiens/quinquefasciatus,0.0
