year,month,statefp,countyfp,infectionRate
2005,8,34,3,0.00795593635250918
2005,8,34,9,0.0
2005,8,34,15,0.0012642225031605564
2005,8,34,19,0.0
2005,8,34,21,0.012189812799303439
2005,8,34,23,0.003169572107765452
2005,8,34,25,0.012987012987012988
2005,8,34,27,0.015625
2005,8,34,29,0.0
2005,8,34,33,0.0
2005,8,34,37,0.0
2005,9,6,65,0.0021683422038241674
2005,9,34,1,0.0
2005,9,34,3,0.0037776578521316784
2005,9,34,7,0.0
2005,9,34,9,0.0
2005,9,34,15,0.0016051364365971107
2005,9,34,19,0.0
2005,9,34,21,0.009195402298850575
2005,9,34,23,0.00946372239747634
2005,9,34,25,0.07692307692307693
2005,9,34,27,0.0
2005,9,34,29,0.0
2005,9,34,33,0.0
2005,10,6,65,0.00032932652725177014
2005,10,34,1,0.0
2005,10,34,3,0.0
2005,10,34,9,0.013888888888888888
2005,10,34,19,0.0
2005,10,34,21,0.0
2005,10,34,23,0.0
2005,10,34,25,0.0
2005,10,34,29,0.0
2005,11,6,65,0.0004187604690117253
2005,12,6,65,0.0
2006,1,6,65,0.0
2006,1,6,67,0.0
2006,1,6,71,0.0
2006,1,6,113,0.0
2006,2,6,65,0.0
2006,2,6,67,0.0
2006,2,6,71,0.0
2006,2,6,113,0.0
2006,3,6,65,0.0
2006,3,6,67,0.0
2006,3,6,113,0.0
2006,4,6,1,0.0
2006,4,6,29,0.0
2006,4,6,37,0.0
2006,4,6,61,0.0
2006,4,6,65,0.0006882312456985547
2006,4,6,67,0.0
2006,4,6,71,0.0
2006,4,6,113,0.0
2006,5,6,29,0.0
2006,5,6,37,0.0004140215291195142
2006,5,6,41,0.0
2006,5,6,61,0.0
2006,5,6,65,0.0
2006,5,6,67,0.0
2006,5,6,71,0.0
2006,5,6,89,0.0
2006,5,6,97,0.0
2006,5,6,107,0.0
2006,5,6,113,0.0
2006,6,6,1,0.0
2006,6,6,19,0.000423728813559322
2006,6,6,29,0.0006775985905949315
2006,6,6,37,0.0
2006,6,6,39,0.0
2006,6,6,41,0.0
2006,6,6,61,0.0
2006,6,6,65,0.00011279043537108053
2006,6,6,67,0.0001399384270920795
2006,6,6,71,0.0
2006,6,6,89,0.0
2006,6,6,97,0.0
2006,6,6,99,0.0
2006,6,6,107,0.0
2006,6,6,113,0.0002942041776993233
2006,6,34,29,0.0
2006,6,34,33,0.0
2006,6,34,37,0.0
2006,6,46,13,0.0
2006,7,6,1,0.0
2006,7,6,19,0.005623471882640587
2006,7,6,29,0.012013256006628004
2006,7,6,31,0.0
2006,7,6,37,0.0005194805194805195
2006,7,6,41,0.0
2006,7,6,61,0.002376237623762376
2006,7,6,65,0.00035676061362825543
2006,7,6,67,0.0018331805682859762
2006,7,6,71,0.0006849315068493151
2006,7,6,89,0.003861003861003861
2006,7,6,97,0.0
2006,7,6,99,0.004458314757021846
2006,7,6,107,0.0
2006,7,6,113,0.0017446932247746438
2006,7,34,1,0.0
2006,7,34,9,0.0
2006,7,34,15,0.0
2006,7,34,19,0.0
2006,7,34,21,0.005813953488372093
2006,7,34,25,0.0
2006,7,34,29,0.0
2006,7,34,33,0.0
2006,7,34,37,0.0
2006,7,46,13,0.0024875621890547263
2006,8,6,19,0.004103405826836274
2006,8,6,29,0.010051282051282051
2006,8,6,31,0.022222222222222223
2006,8,6,37,0.0056112702960840494
2006,8,6,41,0.0010706638115631692
2006,8,6,61,0.00269323996768112
2006,8,6,65,0.0023148148148148147
2006,8,6,67,0.0013250433187238814
2006,8,6,71,0.003230272265805261
2006,8,6,89,0.002206693637366679
2006,8,6,97,0.0
2006,8,6,99,0.005355303810504634
2006,8,6,107,0.003115264797507788
2006,8,6,113,0.001567807682257643
2006,8,34,1,0.0
2006,8,34,3,0.004498106060606061
2006,8,34,7,0.0
2006,8,34,9,0.0
2006,8,34,15,0.0008613264427217916
2006,8,34,17,0.005218525766470972
2006,8,34,19,0.002
2006,8,34,21,0.011222681630242174
2006,8,34,25,0.0
2006,8,34,29,0.0
2006,8,34,33,0.0
2006,8,34,37,0.0
2006,8,46,13,0.008264462809917356
2006,9,6,1,0.0
2006,9,6,19,0.0012417218543046358
2006,9,6,29,0.003980993964299473
2006,9,6,31,0.029411764705882353
2006,9,6,37,0.004578507945057905
2006,9,6,41,0.0015785319652722968
2006,9,6,61,0.0017421602787456446
2006,9,6,65,0.000761131548902702
2006,9,6,67,0.0008991458114790948
2006,9,6,71,0.0016620498614958448
2006,9,6,89,0.0
2006,9,6,97,0.001430615164520744
2006,9,6,99,0.0011253868517302824
2006,9,6,107,0.0024582104228121925
2006,9,6,113,0.00022836263987211693
2006,9,34,3,0.0016658733936220848
2006,9,34,9,0.0
2006,9,34,15,0.002173913043478261
2006,9,34,17,0.0
2006,9,34,19,0.0
2006,9,34,21,0.008888888888888889
2006,9,34,23,0.0
2006,9,34,25,0.0
2006,9,34,27,0.0
2006,9,34,29,0.0
2006,9,34,37,0.0
2006,10,6,19,0.0
2006,10,6,29,0.0
2006,10,6,37,0.0006830601092896175
2006,10,6,41,0.0
2006,10,6,65,9.848820603732703e-05
2006,10,6,67,0.00039032006245121
2006,10,6,71,0.0
2006,10,6,97,0.0
2006,10,6,99,0.0009861932938856016
2006,10,6,113,0.0
2006,10,34,1,0.0
2006,10,34,3,0.0
2006,10,34,7,0.0
2006,10,34,9,0.0
2006,10,34,15,0.0
2006,10,34,17,0.0
2006,10,34,21,0.0
2006,10,34,29,0.0
2006,10,34,37,0.0
2006,11,6,37,0.0016286644951140066
2006,11,6,65,0.0
2006,11,6,67,0.0
2006,11,6,71,0.0
2006,11,6,113,0.0
2006,12,6,37,0.0006002400960384153
2006,12,6,65,0.0
2006,12,6,71,0.0
2007,1,6,37,0.002347417840375587
2007,1,6,65,0.00044943820224719103
2007,1,6,67,0.0
2007,1,6,71,0.0
2007,1,6,113,0.0
2007,2,6,37,0.0
2007,2,6,65,0.0
2007,2,6,67,0.0
2007,2,6,97,0.0
2007,2,6,113,0.0
2007,3,6,13,0.0
2007,3,6,37,0.0
2007,3,6,65,0.0
2007,3,6,67,0.0
2007,3,6,71,0.0
2007,3,6,85,0.0
2007,3,6,97,0.0
2007,3,6,99,0.0
2007,3,6,113,0.0
2007,4,6,13,0.0
2007,4,6,19,0.0
2007,4,6,29,0.0
2007,4,6,37,0.0
2007,4,6,41,0.0
2007,4,6,65,0.0
2007,4,6,67,0.0
2007,4,6,71,0.0
2007,4,6,99,0.0
2007,4,6,113,0.0
2007,5,6,13,0.0
2007,5,6,19,0.0
2007,5,6,29,0.0
2007,5,6,37,0.00011086474501108647
2007,5,6,41,0.0
2007,5,6,65,0.0
2007,5,6,67,0.0
2007,5,6,71,0.0
2007,5,6,85,0.0
2007,5,6,97,0.0
2007,5,6,99,0.0
2007,5,6,107,0.0
2007,5,6,113,0.0
2007,5,46,13,0.0
2007,6,6,13,0.0
2007,6,6,19,0.0013536379018612521
2007,6,6,29,0.01038604742308446
2007,6,6,31,0.0
2007,6,6,37,7.954816641476414e-05
2007,6,6,41,0.0
2007,6,6,47,0.0
2007,6,6,61,0.0
2007,6,6,65,0.0
2007,6,6,67,0.0
2007,6,6,71,0.0
2007,6,6,85,0.0
2007,6,6,89,0.0
2007,6,6,97,0.0
2007,6,6,99,0.0004949794937066893
2007,6,6,107,0.0
2007,6,6,113,0.0
2007,6,34,1,0.0
2007,6,34,7,0.0
2007,6,34,9,0.0
2007,6,34,15,0.0
2007,6,34,21,0.0
2007,6,34,25,0.0
2007,6,34,29,0.0
2007,6,34,33,0.0
2007,6,34,35,0.0
2007,6,46,13,0.0012224938875305623
2007,7,6,13,0.0
2007,7,6,19,0.003505417463352454
2007,7,6,29,0.010551305724083356
2007,7,6,31,0.0
2007,7,6,37,0.0009998182148700237
2007,7,6,41,0.0
2007,7,6,47,0.0
2007,7,6,61,0.0010607265977194379
2007,7,6,65,0.0014990006662225182
2007,7,6,67,0.003294485854301363
2007,7,6,71,0.0
2007,7,6,85,0.008620689655172414
2007,7,6,89,0.00131420435877779
2007,7,6,97,0.0
2007,7,6,99,0.0029560076508433316
2007,7,6,107,0.0014684287812041115
2007,7,6,113,0.0003580165881019154
2007,7,34,1,0.0
2007,7,34,9,0.0
2007,7,34,11,0.0
2007,7,34,15,0.0
2007,7,34,19,0.0
2007,7,34,21,0.0031746031746031746
2007,7,34,23,0.0
2007,7,34,25,0.0
2007,7,34,27,0.0
2007,7,34,29,0.0
2007,7,34,33,0.0
2007,7,34,35,0.0
2007,7,46,13,0.006191950464396285
2007,7,46,83,0.02857142857142857
2007,8,6,1,0.0
2007,8,6,11,0.0
2007,8,6,13,0.0032910775231594345
2007,8,6,19,0.00816326530612245
2007,8,6,29,0.010066395373741701
2007,8,6,31,0.006944444444444444
2007,8,6,37,0.004186952288218111
2007,8,6,41,0.0
2007,8,6,47,0.0
2007,8,6,61,0.00246415770609319
2007,8,6,65,0.0011967448539971278
2007,8,6,67,0.0019471634564782654
2007,8,6,71,0.0002687449610319806
2007,8,6,85,0.008053691275167786
2007,8,6,89,0.0007349338559529642
2007,8,6,97,0.0
2007,8,6,99,0.003056234718826406
2007,8,6,107,0.0011142061281337048
2007,8,6,113,0.0
2007,8,34,1,0.0
2007,8,34,3,0.006944444444444444
2007,8,34,7,0.01692047377326565
2007,8,34,9,0.0
2007,8,34,11,0.0
2007,8,34,15,0.0
2007,8,34,21,0.021904761904761906
2007,8,34,23,0.0
2007,8,34,25,0.010869565217391304
2007,8,34,29,0.015060240963855422
2007,8,34,33,0.0
2007,8,34,37,0.0
2007,9,6,1,0.0004210526315789474
2007,9,6,11,0.0
2007,9,6,13,0.00011419435879867534
2007,9,6,19,0.0024855012427506215
2007,9,6,29,0.001445086705202312
2007,9,6,37,0.004058755315036722
2007,9,6,41,0.0
2007,9,6,47,0.0
2007,9,6,61,0.0
2007,9,6,65,0.0014480761274306992
2007,9,6,67,0.0007657554177195804
2007,9,6,71,0.0013413816230717639
2007,9,6,85,0.0
2007,9,6,89,0.00021048200378867606
2007,9,6,97,0.0010482180293501049
2007,9,6,99,0.001329198050509526
2007,9,6,107,0.002485089463220676
2007,9,6,113,0.00029881966233378154
2007,9,34,3,0.002622950819672131
2007,9,34,7,0.008350730688935281
2007,9,34,9,0.0
2007,9,34,11,0.007352941176470588
2007,9,34,15,0.0
2007,9,34,21,0.006787330316742082
2007,9,34,23,0.007194244604316547
2007,9,34,25,0.016666666666666666
2007,9,34,29,0.0
2007,9,34,33,0.0
2007,10,6,1,0.0
2007,10,6,13,0.0
2007,10,6,19,0.001519756838905775
2007,10,6,29,0.0015384615384615385
2007,10,6,37,0.0011246786632390746
2007,10,6,41,0.0
2007,10,6,61,0.0
2007,10,6,65,0.00010681478316599017
2007,10,6,67,0.0006618133686300463
2007,10,6,71,0.0
2007,10,6,85,0.0
2007,10,6,97,0.0
2007,10,6,99,0.0
2007,10,6,107,0.0
2007,10,6,113,0.0
2007,10,34,1,0.0
2007,10,34,3,0.0
2007,10,34,7,0.0
2007,10,34,9,0.008403361344537815
2007,10,34,15,0.00398406374501992
2007,10,34,21,0.014519056261343012
2007,10,34,23,0.0
2007,10,34,25,0.0
2007,10,34,29,0.0
2007,10,34,33,0.0
2007,11,6,37,0.0002631232732535193
2007,11,6,41,0.0
2007,11,6,65,0.0
2007,11,6,67,0.0
2007,11,6,71,0.0
2007,11,6,97,0.0
2007,11,6,113,0.0
2007,11,34,21,0.0
2007,11,34,25,0.0
2007,12,6,13,0.0
2007,12,6,37,0.0012690355329949238
2007,12,6,65,0.0
2007,12,6,71,0.0
2008,1,6,37,0.0
2008,1,6,65,0.0
2008,1,6,71,0.0
2008,2,6,13,0.0
2008,2,6,37,0.0
2008,2,6,65,0.0
2008,3,6,29,0.0
2008,3,6,37,0.0
2008,3,6,41,0.0
2008,3,6,65,0.0005624296962879641
2008,3,6,67,0.0
2008,3,6,71,0.0
2008,3,6,85,0.0
2008,3,6,97,0.0
2008,3,6,113,0.0
2008,4,6,13,0.0
2008,4,6,19,0.0
2008,4,6,29,0.0
2008,4,6,37,0.0
2008,4,6,41,0.0
2008,4,6,61,0.0
2008,4,6,65,0.0003025901718712176
2008,4,6,67,0.0
2008,4,6,71,0.0
2008,4,6,85,0.0
2008,4,6,97,0.0
2008,4,6,99,0.0
2008,4,6,107,0.0
2008,4,6,113,0.0
2008,5,6,13,0.0
2008,5,6,19,0.0004391743522178305
2008,5,6,29,0.0
2008,5,6,37,0.0004363477691720301
2008,5,6,41,0.0
2008,5,6,61,0.0
2008,5,6,65,7.656967840735069e-05
2008,5,6,67,0.0
2008,5,6,71,0.0
2008,5,6,85,0.004149377593360996
2008,5,6,97,0.0
2008,5,6,99,0.0
2008,5,6,107,0.0
2008,5,6,111,0.0
2008,5,6,113,0.0
2008,5,34,3,0.0
2008,5,34,7,0.0
2008,5,34,9,0.0
2008,5,34,15,0.0
2008,5,34,23,0.0
2008,5,34,25,0.0
2008,5,34,37,0.0
2008,5,53,67,0.0
2008,6,6,13,0.0003913894324853229
2008,6,6,19,0.00017733640716439085
2008,6,6,29,0.002617801047120419
2008,6,6,37,0.0010727147345031033
2008,6,6,41,0.0
2008,6,6,61,0.0
2008,6,6,65,0.0004848093083387201
2008,6,6,67,0.0001605716350206736
2008,6,6,71,0.0009350163627863488
2008,6,6,85,0.0
2008,6,6,97,0.0
2008,6,6,99,0.0
2008,6,6,101,0.0
2008,6,6,107,0.002320185614849188
2008,6,6,111,0.0
2008,6,6,113,0.0
2008,6,6,115,0.0
2008,6,34,1,0.0
2008,6,34,3,0.0
2008,6,34,7,0.0
2008,6,34,9,0.0
2008,6,34,15,0.0
2008,6,34,23,0.0
2008,6,34,25,0.0
2008,6,34,29,0.0
2008,6,34,33,0.0
2008,6,34,37,0.0
2008,6,46,65,0.0
2008,6,53,67,0.0
2008,7,6,1,0.0
2008,7,6,13,0.0032423669278573357
2008,7,6,19,0.0025498725063746812
2008,7,6,29,0.0
2008,7,6,37,0.007122430259537042
2008,7,6,41,0.0
2008,7,6,47,0.0
2008,7,6,61,0.0011515430677107323
2008,7,6,65,0.0029807904614705233
2008,7,6,67,0.0020573309559731175
2008,7,6,71,0.007003555651330676
2008,7,6,89,0.0
2008,7,6,97,0.00041511000415110004
2008,7,6,99,0.0009007849697593617
2008,7,6,101,0.0015467904098994587
2008,7,6,107,0.0016038492381716118
2008,7,6,111,0.0
2008,7,6,113,0.0001302252897512697
2008,7,6,115,0.002638522427440633
2008,7,34,1,0.0
2008,7,34,3,0.001838235294117647
2008,7,34,7,0.0
2008,7,34,9,0.0
2008,7,34,15,0.0051698670605613
2008,7,34,21,0.008264462809917356
2008,7,34,23,0.004366812227074236
2008,7,34,25,0.0
2008,7,34,29,0.003367003367003367
2008,7,34,33,0.0
2008,7,34,35,0.0
2008,7,46,65,0.006329113924050633
2008,7,53,67,0.00022177866489243733
2008,8,6,1,0.00046511627906976747
2008,8,6,13,0.002050113895216401
2008,8,6,19,0.0034830430797433546
2008,8,6,29,0.0005037783375314861
2008,8,6,31,0.0
2008,8,6,37,0.014004710675409001
2008,8,6,41,0.0
2008,8,6,61,0.0028129395218002813
2008,8,6,65,0.005845674201091193
2008,8,6,67,0.0037006443086073024
2008,8,6,71,0.0071636716852841184
2008,8,6,83,0.0
2008,8,6,85,0.0
2008,8,6,97,0.0
2008,8,6,99,0.0019552635695291726
2008,8,6,101,0.0012964563526361278
2008,8,6,107,0.0024246622791825423
2008,8,6,111,0.0
2008,8,6,113,0.0005350454788657035
2008,8,34,1,0.0
2008,8,34,3,0.001977587343441002
2008,8,34,7,0.0
2008,8,34,9,0.0
2008,8,34,11,0.015544041450777202
2008,8,34,13,0.011235955056179775
2008,8,34,15,0.008520526723470178
2008,8,34,21,0.013251783893985729
2008,8,34,23,0.0031746031746031746
2008,8,34,25,0.0
2008,8,34,29,0.0
2008,8,34,33,0.0
2008,8,34,37,0.0
2008,8,46,65,0.0
2008,8,53,67,0.0008903926631644555
2008,9,6,1,0.0
2008,9,6,13,0.000771158665895508
2008,9,6,19,0.0037078235076010383
2008,9,6,29,0.0014084507042253522
2008,9,6,31,0.0
2008,9,6,37,0.0065872323936840066
2008,9,6,41,0.0
2008,9,6,61,0.0006683002895967921
2008,9,6,65,0.0036774363015497765
2008,9,6,67,0.0006484383443207608
2008,9,6,71,0.001152516327314637
2008,9,6,83,0.0
2008,9,6,85,0.0
2008,9,6,97,0.0
2008,9,6,99,0.002077274615704196
2008,9,6,101,0.0022172949002217295
2008,9,6,107,0.004374453193350831
2008,9,6,111,0.0
2008,9,6,113,0.00038206826286296485
2008,9,34,1,0.07142857142857142
2008,9,34,3,0.0006923609508423724
2008,9,34,7,0.0
2008,9,34,9,0.000966183574879227
2008,9,34,11,0.0070921985815602835
2008,9,34,15,0.005829903978052126
2008,9,34,21,0.015018773466833541
2008,9,34,25,0.006060606060606061
2008,9,34,29,0.0
2008,9,34,33,0.0
2008,9,34,37,0.0
2008,9,53,67,0.0008062348830959419
2008,10,6,1,0.0
2008,10,6,13,0.0008073196986006459
2008,10,6,19,0.0016025641025641025
2008,10,6,29,0.0
2008,10,6,37,0.0029799247176913427
2008,10,6,41,0.0
2008,10,6,61,0.0
2008,10,6,65,0.0002388344877000239
2008,10,6,67,0.0
2008,10,6,71,0.0001301405517959396
2008,10,6,83,0.0
2008,10,6,97,0.001584786053882726
2008,10,6,99,0.0
2008,10,6,101,0.0
2008,10,6,107,0.003484320557491289
2008,10,6,113,0.0
2008,10,34,3,0.0
2008,10,34,7,0.0
2008,10,34,9,0.0
2008,10,34,11,0.006535947712418301
2008,10,34,13,0.0
2008,10,34,15,0.0023228803716608595
2008,10,34,21,0.01098901098901099
2008,10,34,23,0.0
2008,10,34,25,0.0
2008,10,34,29,0.0
2008,10,34,33,0.0
2008,10,34,37,0.0
2008,11,6,37,0.00022291573785109228
2008,11,6,65,0.0
2008,11,6,71,0.0
2008,11,6,97,0.0
2008,11,34,9,0.0
2008,12,6,37,0.0007996801279488205
2008,12,6,65,0.0
2008,12,6,71,0.0
2009,1,6,37,0.0
2009,1,6,65,0.0
2009,1,6,71,0.0
2009,2,6,37,0.0
2009,2,6,65,0.0
2009,2,6,71,0.0
2009,3,6,13,0.0025
2009,3,6,29,0.0
2009,3,6,37,0.0
2009,3,6,65,0.0
2009,3,6,71,0.0
2009,3,6,83,0.0
2009,4,6,13,0.0026619343389529724
2009,4,6,19,0.0
2009,4,6,29,0.0
2009,4,6,37,7.530120481927712e-05
2009,4,6,41,0.0
2009,4,6,65,0.0
2009,4,6,67,0.0
2009,4,6,71,0.0
2009,4,6,83,0.0
2009,4,6,85,0.016129032258064516
2009,4,6,97,0.0
2009,4,6,113,0.0
2009,4,34,15,0.0
2009,5,6,1,0.0
2009,5,6,13,0.0
2009,5,6,19,0.0038662284941040014
2009,5,6,29,0.0
2009,5,6,37,0.0
2009,5,6,41,0.0
2009,5,6,61,0.0
2009,5,6,65,7.603984487871645e-05
2009,5,6,67,0.0
2009,5,6,71,0.0
2009,5,6,83,0.0
2009,5,6,85,0.0012294074256208507
2009,5,6,89,0.0
2009,5,6,97,0.0
2009,5,6,99,0.0
2009,5,6,107,0.0
2009,5,6,113,0.0
2009,5,34,9,0.0
2009,5,34,15,0.0
2009,5,34,21,0.0
2009,6,6,13,0.0
2009,6,6,19,0.0036442164934539075
2009,6,6,29,0.003581376840429765
2009,6,6,31,0.0
2009,6,6,37,3.2081101023387125e-05
2009,6,6,41,0.0
2009,6,6,61,0.0
2009,6,6,65,0.0
2009,6,6,67,5.704181164793794e-05
2009,6,6,71,0.0
2009,6,6,83,0.0
2009,6,6,85,0.00024740227610094015
2009,6,6,89,0.0
2009,6,6,97,0.0
2009,6,6,99,0.0
2009,6,6,101,0.0002735229759299781
2009,6,6,107,0.00020298386278290876
2009,6,6,113,0.0
2009,6,6,115,0.0
2009,6,34,1,0.0
2009,6,34,7,0.0
2009,6,34,9,0.0
2009,6,34,11,0.0
2009,6,34,15,0.0
2009,6,34,21,0.0
2009,6,34,25,0.0
2009,6,34,29,0.0
2009,6,34,33,0.0
2009,6,34,37,0.0
2009,6,53,67,0.0
2009,7,6,1,0.0
2009,7,6,13,0.0005533013648100332
2009,7,6,19,0.004626479793169139
2009,7,6,29,0.012033978291647004
2009,7,6,31,0.0
2009,7,6,37,0.00028151171792525865
2009,7,6,41,0.0
2009,7,6,61,0.00046871338176704945
2009,7,6,65,0.0002975304968759298
2009,7,6,67,0.0005966142143336565
2009,7,6,71,0.0015446997489862908
2009,7,6,83,0.0
2009,7,6,85,0.0
2009,7,6,89,0.0
2009,7,6,97,0.0
2009,7,6,99,0.0012571588210643944
2009,7,6,101,0.000966183574879227
2009,7,6,107,0.0036922462828061072
2009,7,6,111,0.0
2009,7,6,113,0.0005557871335278589
2009,7,6,115,0.0
2009,7,34,1,0.0
2009,7,34,7,0.0
2009,7,34,9,0.0003325573661456601
2009,7,34,11,0.0
2009,7,34,15,0.0
2009,7,34,21,0.0
2009,7,34,25,0.0
2009,7,34,29,0.0
2009,7,34,33,0.0
2009,7,34,37,0.0
2009,7,46,65,0.0
2009,7,53,67,0.0031808172253486667
2009,8,6,1,0.0
2009,8,6,13,0.0006654835847382431
2009,8,6,19,0.0067178502879078695
2009,8,6,29,0.010578718108276292
2009,8,6,37,0.003511350645108607
2009,8,6,41,0.0
2009,8,6,61,0.0022060234030308844
2009,8,6,65,0.0018960940462646946
2009,8,6,67,0.0013147718484145397
2009,8,6,71,0.005730092867022327
2009,8,6,83,0.0
2009,8,6,85,0.0
2009,8,6,89,0.00018942981625307822
2009,8,6,97,0.0
2009,8,6,99,0.004198373130411965
2009,8,6,101,0.004556500607533414
2009,8,6,107,0.0075649151502760175
2009,8,6,113,0.001264400112391121
2009,8,34,9,0.001009845998485231
2009,8,34,11,0.0
2009,8,34,15,0.0007369196757553427
2009,8,34,21,0.0071301247771836
2009,8,34,25,0.0
2009,8,34,29,0.0
2009,8,34,33,0.0
2009,8,34,37,0.0
2009,8,46,13,0.0
2009,8,46,65,0.0
2009,8,53,67,0.005080066261733848
2009,9,6,1,0.0
2009,9,6,13,0.0
2009,9,6,19,0.003450655624568668
2009,9,6,29,0.0033622863547212102
2009,9,6,31,0.0
2009,9,6,37,0.002354326074161271
2009,9,6,41,0.0
2009,9,6,61,0.0013025458851391356
2009,9,6,65,0.0012175324675324675
2009,9,6,67,0.0011028060286729568
2009,9,6,71,0.0025712025316455694
2009,9,6,83,0.0
2009,9,6,85,0.0
2009,9,6,89,0.00048638132295719845
2009,9,6,97,0.0
2009,9,6,99,0.001538055897345755
2009,9,6,101,0.00517464424320828
