year,month,rate/trap_night,infectionRate
2009,6,27.92744223507892,0.00026795417871228747
2009,7,39.428033426349,0.0009208357397965333
2009,8,35.35910386097941,0.002218998631751252
2009,9,41.010732073942464,0.0023057102169612227
2009,10,15.732761508534963,0.0001912041881292348
2009,11,20.684622947860035,0.0013946406021388
2009,12,23.031160654514863,0.0
2010,1,18.745520570113616,0.0
2010,2,30.511569777036126,0.0
2010,3,34.06390393383937,0.0
2010,4,16.22921908458404,0.0
2010,5,13.863051476912737,3.31178288788585e-05
2010,6,28.208163374309986,0.00033672334100393574
2010,7,44.57299950981053,0.009976039807863178
2010,8,50.40213132649517,0.0026852845934171175
2010,9,46.186780042195515,0.001581879948753016
2010,10,27.544465689658885,0.0003234767364076139
2010,11,15.809870715824083,0.000118815878528775
2010,12,42.81682125735554,0.0
2011,1,36.50033827697431,0.0
2011,2,17.122225388159396,0.00014740566037735
2011,3,16.453409566202364,0.0
2011,4,34.14292342853847,0.0
2011,5,12.804676848358723,2.2120044951142104e-05
2011,6,23.722394618613876,0.0002226826765126345
2011,7,41.6579995561419,0.0014658948926484657
2011,8,51.829328946657995,0.004177058721138025
2011,9,40.07047962210755,0.002268243350477411
2011,10,18.749473736307586,0.000933266480626127
2011,11,10.711620744195786,0.00019502374830532857
2011,12,6.515345687305395,0.0
2012,1,11.48740407849299,0.0
2012,2,10.584723690963715,0.0
2012,3,13.802250618777384,1.0484817983559805e-05
2012,4,18.41170039561004,0.0
2012,5,20.694539441051088,0.0002660795206526385
2012,6,25.521281861861063,0.0020701694834563966
2012,7,43.092777684018834,0.0032175553707414497
2012,8,60.061709951990025,0.014693956604606758
2012,9,42.647563271779475,0.005070042701108778
2012,10,31.615322010151296,0.002732500750028432
2012,11,16.47389270772915,0.0008702749998607715
2012,12,35.340539415080364,0.00013678019422786667
2013,1,31.82378376862171,0.0
2013,2,9.871249548714479,0.0
2013,3,23.178251772671793,0.0
2013,4,20.44745096665233,0.0
2013,5,32.63440418242883,8.073797930302727e-05
2013,6,43.20901866639215,0.0008394495442983115
2013,7,81.42926438212533,0.007804569039036414
2013,8,54.03857527198294,0.004981341623607551
2013,9,47.66806341311617,0.004609974290638522
2013,10,14.553247374341312,0.0017438086510933829
2013,11,8.659196112109008,0.0005453951147917
2013,12,5.902527627160608,0.0
2014,1,11.931165799176036,0.0
2014,2,18.70237019042547,0.0
2014,3,18.208972767354382,0.0
2014,4,19.286946584290618,4.73466914132e-05
2014,5,15.414296924106022,0.0003816577835170971
2014,6,28.59182885011848,0.0020323928457568123
2014,7,64.12959987603101,0.004390539797427996
2014,8,56.0265513588828,0.0053497427718830716
2014,9,34.8979990997966,0.0030419626301085583
2014,10,23.532769080701097,0.00112857249706458
2014,11,19.266328174517145,0.0008247117551810599
2014,12,10.311582643394384,0.0
2015,1,27.393272281828903,0.0
2015,2,29.14389572245675,0.0
2015,3,20.801007317522213,6.18893414483e-05
2015,4,17.777587541124817,0.00016299691215636156
2015,5,10.881037641843617,0.00041854714084034824
2015,6,38.23373916518572,0.0007663449252065364
2015,7,48.80093144743334,0.0026522901819025476
2015,8,46.62338982560371,0.005019828110893949
2015,9,27.304947706289497,0.004333523013241977
2015,10,26.669822331167076,0.006061254715879262
2015,11,8.551060620754782,0.0010478704236693713
2015,12,8.677174529210452,0.0003691399040236
2016,1,5.064255699098902,0.0
2016,2,15.412868724283623,0.0
2016,3,18.65304183839626,0.0
2016,4,26.35486782871659,2.63219880915625e-05
2016,5,17.357073780100308,0.0003300628663396
2016,6,53.93407511077751,0.0018491703973164736
2016,7,53.860772651914736,0.0028381774348282297
2016,8,49.73820922503598,0.0032971020433299864
2016,9,31.462451048204283,0.0014405587894747499
2016,10,15.210342904124037,0.0005476071760439476
2016,11,19.510825312927004,0.0003516704740473167
2016,12,6.18634513291305,0.00053908355795148
2017,1,3.105183959669242,0.0
2017,2,7.736202955125385,0.0
2017,3,31.03295271938832,0.0
2017,4,45.32077303438664,1.267249095823819e-05
2017,5,23.112124543860393,0.0001566173524779731
2017,6,26.5756998849726,0.0008922180201954844
2017,7,50.24926691388103,0.0029318195538260436
2017,8,53.48894226543016,0.0036978906405373164
2017,9,35.73396278990716,0.0032159962821549388
2017,10,26.48379918179345,0.0017437295197930017
2017,11,43.15762856633416,0.0003919157618778429
2017,12,58.044038299789285,0.0
2018,1,8.465440315527067,0.0004192872117400333
2018,2,10.13943882686618,0.0
2018,3,9.170852921239634,9.477999194370001e-05
2018,4,20.416657807305842,4.531536160384e-05
2018,5,24.29472238973565,3.620711010365374e-05
2018,6,59.50710551293175,0.02648232121493486
2018,7,124.84553738733698,0.0027858827609661832
2018,8,94.78060579138617,0.003426156866620418
2018,9,50.66970709905738,0.0015837331624582913
2018,10,44.4823716003675,0.0012797813125213526
2018,11,25.408410718453165,0.00012128806935585001
2018,12,4.64631591639893,0.0
2019,1,4.039932518361952,0.0
2019,2,1.583547236146469,0.0
2019,3,15.306364625180128,1.63845788344e-05
2019,4,36.6325550179293,8.14748025593923e-05
2019,5,30.110573838791407,0.0005741654755793044
2019,6,63.125774724664204,0.000697879980135514
2019,7,107.05719508464838,0.0024832110463835614
2019,8,105.41011875519902,0.003153497385976954
2019,9,48.0226983780976,0.001960353223965653
2019,10,21.041410927372194,0.0006467319247840823
2019,11,6.783519926621985,0.0
2019,12,1.4706309545986718,0.0
2020,1,13.2896848124686,0.0
2020,2,3.941691705880984,0.0
2020,3,31.125205296329163,0.0
2020,4,43.80960217399398,0.0
2020,5,38.60779878448593,7.38747646130905e-05
2020,6,58.15141252305105,0.00040701269412348585
2020,7,76.93991949048751,0.001059651024934861
2020,8,77.8059455436687,0.0025867507672623488
2020,9,44.41612630540076,0.0063371843107744965
2020,10,45.34814723246103,0.0005892074637909086
2020,11,15.191792476159863,0.0001061571125265375
2020,12,14.993842709648247,0.0
2021,1,10.810898899486444,0.0
2021,2,6.558818124109455,0.0
2021,3,24.098963379678153,0.0
2021,4,17.137851361811506,0.011910930175178877
2021,5,20.077303549291702,6.558250005596e-05
2021,6,50.95037736244928,0.00046341046207267015
2021,7,83.78085999974432,0.002999756332032072
2021,8,72.396654485992,0.00616006045245566
2021,9,53.73383514277625,0.004582297843624712
2021,10,28.504429947243704,0.002444848124135086
2021,11,10.360127176695839,0.0002822573179392889
2021,12,5.323369244390694,0.0
2022,1,9.933456252243028,0.00013248542660305
2022,2,19.19213436850966,0.0
2022,3,32.59767999289053,2.9842728819114285e-05
2022,4,18.90196592902266,0.0
2022,5,24.303141281233177,2.9147011997474416e-05
2022,6,47.94242061398686,0.00038562973943432856
2022,7,74.65623869960694,0.0025603410688863886
2022,8,82.0441466717214,0.004789514976472205
2022,9,59.88762636756184,0.004648027803252739
2022,10,50.143049193388116,0.0017165424011549185
2022,11,11.478139485447599,0.0004802693858135745
2022,12,1.3031325266581173,0.0
2023,1,50.145153176386934,0.0030581039755351665
2023,2,14.243478243122391,0.0
2023,3,32.72587102196661,0.0
2023,4,49.39841316737016,0.0
2023,5,37.42134617024928,1.747437092264375e-05
