state,statefp,county,countyfp,year,month,trap_type,species,num_sites,num_collection_events,num_trap_nights,num_adult_females_collected,num_collection_events_with_detection
Arizona,04,Maricopa,013,2014,9,CO2,Culex tarsalis,858,2724,2724,1568,200
Arizona,04,Maricopa,013,2014,10,CO2,Culex quinquefasciatus,994,3045,3045,15198,1332
Arizona,04,Maricopa,013,2014,10,CO2,Culex tarsalis,994,3045,3045,2572,262
Arizona,04,Maricopa,013,2014,11,CO2,Culex quinquefasciatus,716,2494,2494,2925,491
Arizona,04,Maricopa,013,2014,11,CO2,Culex tarsalis,716,2494,2494,308,68
Arizona,04,Maricopa,013,2014,12,CO2,Culex quinquefasciatus,646,1904,1904,945,252
Arizona,04,Maricopa,013,2014,12,CO2,Culex tarsalis,646,1904,1904,46,37
Arizona,04,Maricopa,013,2015,1,CO2,Culex quinquefasciatus,648,2537,2537,620,245
Arizona,04,Maricopa,013,2015,1,CO2,Culex tarsalis,648,2537,2537,443,175
Arizona,04,Maricopa,013,2015,2,CO2,Culex quinquefasciatus,681,2501,2501,1638,451
Arizona,04,Maricopa,013,2015,2,CO2,Culex tarsalis,681,2501,2501,1493,353
Arizona,04,Maricopa,013,2015,3,CO2,Culex quinquefasciatus,767,2877,2877,3879,757
Arizona,04,Maricopa,013,2015,3,CO2,Culex tarsalis,767,2877,2877,2133,242
Arizona,04,Maricopa,013,2015,4,CO2,Culex quinquefasciatus,769,2943,2943,3768,825
Arizona,04,Maricopa,013,2015,4,CO2,Culex tarsalis,769,2943,2943,1267,202
Arizona,04,Maricopa,013,2015,5,CO2,Culex quinquefasciatus,783,3002,3002,4147,873
Arizona,04,Maricopa,013,2015,5,CO2,Culex tarsalis,783,3002,3002,921,144
Arizona,04,Maricopa,013,2015,6,CO2,Culex quinquefasciatus,827,3080,3080,5126,900
Arizona,04,Maricopa,013,2015,6,CO2,Culex tarsalis,827,3080,3080,2058,138
Arizona,04,Maricopa,013,2015,7,CO2,Culex quinquefasciatus,802,3075,3075,2137,575
Arizona,04,Maricopa,013,2015,7,CO2,Culex tarsalis,802,3075,3075,455,85
Arizona,04,Maricopa,013,2015,8,CO2,Culex quinquefasciatus,797,2898,2898,1959,515
Arizona,04,Maricopa,013,2015,8,CO2,Culex tarsalis,797,2898,2898,261,97
Arizona,04,Maricopa,013,2015,9,CO2,Culex quinquefasciatus,787,3286,3286,3603,784
Arizona,04,Maricopa,013,2015,9,CO2,Culex tarsalis,787,3286,3286,929,187
Arizona,04,Maricopa,013,2015,10,CO2,Culex quinquefasciatus,821,3418,3418,6411,1178
Arizona,04,Maricopa,013,2015,10,CO2,Culex tarsalis,821,3418,3418,1308,286
Arizona,04,Maricopa,013,2015,11,CO2,Culex quinquefasciatus,781,2938,2938,2413,536
Arizona,04,Maricopa,013,2015,11,CO2,Culex tarsalis,781,2938,2938,73,42
Arizona,04,Maricopa,013,2015,12,CO2,Culex quinquefasciatus,757,2228,2228,216,103
Arizona,04,Maricopa,013,2015,12,CO2,Culex tarsalis,757,2228,2228,15,10
Arizona,04,Maricopa,013,2016,1,CO2,Culex quinquefasciatus,755,2991,2991,111,76
Arizona,04,Maricopa,013,2016,1,CO2,Culex tarsalis,755,2991,2991,91,59
Arizona,04,Maricopa,013,2016,2,CO2,Culex quinquefasciatus,755,2983,2983,478,237
Arizona,04,Maricopa,013,2016,2,CO2,Culex tarsalis,755,2983,2983,426,171
Arizona,04,Maricopa,013,2016,3,CO2,Culex quinquefasciatus,765,3563,3563,2555,786
Arizona,04,Maricopa,013,2016,3,CO2,Culex tarsalis,765,3563,3563,2150,420
Arizona,04,Maricopa,013,2016,4,BGS,Culex quinquefasciatus,1,1,1,2,1
Arizona,04,Maricopa,013,2016,4,CO2,Culex quinquefasciatus,779,3149,3149,2911,845
Arizona,04,Maricopa,013,2016,4,CO2,Culex tarsalis,779,3149,3149,3277,284
Arizona,04,Maricopa,013,2016,5,BGS,Culex quinquefasciatus,1,4,4,22,3
Arizona,04,Maricopa,013,2016,5,CO2,Culex quinquefasciatus,789,3025,3025,3969,802
Arizona,04,Maricopa,013,2016,5,CO2,Culex tarsalis,789,3025,3025,7626,149
Arizona,04,Maricopa,013,2016,6,BGS,Culex quinquefasciatus,2,7,7,10,4
Arizona,04,Maricopa,013,2016,6,CO2,Culex quinquefasciatus,794,3599,3599,6779,685
Arizona,04,Maricopa,013,2016,6,CO2,Culex tarsalis,794,3599,3599,2161,132
Arizona,04,Maricopa,013,2016,7,BGS,Culex quinquefasciatus,10,17,17,7,5
Arizona,04,Maricopa,013,2016,7,CO2,Culex quinquefasciatus,786,3130,3130,2473,540
Arizona,04,Maricopa,013,2016,7,CO2,Culex tarsalis,786,3130,3130,493,86
Arizona,04,Maricopa,013,2016,8,BGS,Culex quinquefasciatus,13,63,63,28,8
Arizona,04,Maricopa,013,2016,8,BGS,Culex tarsalis,13,63,63,2,1
Arizona,04,Maricopa,013,2016,8,CO2,Culex quinquefasciatus,821,3536,3536,3193,824
Arizona,04,Maricopa,013,2016,8,CO2,Culex tarsalis,821,3536,3536,659,154
Arizona,04,Maricopa,013,2016,9,BGS,Culex quinquefasciatus,13,51,51,54,10
Arizona,04,Maricopa,013,2016,9,BGS,Culex tarsalis,13,51,51,1,1
Arizona,04,Maricopa,013,2016,9,CO2,Culex quinquefasciatus,850,3416,3416,3976,1113
Arizona,04,Maricopa,013,2016,9,CO2,Culex tarsalis,850,3416,3416,2465,198
Arizona,04,Maricopa,013,2016,10,BGS,Culex quinquefasciatus,13,48,48,10,6
Arizona,04,Maricopa,013,2016,10,CO2,Culex quinquefasciatus,851,3094,3094,4914,1143
Arizona,04,Maricopa,013,2016,10,CO2,Culex tarsalis,851,3094,3094,1384,304
Arizona,04,Maricopa,013,2016,11,BGS,Culex quinquefasciatus,13,57,57,11,5
Arizona,04,Maricopa,013,2016,11,CO2,Culex quinquefasciatus,832,3290,3290,3108,828
Arizona,04,Maricopa,013,2016,11,CO2,Culex tarsalis,832,3290,3290,256,103
Arizona,04,Maricopa,013,2016,12,BGS,Culex quinquefasciatus,13,30,30,1,1
Arizona,04,Maricopa,013,2016,12,CO2,Culex quinquefasciatus,776,2553,2553,954,381
Arizona,04,Maricopa,013,2016,12,CO2,Culex tarsalis,776,2553,2553,90,31
Arizona,04,Maricopa,013,2017,1,BGS,Culex quinquefasciatus,8,23,23,2,2
Arizona,04,Maricopa,013,2017,1,CO2,Culex quinquefasciatus,778,2462,2462,291,173
Arizona,04,Maricopa,013,2017,1,CO2,Culex tarsalis,778,2462,2462,92,28
Arizona,04,Maricopa,013,2017,2,BGS,No Detection,8,15,15,0,0
Arizona,04,Maricopa,013,2017,2,CO2,Culex quinquefasciatus,770,2960,2960,1471,614
Arizona,04,Maricopa,013,2017,2,CO2,Culex tarsalis,770,2960,2960,584,146
Arizona,04,Maricopa,013,2017,3,BGS,Culex quinquefasciatus,8,40,40,6,4
Arizona,04,Maricopa,013,2017,3,BGS,Culex tarsalis,8,40,40,2,2
Arizona,04,Maricopa,013,2017,3,CO2,Culex quinquefasciatus,787,3479,3479,4370,1172
Arizona,04,Maricopa,013,2017,3,CO2,Culex tarsalis,787,3479,3479,21698,315
Arizona,04,Maricopa,013,2017,4,BGS,Culex quinquefasciatus,8,32,32,36,9
Arizona,04,Maricopa,013,2017,4,BGS,Culex tarsalis,8,32,32,1,1
Arizona,04,Maricopa,013,2017,4,CO2,Culex quinquefasciatus,781,3005,3005,6949,1224
Arizona,04,Maricopa,013,2017,4,CO2,Culex tarsalis,781,3005,3005,10647,268
Arizona,04,Maricopa,013,2017,5,BGS,Culex quinquefasciatus,8,40,40,15,8
Arizona,04,Maricopa,013,2017,5,BGS,Culex tarsalis,8,40,40,1,1
Arizona,04,Maricopa,013,2017,5,CO2,Culex quinquefasciatus,799,3339,3339,4877,1024
Arizona,04,Maricopa,013,2017,5,CO2,Culex tarsalis,799,3339,3339,1220,140
Arizona,04,Maricopa,013,2017,6,BGS,Culex quinquefasciatus,8,31,31,12,8
Arizona,04,Maricopa,013,2017,6,BGS,Culex tarsalis,8,31,31,2,2
Arizona,04,Maricopa,013,2017,6,CO2,Culex quinquefasciatus,793,3549,3549,3006,807
Arizona,04,Maricopa,013,2017,6,CO2,Culex tarsalis,793,3549,3549,845,117
Arizona,04,Maricopa,013,2017,7,BGS,Culex quinquefasciatus,68,149,149,4,3
Arizona,04,Maricopa,013,2017,7,CO2,Culex quinquefasciatus,791,3051,3051,1823,503
Arizona,04,Maricopa,013,2017,7,CO2,Culex tarsalis,791,3051,3051,403,84
Arizona,04,Maricopa,013,2017,8,BGS,Culex quinquefasciatus,68,312,312,137,55
Arizona,04,Maricopa,013,2017,8,BGS,Culex tarsalis,68,312,312,47,22
Arizona,04,Maricopa,013,2017,8,CO2,Culex quinquefasciatus,852,3809,3809,10595,1618
Arizona,04,Maricopa,013,2017,8,CO2,Culex tarsalis,852,3809,3809,1831,435
Arizona,04,Maricopa,013,2017,9,BGS,Culex quinquefasciatus,68,152,152,2,2
Arizona,04,Maricopa,013,2017,9,BGS,Culex tarsalis,68,152,152,4,3
Arizona,04,Maricopa,013,2017,9,CO2,Culex quinquefasciatus,852,3278,3278,4213,1108
Arizona,04,Maricopa,013,2017,9,CO2,Culex tarsalis,852,3278,3278,2474,454
Arizona,04,Maricopa,013,2017,10,BGS,Culex quinquefasciatus,8,29,29,3,2
Arizona,04,Maricopa,013,2017,10,BGS,Culex tarsalis,8,29,29,2,1
Arizona,04,Maricopa,013,2017,10,CO2,Culex quinquefasciatus,837,3376,3376,3287,919
Arizona,04,Maricopa,013,2017,10,CO2,Culex tarsalis,837,3376,3376,5747,572
Arizona,04,Maricopa,013,2017,11,BGS,Culex quinquefasciatus,8,40,40,4,3
Arizona,04,Maricopa,013,2017,11,CO2,Culex quinquefasciatus,831,3604,3604,3156,785
Arizona,04,Maricopa,013,2017,11,CO2,Culex tarsalis,831,3604,3604,845,177
Arizona,04,Maricopa,013,2017,12,CO2,Culex quinquefasciatus,804,2540,2540,841,350
Arizona,04,Maricopa,013,2017,12,CO2,Culex tarsalis,804,2540,2540,48,26
Arizona,04,Maricopa,013,2018,1,BGS,Culex quinquefasciatus,10,40,40,9,5
Arizona,04,Maricopa,013,2018,1,BGS,Culex tarsalis,10,40,40,1,1
Arizona,04,Maricopa,013,2018,1,CO2,Culex quinquefasciatus,793,2851,2851,1219,423
Arizona,04,Maricopa,013,2018,1,CO2,Culex tarsalis,793,2851,2851,361,121
Arizona,04,Maricopa,013,2018,2,BGS,Culex quinquefasciatus,10,40,40,5,4
Arizona,04,Maricopa,013,2018,2,BGS,Culex tarsalis,10,40,40,1,1
Arizona,04,Maricopa,013,2018,2,CO2,Culex quinquefasciatus,796,3079,3079,1626,495
Arizona,04,Maricopa,013,2018,2,CO2,Culex tarsalis,796,3079,3079,662,141
Arizona,04,Maricopa,013,2018,3,BGS,Culex quinquefasciatus,10,40,40,15,4
Arizona,04,Maricopa,013,2018,3,CO2,Culex quinquefasciatus,795,3495,3495,3969,1011
Arizona,04,Maricopa,013,2018,3,CO2,Culex tarsalis,795,3495,3495,2045,364
Arizona,04,Maricopa,013,2018,4,BGS,Culex quinquefasciatus,10,40,40,86,14
Arizona,04,Maricopa,013,2018,4,BGS,Culex tarsalis,10,40,40,1,1
Arizona,04,Maricopa,013,2018,4,CO2,Culex quinquefasciatus,798,3150,3150,3351,1022
Arizona,04,Maricopa,013,2018,4,CO2,Culex tarsalis,798,3150,3150,2426,312
Arizona,04,Maricopa,013,2018,5,BGS,Culex quinquefasciatus,10,43,43,46,16
Arizona,04,Maricopa,013,2018,5,BGS,Culex tarsalis,10,43,43,1,1
Arizona,04,Maricopa,013,2018,5,CO2,Culex quinquefasciatus,805,3739,3739,2616,941
Arizona,04,Maricopa,013,2018,5,CO2,Culex tarsalis,805,3739,3739,2025,350
Arizona,04,Maricopa,013,2018,6,BGS,Culex quinquefasciatus,10,45,45,67,15
Arizona,04,Maricopa,013,2018,6,BGS,Culex tarsalis,10,45,45,5,3
Arizona,04,Maricopa,013,2018,6,CO2,Culex quinquefasciatus,812,3382,3382,2106,700
Arizona,04,Maricopa,013,2018,6,CO2,Culex tarsalis,812,3382,3382,1410,265
Arizona,04,Maricopa,013,2018,7,BGS,Culex quinquefasciatus,10,40,40,16,6
Arizona,04,Maricopa,013,2018,7,BGS,Culex tarsalis,10,40,40,2,1
Arizona,04,Maricopa,013,2018,7,CO2,Culex quinquefasciatus,820,3484,3484,3486,835
Arizona,04,Maricopa,013,2018,7,CO2,Culex tarsalis,820,3484,3484,1133,217
Arizona,04,Maricopa,013,2018,8,BGS,Culex quinquefasciatus,10,46,46,35,11
Arizona,04,Maricopa,013,2018,8,CO2,Culex quinquefasciatus,823,3674,3674,5815,1267
Arizona,04,Maricopa,013,2018,8,CO2,Culex tarsalis,823,3674,3674,1512,264
Arizona,04,Maricopa,013,2018,9,BGS,Culex quinquefasciatus,10,40,40,50,12
Arizona,04,Maricopa,013,2018,9,BGS,Culex tarsalis,10,40,40,3,2
Arizona,04,Maricopa,013,2018,9,CO2,Culex quinquefasciatus,834,3195,3195,6626,1267
Arizona,04,Maricopa,013,2018,9,CO2,Culex tarsalis,834,3195,3195,3348,512
Arizona,04,Maricopa,013,2018,10,BGS,Culex quinquefasciatus,10,41,41,27,10
Arizona,04,Maricopa,013,2018,10,BGS,Culex tarsalis,10,41,41,2,1
Arizona,04,Maricopa,013,2018,10,CO2,Culex quinquefasciatus,866,3600,3600,6556,1360
Arizona,04,Maricopa,013,2018,10,CO2,Culex tarsalis,866,3600,3600,3268,470
Arizona,04,Maricopa,013,2018,11,BGS,Culex quinquefasciatus,9,42,42,77,18
Arizona,04,Maricopa,013,2018,11,BGS,Culex tarsalis,9,42,42,5,2
Arizona,04,Maricopa,013,2018,11,CO2,Culex quinquefasciatus,868,3665,3665,8057,1642
Arizona,04,Maricopa,013,2018,11,CO2,Culex tarsalis,868,3665,3665,1269,177
Arizona,04,Maricopa,013,2018,12,BGS,Culex quinquefasciatus,9,27,27,9,5
Arizona,04,Maricopa,013,2018,12,CO2,Culex quinquefasciatus,803,2394,2394,1610,542
Arizona,04,Maricopa,013,2018,12,CO2,Culex tarsalis,803,2394,2394,338,65
Arizona,04,Maricopa,013,2019,1,BGS,Culex quinquefasciatus,7,28,28,4,3
Arizona,04,Maricopa,013,2019,1,CO2,Culex quinquefasciatus,801,3073,3073,1042,369
Arizona,04,Maricopa,013,2019,1,CO2,Culex tarsalis,801,3073,3073,1159,353
Arizona,04,Maricopa,013,2019,2,BGS,Culex quinquefasciatus,7,26,26,2,2
Arizona,04,Maricopa,013,2019,2,CO2,Culex quinquefasciatus,801,3223,3223,644,223
Arizona,04,Maricopa,013,2019,2,CO2,Culex tarsalis,801,3223,3223,805,332
Arizona,04,Maricopa,013,2019,3,BGS,Culex quinquefasciatus,6,16,16,1,1
Arizona,04,Maricopa,013,2019,3,CO2,Culex quinquefasciatus,804,3240,3240,3374,806
Arizona,04,Maricopa,013,2019,3,CO2,Culex tarsalis,804,3240,3240,5452,872
Arizona,04,Maricopa,013,2019,4,BGS,Culex quinquefasciatus,6,24,24,4,3
Arizona,04,Maricopa,013,2019,4,CO2,Culex quinquefasciatus,820,3434,3434,4496,1024
Arizona,04,Maricopa,013,2019,4,CO2,Culex tarsalis,820,3434,3434,20050,996
Arizona,04,Maricopa,013,2019,5,BGS,Culex quinquefasciatus,8,38,38,26,12
Arizona,04,Maricopa,013,2019,5,CO2,Culex quinquefasciatus,831,3771,3771,9126,1661
Arizona,04,Maricopa,013,2019,5,CO2,Culex tarsalis,831,3771,3771,6009,479
Arizona,04,Maricopa,013,2019,6,BGS,Culex quinquefasciatus,8,32,32,35,10
Arizona,04,Maricopa,013,2019,6,CO2,Culex quinquefasciatus,861,3258,3258,5874,969
Arizona,04,Maricopa,013,2019,6,CO2,Culex tarsalis,861,3258,3258,3630,242
Arizona,04,Maricopa,013,2019,7,BGS,Culex quinquefasciatus,8,34,34,2,2
Arizona,04,Maricopa,013,2019,7,CO2,Culex quinquefasciatus,880,3744,3744,2273,581
Arizona,04,Maricopa,013,2019,7,CO2,Culex tarsalis,880,3744,3744,1102,229
Arizona,04,Maricopa,013,2019,8,BGS,Culex quinquefasciatus,8,30,30,2,2
Arizona,04,Maricopa,013,2019,8,CO2,Culex quinquefasciatus,888,3601,3601,3444,866
Arizona,04,Maricopa,013,2019,8,CO2,Culex tarsalis,888,3601,3601,1316,308
Arizona,04,Maricopa,013,2019,9,BGS,Culex quinquefasciatus,8,28,28,4,4
Arizona,04,Maricopa,013,2019,9,CO2,Culex quinquefasciatus,847,3252,3252,2547,776
Arizona,04,Maricopa,013,2019,9,CO2,Culex tarsalis,847,3252,3252,1686,397
Arizona,04,Maricopa,013,2019,10,BGS,Culex quinquefasciatus,9,38,38,37,10
Arizona,04,Maricopa,013,2019,10,CO2,Culex quinquefasciatus,911,3990,3990,7757,1541
Arizona,04,Maricopa,013,2019,10,CO2,Culex tarsalis,911,3990,3990,9835,1008
Arizona,04,Maricopa,013,2019,11,BGS,Culex quinquefasciatus,9,35,35,19,7
Arizona,04,Maricopa,013,2019,11,CO2,Culex quinquefasciatus,811,3313,3313,3100,864
Arizona,04,Maricopa,013,2019,11,CO2,Culex tarsalis,811,3313,3313,511,165
Arizona,04,Maricopa,013,2019,12,BGS,Culex quinquefasciatus,9,19,19,1,1
Arizona,04,Maricopa,013,2019,12,CO2,Culex quinquefasciatus,808,2407,2407,646,270
Arizona,04,Maricopa,013,2019,12,CO2,Culex tarsalis,808,2407,2407,105,65
Arizona,04,Maricopa,013,2020,1,BGS,Culex quinquefasciatus,10,33,33,7,6
Arizona,04,Maricopa,013,2020,1,CO2,Culex quinquefasciatus,803,3205,3205,572,274
Arizona,04,Maricopa,013,2020,1,CO2,Culex tarsalis,803,3205,3205,447,217
Arizona,04,Maricopa,013,2020,2,BGS,Culex quinquefasciatus,10,34,34,8,6
Arizona,04,Maricopa,013,2020,2,CO2,Culex quinquefasciatus,816,3237,3237,973,447
Arizona,04,Maricopa,013,2020,2,CO2,Culex tarsalis,816,3237,3237,625,178
Arizona,04,Maricopa,013,2020,3,BGS,Culex quinquefasciatus,10,39,39,26,7
Arizona,04,Maricopa,013,2020,3,BGS,Culex tarsalis,10,39,39,1,1
Arizona,04,Maricopa,013,2020,3,CO2,Culex quinquefasciatus,833,3471,3471,3933,982
Arizona,04,Maricopa,013,2020,3,CO2,Culex tarsalis,833,3471,3471,2277,578
Arizona,04,Maricopa,013,2020,4,BGS,Culex quinquefasciatus,10,43,43,81,16
Arizona,04,Maricopa,013,2020,4,BGS,Culex tarsalis,10,43,43,1,1
Arizona,04,Maricopa,013,2020,4,CO2,Culex quinquefasciatus,825,3789,3789,8134,1533
Arizona,04,Maricopa,013,2020,4,CO2,Culex tarsalis,825,3789,3789,16635,567
Arizona,04,Maricopa,013,2020,5,BGS,Culex quinquefasciatus,10,46,46,136,19
Arizona,04,Maricopa,013,2020,5,BGS,Culex tarsalis,10,46,46,2,1
Arizona,04,Maricopa,013,2020,5,CO2,Culex quinquefasciatus,853,3383,3383,7063,1338
Arizona,04,Maricopa,013,2020,5,CO2,Culex tarsalis,853,3383,3383,6195,451
Arizona,04,Maricopa,013,2020,6,BGS,Culex quinquefasciatus,10,36,36,6,5
Arizona,04,Maricopa,013,2020,6,CO2,Culex quinquefasciatus,849,3616,3616,2903,838
Arizona,04,Maricopa,013,2020,6,CO2,Culex tarsalis,849,3616,3616,2172,225
Arizona,04,Maricopa,013,2020,7,BGS,Culex quinquefasciatus,8,24,24,1,1
Arizona,04,Maricopa,013,2020,7,BGS,Culex tarsalis,8,24,24,2,1
Arizona,04,Maricopa,013,2020,7,CO2,Culex quinquefasciatus,856,3811,3811,2998,581
Arizona,04,Maricopa,013,2020,7,CO2,Culex tarsalis,856,3811,3811,1359,218
Arizona,04,Maricopa,013,2020,8,BGS,Culex quinquefasciatus,8,25,25,3,2
Arizona,04,Maricopa,013,2020,8,CO2,Culex quinquefasciatus,832,3294,3294,1739,494
Arizona,04,Maricopa,013,2020,8,CO2,Culex tarsalis,832,3294,3294,554,186
Arizona,04,Maricopa,013,2020,9,BGS,Culex quinquefasciatus,4,18,18,1,1
Arizona,04,Maricopa,013,2020,9,CO2,Culex quinquefasciatus,846,3799,3799,3661,881
Arizona,04,Maricopa,013,2020,9,CO2,Culex tarsalis,846,3799,3799,2163,421
Arizona,04,Maricopa,013,2020,10,BGS,Culex quinquefasciatus,5,23,23,3,3
Arizona,04,Maricopa,013,2020,10,CO2,Culex quinquefasciatus,832,3630,3630,2782,896
Arizona,04,Maricopa,013,2020,10,CO2,Culex tarsalis,832,3630,3630,2013,493
Arizona,04,Maricopa,013,2020,11,BGS,Culex quinquefasciatus,5,17,17,1,1
Arizona,04,Maricopa,013,2020,11,CO2,Culex quinquefasciatus,824,3274,3274,1595,629
Arizona,04,Maricopa,013,2020,11,CO2,Culex tarsalis,824,3274,3274,268,130
Arizona,04,Maricopa,013,2020,12,CO2,Culex quinquefasciatus,823,2463,2463,313,183
Arizona,04,Maricopa,013,2020,12,CO2,Culex tarsalis,823,2463,2463,53,34
Arizona,04,Maricopa,013,2021,1,CO2,Culex quinquefasciatus,823,3288,3288,234,125
Arizona,04,Maricopa,013,2021,1,CO2,Culex tarsalis,823,3288,3288,113,55
Arizona,04,Maricopa,013,2021,2,CO2,Culex quinquefasciatus,824,3286,3286,678,323
Arizona,04,Maricopa,013,2021,2,CO2,Culex tarsalis,824,3286,3286,1783,106
Arizona,04,Maricopa,013,2021,3,BGS,Culex quinquefasciatus,8,31,31,1,1
Arizona,04,Maricopa,013,2021,3,CO2,Culex quinquefasciatus,822,3763,3763,2596,876
Arizona,04,Maricopa,013,2021,3,CO2,Culex tarsalis,822,3763,3763,9835,258
Arizona,04,Maricopa,013,2021,4,BGS,Culex quinquefasciatus,8,41,41,57,18
Arizona,04,Maricopa,013,2021,4,CO2,Culex quinquefasciatus,830,3781,3781,4376,1239
Arizona,04,Maricopa,013,2021,4,CO2,Culex tarsalis,830,3781,3781,13396,244
Arizona,04,Maricopa,013,2021,5,BGS,Culex quinquefasciatus,8,32,32,44,8
Arizona,04,Maricopa,013,2021,5,CO2,Culex quinquefasciatus,830,3296,3296,3706,844
Arizona,04,Maricopa,013,2021,5,CO2,Culex tarsalis,830,3296,3296,2613,102
Arizona,04,Maricopa,013,2021,6,BGS,Culex quinquefasciatus,8,34,34,28,6
Arizona,04,Maricopa,013,2021,6,CO2,Culex quinquefasciatus,834,3803,3803,3134,721
Arizona,04,Maricopa,013,2021,6,CO2,Culex tarsalis,834,3803,3803,737,143
Arizona,04,Maricopa,013,2021,7,BGS,Culex quinquefasciatus,8,32,32,3,1
Arizona,04,Maricopa,013,2021,7,CO2,Culex quinquefasciatus,847,3608,3608,3642,948
Arizona,04,Maricopa,013,2021,7,CO2,Culex tarsalis,847,3608,3608,498,163
Arizona,04,Maricopa,013,2021,8,BGS,Culex quinquefasciatus,8,27,27,65,12
Arizona,04,Maricopa,013,2021,8,BGS,Culex tarsalis,8,27,27,2,1
Arizona,04,Maricopa,013,2021,8,CO2,Culex quinquefasciatus,937,3597,3597,10487,1854
Arizona,04,Maricopa,013,2021,8,CO2,Culex tarsalis,937,3597,3597,3963,862
Arizona,04,Maricopa,013,2021,9,BGS,Culex quinquefasciatus,8,25,25,47,13
Arizona,04,Maricopa,013,2021,9,BGS,Culex tarsalis,8,25,25,4,4
Arizona,04,Maricopa,013,2021,9,CO2,Culex quinquefasciatus,1104,4062,4062,10398,1783
Arizona,04,Maricopa,013,2021,9,CO2,Culex tarsalis,1104,4062,4062,8335,1468
Arizona,04,Maricopa,013,2021,10,BGS,Culex quinquefasciatus,6,6,6,4,4
Arizona,04,Maricopa,013,2021,10,CO2,Culex quinquefasciatus,1119,3728,3728,4432,1241
Arizona,04,Maricopa,013,2021,10,CO2,Culex tarsalis,1119,3728,3728,2899,999
Arizona,04,Maricopa,013,2021,11,BGS,Culex quinquefasciatus,8,31,31,17,7
Arizona,04,Maricopa,013,2021,11,CO2,Culex quinquefasciatus,982,3657,3657,3330,999
Arizona,04,Maricopa,013,2021,11,CO2,Culex tarsalis,982,3657,3657,756,403
Arizona,04,Maricopa,013,2021,12,CO2,Culex quinquefasciatus,883,2316,2316,802,319
Arizona,04,Maricopa,013,2021,12,CO2,Culex tarsalis,883,2316,2316,129,109
Arizona,04,Maricopa,013,2022,1,BGS,Culex quinquefasciatus,8,32,32,1,1
Arizona,04,Maricopa,013,2022,1,CO2,Culex quinquefasciatus,824,3251,3251,405,217
Arizona,04,Maricopa,013,2022,1,CO2,Culex tarsalis,824,3251,3251,455,297
Arizona,04,Maricopa,013,2022,2,BGS,Culex quinquefasciatus,8,30,30,1,1
Arizona,04,Maricopa,013,2022,2,BGS,Culex tarsalis,8,30,30,1,1
Arizona,04,Maricopa,013,2022,2,CO2,Culex quinquefasciatus,823,3284,3284,530,275
Arizona,04,Maricopa,013,2022,2,CO2,Culex tarsalis,823,3284,3284,716,312
Arizona,04,Maricopa,013,2022,3,BGS,Culex quinquefasciatus,8,16,16,2,2
Arizona,04,Maricopa,013,2022,3,CO2,Culex quinquefasciatus,823,1649,1649,719,202
