,fips,state,year,month,count
2016-04,13,GA,2016,4,0
2016-05,13,GA,2016,5,0
2016-06,13,GA,2016,6,0
2016-07,13,GA,2016,7,0
2016-08,13,GA,2016,8,1
2016-09,13,GA,2016,9,2
2016-10,13,GA,2016,10,1
2016-11,13,GA,2016,11,0
2016-12,13,GA,2016,12,0
2017-01,13,GA,2017,1,0
2017-02,13,GA,2017,2,0
2017-03,13,GA,2017,3,0
2017-04,13,GA,2017,4,1
2017-05,13,GA,2017,5,0
2017-06,13,GA,2017,6,1
2017-07,13,GA,2017,7,11
2017-08,13,GA,2017,8,15
2017-09,13,GA,2017,9,11
2017-10,13,GA,2017,10,2
2017-11,13,GA,2017,11,3
2017-12,13,GA,2017,12,0
2018-01,13,GA,2018,1,0
2018-02,13,GA,2018,2,0
2018-03,13,GA,2018,3,0
2018-04,13,GA,2018,4,0
2018-05,13,GA,2018,5,0
2018-06,13,GA,2018,6,0
2018-07,13,GA,2018,7,3
2018-08,13,GA,2018,8,11
2018-09,13,GA,2018,9,9
2018-10,13,GA,2018,10,5
2018-11,13,GA,2018,11,2
2018-12,13,GA,2018,12,0
2019-01,13,GA,2019,1,0
2019-02,13,GA,2019,2,0
2019-03,13,GA,2019,3,0
2019-04,13,GA,2019,4,0
2019-05,13,GA,2019,5,0
2019-06,13,GA,2019,6,0
2019-07,13,GA,2019,7,1
2019-08,13,GA,2019,8,3
2019-09,13,GA,2019,9,3
2019-10,13,GA,2019,10,2
2019-11,13,GA,2019,11,0
2019-12,13,GA,2019,12,0
2020-01,13,GA,2020,1,0
2020-02,13,GA,2020,2,0
2020-03,13,GA,2020,3,0
2020-04,13,GA,2020,4,0
2020-05,13,GA,2020,5,0
2020-06,13,GA,2020,6,0
2020-07,13,GA,2020,7,1
2020-08,13,GA,2020,8,6
2020-09,13,GA,2020,9,0
2020-10,13,GA,2020,10,0
2020-11,13,GA,2020,11,0
2020-12,13,GA,2020,12,0
2021-01,13,GA,2021,1,0
2021-02,13,GA,2021,2,0
2021-03,13,GA,2021,3,0
2021-04,13,GA,2021,4,0
2021-05,13,GA,2021,5,0
2021-06,13,GA,2021,6,0
2021-07,13,GA,2021,7,0
2021-08,13,GA,2021,8,1
2021-09,13,GA,2021,9,1
2021-10,13,GA,2021,10,1
2021-11,13,GA,2021,11,0
2021-12,13,GA,2021,12,0
2022-01,13,GA,2022,1,0
2022-02,13,GA,2022,2,0
2022-03,13,GA,2022,3,0
2022-04,13,GA,2022,4,0
2022-05,13,GA,2022,5,0
2022-06,13,GA,2022,6,0
2022-07,13,GA,2022,7,2
2022-08,13,GA,2022,8,5
2022-09,13,GA,2022,9,6
2022-10,13,GA,2022,10,1
2022-11,13,GA,2022,11,1
2022-12,13,GA,2022,12,0
