,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2004-03,0.0,49.3,38.1,61.5,4.23,-0.94,,,,,,,,,,,,,,,,,
2004-04,0.0,55.8,44.0,67.9,4.65,0.57,,,,,,,,,,,,,,,,,
2004-05,0.0,69.2,58.3,80.3,8.28,3.2,,,,,,,,,,,,,,,,,
2004-06,0.0,72.1,61.6,83.2,4.01,0.06,,,,,,,,,,,,,,,,,
2004-07,0.0,74.3,64.2,86.6,5.26,1.39,,,,,,,,,,,,,,,,,
2004-08,1.0,71.2,60.4,84.9,3.97,1.24,,,,,,,,,,,,,,,,,
2004-09,0.0,68.7,57.2,84.6,3.95,1.04,,,,,,,,,,,,,,,,,
2004-10,0.0,60.0,49.2,69.3,4.76,2.82,,,,,,,,,,,,,,,,,
2004-11,0.0,50.5,41.2,53.5,5.68,2.73,,,,,,,,,,,,,,,,,
2004-12,0.0,36.4,26.5,48.7,4.64,1.2,,,,,,,,,,,,,,,,,
2005-01,0.0,39.0,31.1,39.2,4.9,0.67,,,,,,,,,,,,,,,,,
2005-02,0.0,40.9,31.4,50.3,2.57,-1.36,,,,,,,,,,,,,,,,,
2005-03,0.0,42.6,31.9,57.7,3.76,-0.76,,,,,,,,,,,,,,,,,
2005-04,0.0,57.0,44.6,67.7,4.86,0.63,,,,,,,,,,,,,,,,,
2005-05,0.0,61.7,48.3,77.5,2.44,-1.5,,,,,,,,,,,,,,,,,
2005-06,0.0,73.9,62.4,87.0,2.7,-1.76,,,,,,,,,,,,,,,,,
2005-07,0.0,77.4,67.4,92.0,4.23,-0.99,,,,,,,,,,,,,,,,,
2005-08,1.0,78.0,66.9,89.1,6.51,2.41,,,,,,,,,,,,,,,,,
2005-09,3.0,71.5,58.8,85.2,1.3,-2.77,,,,,,,,,,,,,,,,,
2005-10,1.0,57.9,46.2,70.7,1.09,-2.56,,,,,,,,,,,,,,,,,
2005-11,0.0,48.2,35.6,60.5,3.04,-1.93,,,,,,,,,,,,,,,,,
2005-12,0.0,33.3,24.8,41.9,2.4,-2.33,,,,,,,,,,,,,,,,,
2006-01,0.0,43.1,32.9,55.5,5.41,0.59,,,,,,,,,,,,,,,,,
2006-02,0.0,36.2,26.2,49.1,2.22,-1.45,,,,,,,,,,,,,,,,,
2006-03,0.0,46.1,35.1,58.3,3.55,-1.32,,,,,,,,,,,,,,,,,
2006-04,0.0,60.3,47.7,74.9,4.45,-0.34,,,,,,,,,,,,,,,,,
2006-05,0.0,62.6,51.1,79.0,4.3,0.22,,,,,,,,,,,,,,,,,
2006-06,0.0,71.4,59.7,89.6,4.0,0.16,,,,,,,,,,,,,,,,,
2006-07,0.0,76.7,65.7,94.6,4.53,0.12,,,,,,,,,,,,,,,,,
2006-08,2.0,77.4,67.0,90.7,4.63,0.9,,,,,,,,,,,,,,,,,
2006-09,3.0,64.8,54.9,77.7,8.19,6.34,,,,,,,,,,,,,,,,,
2006-10,0.0,54.2,43.2,67.7,4.91,4.2,,,,,,,,,,,,,,,,,
2006-11,0.0,47.3,36.4,58.4,3.22,0.58,,,,,,,,,,,,,,,,,
2006-12,0.0,41.6,30.6,47.4,2.96,-0.78,,,,,,,,,,,,,,,,,
2007-01,0.0,38.0,29.4,36.6,4.18,0.07,,,,,,,,,,,,,,,,,
2007-02,0.0,29.8,20.1,40.4,2.35,-1.18,,,,,,,,,,,,,,,,,
2007-03,0.0,53.3,40.7,64.5,2.76,-2.94,,,,,,,,,,,,,,,,,
2007-04,0.0,53.5,41.5,62.5,3.87,0.0,,,,,,,,,,,,,,,,,
2007-05,0.0,67.8,54.1,77.1,2.05,-2.77,,,,,,,,,,,,,,,,,
2007-06,0.0,73.7,61.0,83.6,3.03,-1.61,,,,,,,,,,,,,,,,,
2007-07,0.0,74.6,63.1,89.7,4.28,-0.56,,,,,,,,,,,,,,,,,
2007-08,2.0,80.9,68.0,93.4,1.68,-4.21,,,,,,,,,,,,,,,,,
2007-09,1.0,71.9,58.5,83.7,2.1,-2.42,,,,,,,,,,,,,,,,,
2007-10,1.0,62.4,50.1,72.8,5.58,1.93,,,,,,,,,,,,,,,,,
2007-11,0.0,46.0,34.3,59.1,3.31,-0.86,,,,,,,,,,,,,,,,,
2007-12,0.0,40.7,31.8,39.0,6.67,2.39,,,,,,,,,,,,,,,,,
2008-01,0.0,33.3,23.8,42.1,3.23,-0.61,,,,,,,,,,,,,,,,,
2008-02,0.0,37.5,28.5,43.8,4.56,0.88,,,,,,,,,,,,,,,,,
2008-03,0.0,45.2,34.3,56.6,6.96,2.34,,,,,,,,,,,,,,,,,
2008-04,0.0,55.4,43.4,63.3,5.36,1.44,,,,,,,,,,,,,,,,,
2008-05,0.0,61.8,49.8,76.2,4.97,0.99,,,,,,,,,,,,,,,,,
2008-06,0.0,74.3,62.6,86.6,3.31,-1.07,,,,,,,,,,,,,,,,,
2008-07,0.0,75.2,63.5,91.2,4.65,0.25,,,,,,,,,,,,,,,,,
2008-08,0.0,73.9,61.8,86.3,1.61,-2.47,,,,,,,,,,,,,,,,,
2008-09,2.0,71.0,58.2,78.2,0.9,-3.42,,,,,,,,,,,,,,,,,
2008-10,1.0,56.7,43.3,67.9,2.29,-1.15,,,,,,,,,,,,,,,,,
2008-11,0.0,43.2,32.1,56.8,2.6,-2.07,,,,,,,,,,,,,,,,,
2008-12,0.0,36.7,26.4,42.2,6.07,1.11,,,,,,,,,,,,,,,,,
2009-01,0.0,30.2,21.0,44.7,4.59,0.65,517830.0,642672.0,695087.0,228453.0,492606.0,629222.0,726582.0,319548.0,4252000.0,2084042.0,2167958.0,3783499.0,318974.0,8193.0,42896.0,2839.0,1674738.0
2009-02,0.0,38.9,27.8,55.1,2.47,-1.34,517830.0,642672.0,695087.0,228453.0,492606.0,629222.0,726582.0,319548.0,4252000.0,2084042.0,2167958.0,3783499.0,318974.0,8193.0,42896.0,2839.0,1674738.0
2009-03,0.0,48.1,37.0,58.3,3.25,-1.84,517830.0,642672.0,695087.0,228453.0,492606.0,629222.0,726582.0,319548.0,4252000.0,2084042.0,2167958.0,3783499.0,318974.0,8193.0,42896.0,2839.0,1674738.0
2009-04,0.0,55.8,43.9,65.0,4.84,0.79,517830.0,642672.0,695087.0,228453.0,492606.0,629222.0,726582.0,319548.0,4252000.0,2084042.0,2167958.0,3783499.0,318974.0,8193.0,42896.0,2839.0,1674738.0
2009-05,0.0,64.8,54.4,75.0,6.61,2.2,517830.0,642672.0,695087.0,228453.0,492606.0,629222.0,726582.0,319548.0,4252000.0,2084042.0,2167958.0,3783499.0,318974.0,8193.0,42896.0,2839.0,1674738.0
2009-06,1.0,73.9,63.0,86.4,5.69,1.7,517830.0,642672.0,695087.0,228453.0,492606.0,629222.0,726582.0,319548.0,4252000.0,2084042.0,2167958.0,3783499.0,318974.0,8193.0,42896.0,2839.0,1674738.0
2009-07,0.0,71.8,62.0,88.0,6.66,3.6,517830.0,642672.0,695087.0,228453.0,492606.0,629222.0,726582.0,319548.0,4252000.0,2084042.0,2167958.0,3783499.0,318974.0,8193.0,42896.0,2839.0,1674738.0
2009-08,1.0,73.6,63.2,86.7,3.12,0.08,517830.0,642672.0,695087.0,228453.0,492606.0,629222.0,726582.0,319548.0,4252000.0,2084042.0,2167958.0,3783499.0,318974.0,8193.0,42896.0,2839.0,1674738.0
2009-09,1.0,69.0,59.6,76.6,5.49,2.83,517830.0,642672.0,695087.0,228453.0,492606.0,629222.0,726582.0,319548.0,4252000.0,2084042.0,2167958.0,3783499.0,318974.0,8193.0,42896.0,2839.0,1674738.0
2009-10,0.0,53.8,43.7,58.9,6.38,6.03,517830.0,642672.0,695087.0,228453.0,492606.0,629222.0,726582.0,319548.0,4252000.0,2084042.0,2167958.0,3783499.0,318974.0,8193.0,42896.0,2839.0,1674738.0
2009-11,0.0,49.2,37.6,59.6,1.07,-1.68,517830.0,642672.0,695087.0,228453.0,492606.0,629222.0,726582.0,319548.0,4252000.0,2084042.0,2167958.0,3783499.0,318974.0,8193.0,42896.0,2839.0,1674738.0
2009-12,0.0,35.6,27.3,36.6,4.18,0.77,517830.0,642672.0,695087.0,228453.0,492606.0,629222.0,726582.0,319548.0,4252000.0,2084042.0,2167958.0,3783499.0,318974.0,8193.0,42896.0,2839.0,1674738.0
2010-01,0.0,29.8,22.1,36.9,3.52,-0.32,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-02,0.0,30.6,22.8,38.8,2.25,-1.28,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-03,0.0,46.5,35.9,55.5,2.69,-2.25,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-04,0.0,59.9,45.8,71.0,3.19,-1.73,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-05,0.0,67.3,56.5,73.9,8.21,3.42,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-06,0.0,77.0,66.2,89.1,4.25,-0.44,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-07,0.0,78.4,67.6,90.9,4.58,-0.3,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-08,0.0,78.3,66.6,93.0,3.44,-0.96,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-09,2.0,70.0,56.0,84.5,1.81,-2.11,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-10,0.0,58.2,43.2,74.3,1.69,-1.88,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-11,0.0,47.1,34.6,56.8,4.9,0.01,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-12,0.0,29.0,21.8,44.0,3.01,-0.92,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2011-01,0.0,30.2,22.0,39.4,2.16,-1.56,524086.0,636325.0,716833.0,242857.0,497302.0,625054.0,745584.0,327999.0,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-02,0.0,39.1,28.6,43.4,4.88,1.12,524086.0,636325.0,716833.0,242857.0,497302.0,625054.0,745584.0,327999.0,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-03,0.0,47.9,37.9,56.2,5.51,0.55,524086.0,636325.0,716833.0,242857.0,497302.0,625054.0,745584.0,327999.0,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-04,0.0,58.8,46.9,69.1,12.07,8.66,524086.0,636325.0,716833.0,242857.0,497302.0,625054.0,745584.0,327999.0,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-05,0.0,64.2,53.7,75.8,6.75,2.42,524086.0,636325.0,716833.0,242857.0,497302.0,625054.0,745584.0,327999.0,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-06,0.0,74.2,63.1,90.6,5.36,1.27,524086.0,636325.0,716833.0,242857.0,497302.0,625054.0,745584.0,327999.0,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-07,0.0,79.5,69.1,98.7,3.94,-1.02,524086.0,636325.0,716833.0,242857.0,497302.0,625054.0,745584.0,327999.0,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-08,0.0,75.8,64.0,94.3,2.31,-1.79,524086.0,636325.0,716833.0,242857.0,497302.0,625054.0,745584.0,327999.0,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-09,4.0,66.9,56.8,80.5,5.89,3.11,524086.0,636325.0,716833.0,242857.0,497302.0,625054.0,745584.0,327999.0,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-10,0.0,55.6,43.1,72.0,2.94,0.96,524086.0,636325.0,716833.0,242857.0,497302.0,625054.0,745584.0,327999.0,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-11,0.0,49.9,39.1,56.4,7.58,4.15,524086.0,636325.0,716833.0,242857.0,497302.0,625054.0,745584.0,327999.0,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-12,0.0,41.0,31.6,43.2,4.96,1.26,524086.0,636325.0,716833.0,242857.0,497302.0,625054.0,745584.0,327999.0,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2012-01,0.0,38.7,28.2,49.7,3.8,-0.31,524642.0,636764.0,722871.0,250078.0,496737.0,625166.0,750910.0,332999.0,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
2012-02,0.0,41.2,31.1,48.6,2.32,-1.65,524642.0,636764.0,722871.0,250078.0,496737.0,625166.0,750910.0,332999.0,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
2012-03,0.0,58.0,45.6,69.2,4.5,-1.71,524642.0,636764.0,722871.0,250078.0,496737.0,625166.0,750910.0,332999.0,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
2012-04,0.0,57.3,44.3,71.8,2.33,-2.32,524642.0,636764.0,722871.0,250078.0,496737.0,625166.0,750910.0,332999.0,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
2012-05,1.0,69.4,57.4,83.4,4.25,-0.83,524642.0,636764.0,722871.0,250078.0,496737.0,625166.0,750910.0,332999.0,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
2012-06,0.0,72.5,58.8,92.0,1.5,-2.87,524642.0,636764.0,722871.0,250078.0,496737.0,625166.0,750910.0,332999.0,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
2012-07,2.0,80.5,68.9,99.1,5.54,-0.25,524642.0,636764.0,722871.0,250078.0,496737.0,625166.0,750910.0,332999.0,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
2012-08,6.0,74.6,62.5,91.3,3.17,-1.13,524642.0,636764.0,722871.0,250078.0,496737.0,625166.0,750910.0,332999.0,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
2012-09,4.0,67.3,56.2,82.8,5.88,2.94,524642.0,636764.0,722871.0,250078.0,496737.0,625166.0,750910.0,332999.0,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
2012-10,0.0,55.2,44.2,67.6,3.03,0.94,524642.0,636764.0,722871.0,250078.0,496737.0,625166.0,750910.0,332999.0,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
2012-11,0.0,43.2,30.2,62.2,1.34,-1.67,524642.0,636764.0,722871.0,250078.0,496737.0,625166.0,750910.0,332999.0,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
2012-12,0.0,43.0,34.3,46.9,5.55,1.33,524642.0,636764.0,722871.0,250078.0,496737.0,625166.0,750910.0,332999.0,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
2013-01,0.0,36.7,27.9,44.5,5.6,1.42,524142.0,638352.0,725482.0,258010.0,496488.0,623990.0,755004.0,339865.0,4361333.0,2145986.0,2215347.0,3835013.0,341576.0,8811.0,51411.0,2019.0,1694996.0
2013-02,0.0,36.8,26.6,45.6,2.19,-1.51,524142.0,638352.0,725482.0,258010.0,496488.0,623990.0,755004.0,339865.0,4361333.0,2145986.0,2215347.0,3835013.0,341576.0,8811.0,51411.0,2019.0,1694996.0
2013-03,0.0,39.4,30.0,52.8,4.95,0.74,524142.0,638352.0,725482.0,258010.0,496488.0,623990.0,755004.0,339865.0,4361333.0,2145986.0,2215347.0,3835013.0,341576.0,8811.0,51411.0,2019.0,1694996.0
2013-04,0.0,55.2,42.8,61.1,4.96,1.01,524142.0,638352.0,725482.0,258010.0,496488.0,623990.0,755004.0,339865.0,4361333.0,2145986.0,2215347.0,3835013.0,341576.0,8811.0,51411.0,2019.0,1694996.0
2013-05,0.0,64.9,53.7,76.4,4.44,0.03,524142.0,638352.0,725482.0,258010.0,496488.0,623990.0,755004.0,339865.0,4361333.0,2145986.0,2215347.0,3835013.0,341576.0,8811.0,51411.0,2019.0,1694996.0
2013-06,0.0,72.9,62.3,88.7,6.23,2.47,524142.0,638352.0,725482.0,258010.0,496488.0,623990.0,755004.0,339865.0,4361333.0,2145986.0,2215347.0,3835013.0,341576.0,8811.0,51411.0,2019.0,1694996.0
2013-07,0.0,74.0,64.3,89.7,6.42,2.95,524142.0,638352.0,725482.0,258010.0,496488.0,623990.0,755004.0,339865.0,4361333.0,2145986.0,2215347.0,3835013.0,341576.0,8811.0,51411.0,2019.0,1694996.0
2013-08,0.0,73.7,63.9,87.7,4.14,1.31,524142.0,638352.0,725482.0,258010.0,496488.0,623990.0,755004.0,339865.0,4361333.0,2145986.0,2215347.0,3835013.0,341576.0,8811.0,51411.0,2019.0,1694996.0
2013-09,1.0,69.1,57.7,85.3,3.66,0.81,524142.0,638352.0,725482.0,258010.0,496488.0,623990.0,755004.0,339865.0,4361333.0,2145986.0,2215347.0,3835013.0,341576.0,8811.0,51411.0,2019.0,1694996.0
2013-10,0.0,57.6,46.7,68.4,3.66,1.93,524142.0,638352.0,725482.0,258010.0,496488.0,623990.0,755004.0,339865.0,4361333.0,2145986.0,2215347.0,3835013.0,341576.0,8811.0,51411.0,2019.0,1694996.0
2013-11,0.0,42.8,31.3,53.6,3.4,1.1,524142.0,638352.0,725482.0,258010.0,496488.0,623990.0,755004.0,339865.0,4361333.0,2145986.0,2215347.0,3835013.0,341576.0,8811.0,51411.0,2019.0,1694996.0
2013-12,0.0,37.4,28.3,41.6,6.13,2.64,524142.0,638352.0,725482.0,258010.0,496488.0,623990.0,755004.0,339865.0,4361333.0,2145986.0,2215347.0,3835013.0,341576.0,8811.0,51411.0,2019.0,1694996.0
2014-01,0.0,26.8,15.6,43.1,2.34,-1.4,521773.0,640089.0,727596.0,266793.0,496577.0,625997.0,756744.0,347703.0,4383272.0,2156251.0,2227021.0,3845535.0,345035.0,9000.0,53448.0,2109.0,1702235.0
2014-02,0.0,33.2,23.4,38.6,4.47,0.97,521773.0,640089.0,727596.0,266793.0,496577.0,625997.0,756744.0,347703.0,4383272.0,2156251.0,2227021.0,3845535.0,345035.0,9000.0,53448.0,2109.0,1702235.0
2014-03,0.0,41.5,28.9,55.1,3.44,-1.0,521773.0,640089.0,727596.0,266793.0,496577.0,625997.0,756744.0,347703.0,4383272.0,2156251.0,2227021.0,3845535.0,345035.0,9000.0,53448.0,2109.0,1702235.0
2014-04,0.0,57.4,44.0,68.3,6.43,2.38,521773.0,640089.0,727596.0,266793.0,496577.0,625997.0,756744.0,347703.0,4383272.0,2156251.0,2227021.0,3845535.0,345035.0,9000.0,53448.0,2109.0,1702235.0
2014-05,0.0,66.1,54.0,78.9,3.65,-0.93,521773.0,640089.0,727596.0,266793.0,496577.0,625997.0,756744.0,347703.0,4383272.0,2156251.0,2227021.0,3845535.0,345035.0,9000.0,53448.0,2109.0,1702235.0
2014-06,0.0,74.1,63.6,85.0,3.98,-0.3,521773.0,640089.0,727596.0,266793.0,496577.0,625997.0,756744.0,347703.0,4383272.0,2156251.0,2227021.0,3845535.0,345035.0,9000.0,53448.0,2109.0,1702235.0
2014-07,0.0,72.6,61.2,87.9,3.67,-0.43,521773.0,640089.0,727596.0,266793.0,496577.0,625997.0,756744.0,347703.0,4383272.0,2156251.0,2227021.0,3845535.0,345035.0,9000.0,53448.0,2109.0,1702235.0
2014-08,0.0,75.1,64.6,91.4,5.46,2.04,521773.0,640089.0,727596.0,266793.0,496577.0,625997.0,756744.0,347703.0,4383272.0,2156251.0,2227021.0,3845535.0,345035.0,9000.0,53448.0,2109.0,1702235.0
2014-09,0.0,68.2,56.8,80.9,2.19,-1.13,521773.0,640089.0,727596.0,266793.0,496577.0,625997.0,756744.0,347703.0,4383272.0,2156251.0,2227021.0,3845535.0,345035.0,9000.0,53448.0,2109.0,1702235.0
2014-10,0.0,57.6,46.7,72.7,5.69,3.68,521773.0,640089.0,727596.0,266793.0,496577.0,625997.0,756744.0,347703.0,4383272.0,2156251.0,2227021.0,3845535.0,345035.0,9000.0,53448.0,2109.0,1702235.0
2014-11,0.0,39.8,29.6,51.8,2.43,0.24,521773.0,640089.0,727596.0,266793.0,496577.0,625997.0,756744.0,347703.0,4383272.0,2156251.0,2227021.0,3845535.0,345035.0,9000.0,53448.0,2109.0,1702235.0
2014-12,0.0,39.7,32.4,43.1,3.36,-0.26,521773.0,640089.0,727596.0,266793.0,496577.0,625997.0,756744.0,347703.0,4383272.0,2156251.0,2227021.0,3845535.0,345035.0,9000.0,53448.0,2109.0,1702235.0
2015-01,0.0,32.2,22.9,44.8,1.97,-1.74,520876.0,639797.0,727594.0,275941.0,495189.0,625959.0,754963.0,357034.0,4397353.0,2164208.0,2233145.0,3851591.0,347034.0,9063.0,55483.0,2197.0,1708499.0
