,fips,state,year,month,count
2012-06,11,DC,2012,6,0
2012-07,11,DC,2012,7,3
2012-08,11,DC,2012,8,4
2012-09,11,DC,2012,9,0
2012-10,11,DC,2012,10,1
2012-11,11,DC,2012,11,0
2012-12,11,DC,2012,12,0
2013-01,11,DC,2013,1,0
2013-02,11,DC,2013,2,0
2013-03,11,DC,2013,3,0
2013-04,11,DC,2013,4,0
2013-05,11,DC,2013,5,0
2013-06,11,DC,2013,6,0
2013-07,11,DC,2013,7,0
2013-08,11,DC,2013,8,0
2013-09,11,DC,2013,9,0
2013-10,11,DC,2013,10,0
2013-11,11,DC,2013,11,0
2013-12,11,DC,2013,12,0
2014-01,11,DC,2014,1,0
2014-02,11,DC,2014,2,0
2014-03,11,DC,2014,3,0
2014-04,11,DC,2014,4,0
2014-05,11,DC,2014,5,0
2014-06,11,DC,2014,6,0
2014-07,11,DC,2014,7,0
2014-08,11,DC,2014,8,1
2014-09,11,DC,2014,9,0
2014-10,11,DC,2014,10,0
2014-11,11,DC,2014,11,0
2014-12,11,DC,2014,12,0
2015-01,11,DC,2015,1,0
2015-02,11,DC,2015,2,0
2015-03,11,DC,2015,3,0
2015-04,11,DC,2015,4,0
2015-05,11,DC,2015,5,0
2015-06,11,DC,2015,6,0
2015-07,11,DC,2015,7,1
2015-08,11,DC,2015,8,0
2015-09,11,DC,2015,9,1
2015-10,11,DC,2015,10,1
2015-11,11,DC,2015,11,0
2015-12,11,DC,2015,12,0
2016-01,11,DC,2016,1,0
2016-02,11,DC,2016,2,0
2016-03,11,DC,2016,3,0
2016-04,11,DC,2016,4,0
2016-05,11,DC,2016,5,0
2016-06,11,DC,2016,6,0
2016-07,11,DC,2016,7,0
2016-08,11,DC,2016,8,1
2016-09,11,DC,2016,9,0
2016-10,11,DC,2016,10,0
2016-11,11,DC,2016,11,0
2016-12,11,DC,2016,12,0
2017-01,11,DC,2017,1,0
2017-02,11,DC,2017,2,0
2017-03,11,DC,2017,3,0
2017-04,11,DC,2017,4,0
2017-05,11,DC,2017,5,0
2017-06,11,DC,2017,6,0
2017-07,11,DC,2017,7,0
2017-08,11,DC,2017,8,0
2017-09,11,DC,2017,9,1
2017-10,11,DC,2017,10,0
2017-11,11,DC,2017,11,0
2017-12,11,DC,2017,12,0
2018-01,11,DC,2018,1,0
2018-02,11,DC,2018,2,0
2018-03,11,DC,2018,3,0
2018-04,11,DC,2018,4,0
2018-05,11,DC,2018,5,0
2018-06,11,DC,2018,6,0
2018-07,11,DC,2018,7,3
2018-08,11,DC,2018,8,3
2018-09,11,DC,2018,9,1
2018-10,11,DC,2018,10,0
2018-11,11,DC,2018,11,0
2018-12,11,DC,2018,12,0
2019-01,11,DC,2019,1,0
2019-02,11,DC,2019,2,0
2019-03,11,DC,2019,3,0
2019-04,11,DC,2019,4,0
2019-05,11,DC,2019,5,0
2019-06,11,DC,2019,6,0
2019-07,11,DC,2019,7,4
2019-08,11,DC,2019,8,3
2019-09,11,DC,2019,9,2
2019-10,11,DC,2019,10,0
2019-11,11,DC,2019,11,0
2019-12,11,DC,2019,12,0
2020-01,11,DC,2020,1,0
2020-02,11,DC,2020,2,0
2020-03,11,DC,2020,3,0
2020-04,11,DC,2020,4,0
2020-05,11,DC,2020,5,0
2020-06,11,DC,2020,6,0
2020-07,11,DC,2020,7,0
2020-08,11,DC,2020,8,0
2020-09,11,DC,2020,9,0
2020-10,11,DC,2020,10,0
2020-11,11,DC,2020,11,0
2020-12,11,DC,2020,12,0
2021-01,11,DC,2021,1,0
2021-02,11,DC,2021,2,0
2021-03,11,DC,2021,3,0
2021-04,11,DC,2021,4,0
2021-05,11,DC,2021,5,0
2021-06,11,DC,2021,6,0
2021-07,11,DC,2021,7,0
2021-08,11,DC,2021,8,2
2021-09,11,DC,2021,9,2
2021-10,11,DC,2021,10,0
2021-11,11,DC,2021,11,0
2021-12,11,DC,2021,12,0
2022-01,11,DC,2022,1,0
2022-02,11,DC,2022,2,0
2022-03,11,DC,2022,3,0
2022-04,11,DC,2022,4,0
2022-05,11,DC,2022,5,0
2022-06,11,DC,2022,6,0
2022-07,11,DC,2022,7,0
2022-08,11,DC,2022,8,1
2022-09,11,DC,2022,9,0
2022-10,11,DC,2022,10,0
2022-11,11,DC,2022,11,0
2022-12,11,DC,2022,12,0
