,year,month,count,1m,2m,3m,3mAverage,12m,month_cos,month_sin
2001-09-01,2001,9,0,0.0,0.0,0.0,0.0,0.0,-1.8369701987210297e-16,-1.0
2001-10-01,2001,10,0,0.0,0.0,0.0,0.0,0.0,0.5,-0.8660254037844386
2001-11-01,2001,11,0,0.0,0.0,0.0,0.0,0.0,0.8660254037844384,-0.5000000000000004
2001-12-01,2001,12,0,0.0,0.0,0.0,0.0,0.0,1.0,-2.4492935982947064e-16
2002-01-01,2002,1,0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.49999999999999994
2002-02-01,2002,2,0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386
2002-03-01,2002,3,0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0
2002-04-01,2002,4,0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388
2002-05-01,2002,5,0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.49999999999999994
2002-06-01,2002,6,0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16
2002-07-01,2002,7,0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.4999999999999998
2002-08-01,2002,8,0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,-0.8660254037844384
2002-09-01,2002,9,0,0.0,0.0,0.0,0.0,0.0,-1.8369701987210297e-16,-1.0
2002-10-01,2002,10,0,0.0,0.0,0.0,0.0,0.0,0.5,-0.8660254037844386
2002-11-01,2002,11,0,0.0,0.0,0.0,0.0,0.0,0.8660254037844384,-0.5000000000000004
2002-12-01,2002,12,0,0.0,0.0,0.0,0.0,0.0,1.0,-2.4492935982947064e-16
2003-01-01,2003,1,0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.49999999999999994
2003-02-01,2003,2,0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386
2003-03-01,2003,3,0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0
2003-04-01,2003,4,0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388
2003-05-01,2003,5,0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.49999999999999994
2003-06-01,2003,6,0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16
2003-07-01,2003,7,0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.4999999999999998
2003-08-01,2003,8,3,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,-0.8660254037844384
2003-09-01,2003,9,2,3.0,0.0,0.0,1.0,0.0,-1.8369701987210297e-16,-1.0
2003-10-01,2003,10,2,2.0,3.0,0.0,1.6666666666666667,0.0,0.5,-0.8660254037844386
2003-11-01,2003,11,0,2.0,2.0,3.0,2.3333333333333335,0.0,0.8660254037844384,-0.5000000000000004
2003-12-01,2003,12,0,0.0,2.0,2.0,1.3333333333333333,0.0,1.0,-2.4492935982947064e-16
2004-01-01,2004,1,0,0.0,0.0,2.0,0.6666666666666666,0.0,0.8660254037844387,0.49999999999999994
2004-02-01,2004,2,0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386
2004-03-01,2004,3,0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0
2004-04-01,2004,4,1,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388
2004-05-01,2004,5,22,1.0,0.0,0.0,0.3333333333333333,0.0,-0.8660254037844387,0.49999999999999994
2004-06-01,2004,6,83,22.0,1.0,0.0,7.666666666666667,0.0,-1.0,1.2246467991473532e-16
2004-07-01,2004,7,66,83.0,22.0,1.0,35.333333333333336,0.0,-0.8660254037844388,-0.4999999999999998
2004-08-01,2004,8,25,66.0,83.0,22.0,57.0,3.0,-0.5000000000000004,-0.8660254037844384
2004-09-01,2004,9,16,25.0,66.0,83.0,58.0,2.0,-1.8369701987210297e-16,-1.0
2004-10-01,2004,10,2,16.0,25.0,66.0,35.666666666666664,2.0,0.5,-0.8660254037844386
2004-11-01,2004,11,0,2.0,16.0,25.0,14.333333333333334,0.0,0.8660254037844384,-0.5000000000000004
2004-12-01,2004,12,0,0.0,2.0,16.0,6.0,0.0,1.0,-2.4492935982947064e-16
2005-01-01,2005,1,0,0.0,0.0,2.0,0.6666666666666666,0.0,0.8660254037844387,0.49999999999999994
2005-02-01,2005,2,0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386
2005-03-01,2005,3,1,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0
2005-04-01,2005,4,0,1.0,0.0,0.0,0.3333333333333333,1.0,-0.4999999999999998,0.8660254037844388
2005-05-01,2005,5,0,0.0,1.0,0.0,0.3333333333333333,22.0,-0.8660254037844387,0.49999999999999994
2005-06-01,2005,6,2,0.0,0.0,1.0,0.3333333333333333,83.0,-1.0,1.2246467991473532e-16
2005-07-01,2005,7,4,2.0,0.0,0.0,0.6666666666666666,66.0,-0.8660254037844388,-0.4999999999999998
2005-08-01,2005,8,10,4.0,2.0,0.0,2.0,25.0,-0.5000000000000004,-0.8660254037844384
2005-09-01,2005,9,22,10.0,4.0,2.0,5.333333333333333,16.0,-1.8369701987210297e-16,-1.0
2005-10-01,2005,10,12,22.0,10.0,4.0,12.0,2.0,0.5,-0.8660254037844386
2005-11-01,2005,11,1,12.0,22.0,10.0,14.666666666666666,0.0,0.8660254037844384,-0.5000000000000004
2005-12-01,2005,12,0,1.0,12.0,22.0,11.666666666666666,0.0,1.0,-2.4492935982947064e-16
2006-01-01,2006,1,0,0.0,1.0,12.0,4.333333333333333,0.0,0.8660254037844387,0.49999999999999994
2006-02-01,2006,2,0,0.0,0.0,1.0,0.3333333333333333,0.0,0.5000000000000001,0.8660254037844386
2006-03-01,2006,3,0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,1.0
2006-04-01,2006,4,0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388
2006-05-01,2006,5,0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.49999999999999994
2006-06-01,2006,6,0,0.0,0.0,0.0,0.0,2.0,-1.0,1.2246467991473532e-16
2006-07-01,2006,7,2,0.0,0.0,0.0,0.0,4.0,-0.8660254037844388,-0.4999999999999998
2006-08-01,2006,8,9,2.0,0.0,0.0,0.6666666666666666,10.0,-0.5000000000000004,-0.8660254037844384
2006-09-01,2006,9,26,9.0,2.0,0.0,3.6666666666666665,22.0,-1.8369701987210297e-16,-1.0
2006-10-01,2006,10,27,26.0,9.0,2.0,12.333333333333334,12.0,0.5,-0.8660254037844386
2006-11-01,2006,11,3,27.0,26.0,9.0,20.666666666666668,1.0,0.8660254037844384,-0.5000000000000004
2006-12-01,2006,12,1,3.0,27.0,26.0,18.666666666666668,0.0,1.0,-2.4492935982947064e-16
2007-01-01,2007,1,0,1.0,3.0,27.0,10.333333333333334,0.0,0.8660254037844387,0.49999999999999994
2007-02-01,2007,2,0,0.0,1.0,3.0,1.3333333333333333,0.0,0.5000000000000001,0.8660254037844386
2007-03-01,2007,3,0,0.0,0.0,1.0,0.3333333333333333,0.0,6.123233995736766e-17,1.0
2007-04-01,2007,4,0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388
2007-05-01,2007,5,0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.49999999999999994
2007-06-01,2007,6,7,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16
2007-07-01,2007,7,6,7.0,0.0,0.0,2.3333333333333335,2.0,-0.8660254037844388,-0.4999999999999998
2007-08-01,2007,8,7,6.0,7.0,0.0,4.333333333333333,9.0,-0.5000000000000004,-0.8660254037844384
2007-09-01,2007,9,21,7.0,6.0,7.0,6.666666666666667,26.0,-1.8369701987210297e-16,-1.0
2007-10-01,2007,10,8,21.0,7.0,6.0,11.333333333333334,27.0,0.5,-0.8660254037844386
2007-11-01,2007,11,0,8.0,21.0,7.0,12.0,3.0,0.8660254037844384,-0.5000000000000004
2007-12-01,2007,12,1,0.0,8.0,21.0,9.666666666666666,1.0,1.0,-2.4492935982947064e-16
2008-01-01,2008,1,0,1.0,0.0,8.0,3.0,0.0,0.8660254037844387,0.49999999999999994
2008-02-01,2008,2,1,0.0,1.0,0.0,0.3333333333333333,0.0,0.5000000000000001,0.8660254037844386
2008-03-01,2008,3,0,1.0,0.0,1.0,0.6666666666666666,0.0,6.123233995736766e-17,1.0
2008-04-01,2008,4,0,0.0,1.0,0.0,0.3333333333333333,0.0,-0.4999999999999998,0.8660254037844388
2008-05-01,2008,5,0,0.0,0.0,1.0,0.3333333333333333,0.0,-0.8660254037844387,0.49999999999999994
2008-06-01,2008,6,0,0.0,0.0,0.0,0.0,7.0,-1.0,1.2246467991473532e-16
2008-07-01,2008,7,6,0.0,0.0,0.0,0.0,6.0,-0.8660254037844388,-0.4999999999999998
2008-08-01,2008,8,24,6.0,0.0,0.0,2.0,7.0,-0.5000000000000004,-0.8660254037844384
2008-09-01,2008,9,17,24.0,6.0,0.0,10.0,21.0,-1.8369701987210297e-16,-1.0
2008-10-01,2008,10,13,17.0,24.0,6.0,15.666666666666666,8.0,0.5,-0.8660254037844386
2008-11-01,2008,11,1,13.0,17.0,24.0,18.0,0.0,0.8660254037844384,-0.5000000000000004
2008-12-01,2008,12,0,1.0,13.0,17.0,10.333333333333334,1.0,1.0,-2.4492935982947064e-16
2009-01-01,2009,1,0,0.0,1.0,13.0,4.666666666666667,0.0,0.8660254037844387,0.49999999999999994
2009-02-01,2009,2,0,0.0,0.0,1.0,0.3333333333333333,1.0,0.5000000000000001,0.8660254037844386
2009-03-01,2009,3,0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0
2009-04-01,2009,4,0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388
2009-05-01,2009,5,0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.49999999999999994
2009-06-01,2009,6,1,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16
2009-07-01,2009,7,9,1.0,0.0,0.0,0.3333333333333333,6.0,-0.8660254037844388,-0.4999999999999998
2009-08-01,2009,8,1,9.0,1.0,0.0,3.3333333333333335,24.0,-0.5000000000000004,-0.8660254037844384
2009-09-01,2009,9,1,1.0,9.0,1.0,3.6666666666666665,17.0,-1.8369701987210297e-16,-1.0
2009-10-01,2009,10,0,1.0,1.0,9.0,3.6666666666666665,13.0,0.5,-0.8660254037844386
2009-11-01,2009,11,0,0.0,1.0,1.0,0.6666666666666666,1.0,0.8660254037844384,-0.5000000000000004
2009-12-01,2009,12,0,0.0,0.0,1.0,0.3333333333333333,0.0,1.0,-2.4492935982947064e-16
2010-01-01,2010,1,0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.49999999999999994
2010-02-01,2010,2,0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386
2010-03-01,2010,3,0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0
2010-04-01,2010,4,0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388
2010-05-01,2010,5,0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.49999999999999994
2010-06-01,2010,6,11,0.0,0.0,0.0,0.0,1.0,-1.0,1.2246467991473532e-16
2010-07-01,2010,7,31,11.0,0.0,0.0,3.6666666666666665,9.0,-0.8660254037844388,-0.4999999999999998
2010-08-01,2010,8,15,31.0,11.0,0.0,14.0,1.0,-0.5000000000000004,-0.8660254037844384
2010-09-01,2010,9,34,15.0,31.0,11.0,19.0,1.0,-1.8369701987210297e-16,-1.0
2010-10-01,2010,10,14,34.0,15.0,31.0,26.666666666666668,0.0,0.5,-0.8660254037844386
2010-11-01,2010,11,2,14.0,34.0,15.0,21.0,0.0,0.8660254037844384,-0.5000000000000004
2010-12-01,2010,12,0,2.0,14.0,34.0,16.666666666666668,0.0,1.0,-2.4492935982947064e-16
2011-01-01,2011,1,0,0.0,2.0,14.0,5.333333333333333,0.0,0.8660254037844387,0.49999999999999994
2011-02-01,2011,2,0,0.0,0.0,2.0,0.6666666666666666,0.0,0.5000000000000001,0.8660254037844386
2011-03-01,2011,3,0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0
2011-04-01,2011,4,0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388
2011-05-01,2011,5,1,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.49999999999999994
2011-06-01,2011,6,2,1.0,0.0,0.0,0.3333333333333333,11.0,-1.0,1.2246467991473532e-16
2011-07-01,2011,7,11,2.0,1.0,0.0,1.0,31.0,-0.8660254037844388,-0.4999999999999998
2011-08-01,2011,8,19,11.0,2.0,1.0,4.666666666666667,15.0,-0.5000000000000004,-0.8660254037844384
2011-09-01,2011,9,14,19.0,11.0,2.0,10.666666666666666,34.0,-1.8369701987210297e-16,-1.0
2011-10-01,2011,10,2,14.0,19.0,11.0,14.666666666666666,14.0,0.5,-0.8660254037844386
2011-11-01,2011,11,0,2.0,14.0,19.0,11.666666666666666,2.0,0.8660254037844384,-0.5000000000000004
2011-12-01,2011,12,0,0.0,2.0,14.0,5.333333333333333,0.0,1.0,-2.4492935982947064e-16
2012-01-01,2012,1,0,0.0,0.0,2.0,0.6666666666666666,0.0,0.8660254037844387,0.49999999999999994
2012-02-01,2012,2,0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386
2012-03-01,2012,3,1,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0
2012-04-01,2012,4,0,1.0,0.0,0.0,0.3333333333333333,0.0,-0.4999999999999998,0.8660254037844388
2012-05-01,2012,5,0,0.0,1.0,0.0,0.3333333333333333,1.0,-0.8660254037844387,0.49999999999999994
2012-06-01,2012,6,3,0.0,0.0,1.0,0.3333333333333333,2.0,-1.0,1.2246467991473532e-16
2012-07-01,2012,7,10,3.0,0.0,0.0,1.0,11.0,-0.8660254037844388,-0.4999999999999998
2012-08-01,2012,8,30,10.0,3.0,0.0,4.333333333333333,19.0,-0.5000000000000004,-0.8660254037844384
2012-09-01,2012,9,31,30.0,10.0,3.0,14.333333333333334,14.0,-1.8369701987210297e-16,-1.0
2012-10-01,2012,10,12,31.0,30.0,10.0,23.666666666666668,2.0,0.5,-0.8660254037844386
2012-11-01,2012,11,0,12.0,31.0,30.0,24.333333333333332,0.0,0.8660254037844384,-0.5000000000000004
2012-12-01,2012,12,0,0.0,12.0,31.0,14.333333333333334,0.0,1.0,-2.4492935982947064e-16
2013-01-01,2013,1,0,0.0,0.0,12.0,4.0,0.0,0.8660254037844387,0.49999999999999994
2013-02-01,2013,2,0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386
2013-03-01,2013,3,0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,1.0
2013-04-01,2013,4,0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388
2013-05-01,2013,5,1,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.49999999999999994
2013-06-01,2013,6,6,1.0,0.0,0.0,0.3333333333333333,3.0,-1.0,1.2246467991473532e-16
2013-07-01,2013,7,10,6.0,1.0,0.0,2.3333333333333335,10.0,-0.8660254037844388,-0.4999999999999998
2013-08-01,2013,8,12,10.0,6.0,1.0,5.666666666666667,30.0,-0.5000000000000004,-0.8660254037844384
2013-09-01,2013,9,17,12.0,10.0,6.0,9.333333333333334,31.0,-1.8369701987210297e-16,-1.0
2013-10-01,2013,10,4,17.0,12.0,10.0,13.0,12.0,0.5,-0.8660254037844386
2013-11-01,2013,11,0,4.0,17.0,12.0,11.0,0.0,0.8660254037844384,-0.5000000000000004
2013-12-01,2013,12,0,0.0,4.0,17.0,7.0,0.0,1.0,-2.4492935982947064e-16
2014-01-01,2014,1,0,0.0,0.0,4.0,1.3333333333333333,0.0,0.8660254037844387,0.49999999999999994
2014-02-01,2014,2,0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386
2014-03-01,2014,3,0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0
2014-04-01,2014,4,0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388
2014-05-01,2014,5,0,0.0,0.0,0.0,0.0,1.0,-0.8660254037844387,0.49999999999999994
2014-06-01,2014,6,7,0.0,0.0,0.0,0.0,6.0,-1.0,1.2246467991473532e-16
2014-07-01,2014,7,16,7.0,0.0,0.0,2.3333333333333335,10.0,-0.8660254037844388,-0.4999999999999998
2014-08-01,2014,8,17,16.0,7.0,0.0,7.666666666666667,12.0,-0.5000000000000004,-0.8660254037844384
2014-09-01,2014,9,28,17.0,16.0,7.0,13.333333333333334,17.0,-1.8369701987210297e-16,-1.0
2014-10-01,2014,10,11,28.0,17.0,16.0,20.333333333333332,4.0,0.5,-0.8660254037844386
2014-11-01,2014,11,1,11.0,28.0,17.0,18.666666666666668,0.0,0.8660254037844384,-0.5000000000000004
2014-12-01,2014,12,0,1.0,11.0,28.0,13.333333333333334,0.0,1.0,-2.4492935982947064e-16
2015-01-01,2015,1,0,0.0,1.0,11.0,4.0,0.0,0.8660254037844387,0.49999999999999994
2015-02-01,2015,2,0,0.0,0.0,1.0,0.3333333333333333,0.0,0.5000000000000001,0.8660254037844386
2015-03-01,2015,3,0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0
2015-04-01,2015,4,0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388
2015-05-01,2015,5,0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.49999999999999994
2015-06-01,2015,6,11,0.0,0.0,0.0,0.0,7.0,-1.0,1.2246467991473532e-16
2015-07-01,2015,7,24,11.0,0.0,0.0,3.6666666666666665,16.0,-0.8660254037844388,-0.4999999999999998
2015-08-01,2015,8,20,24.0,11.0,0.0,11.666666666666666,17.0,-0.5000000000000004,-0.8660254037844384
2015-09-01,2015,9,11,20.0,24.0,11.0,18.333333333333332,28.0,-1.8369701987210297e-16,-1.0
2015-10-01,2015,10,0,11.0,20.0,24.0,18.333333333333332,11.0,0.5,-0.8660254037844386
2015-11-01,2015,11,1,0.0,11.0,20.0,10.333333333333334,1.0,0.8660254037844384,-0.5000000000000004
2015-12-01,2015,12,0,1.0,0.0,11.0,4.0,0.0,1.0,-2.4492935982947064e-16
2016-01-01,2016,1,0,0.0,1.0,0.0,0.3333333333333333,0.0,0.8660254037844387,0.49999999999999994
2016-02-01,2016,2,0,0.0,0.0,1.0,0.3333333333333333,0.0,0.5000000000000001,0.8660254037844386
2016-03-01,2016,3,0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0
2016-04-01,2016,4,0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388
2016-05-01,2016,5,2,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.49999999999999994
2016-06-01,2016,6,9,2.0,0.0,0.0,0.6666666666666666,11.0,-1.0,1.2246467991473532e-16
2016-07-01,2016,7,13,9.0,2.0,0.0,3.6666666666666665,24.0,-0.8660254037844388,-0.4999999999999998
2016-08-01,2016,8,8,13.0,9.0,2.0,8.0,20.0,-0.5000000000000004,-0.8660254037844384
2016-09-01,2016,9,18,8.0,13.0,9.0,10.0,11.0,-1.8369701987210297e-16,-1.0
2016-10-01,2016,10,5,18.0,8.0,13.0,13.0,0.0,0.5,-0.8660254037844386
2016-11-01,2016,11,2,5.0,18.0,8.0,10.333333333333334,1.0,0.8660254037844384,-0.5000000000000004
2016-12-01,2016,12,0,2.0,5.0,18.0,8.333333333333334,0.0,1.0,-2.4492935982947064e-16
2017-01-01,2017,1,0,0.0,2.0,5.0,2.3333333333333335,0.0,0.8660254037844387,0.49999999999999994
2017-02-01,2017,2,0,0.0,0.0,2.0,0.6666666666666666,0.0,0.5000000000000001,0.8660254037844386
2017-03-01,2017,3,0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0
2017-04-01,2017,4,0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388
2017-05-01,2017,5,5,0.0,0.0,0.0,0.0,2.0,-0.8660254037844387,0.49999999999999994
2017-06-01,2017,6,15,5.0,0.0,0.0,1.6666666666666667,9.0,-1.0,1.2246467991473532e-16
2017-07-01,2017,7,18,15.0,5.0,0.0,6.666666666666667,13.0,-0.8660254037844388,-0.4999999999999998
2017-08-01,2017,8,21,18.0,15.0,5.0,12.666666666666666,8.0,-0.5000000000000004,-0.8660254037844384
2017-09-01,2017,9,30,21.0,18.0,15.0,18.0,18.0,-1.8369701987210297e-16,-1.0
2017-10-01,2017,10,9,30.0,21.0,18.0,23.0,5.0,0.5,-0.8660254037844386
2017-11-01,2017,11,0,9.0,30.0,21.0,20.0,2.0,0.8660254037844384,-0.5000000000000004
2017-12-01,2017,12,0,0.0,9.0,30.0,13.0,0.0,1.0,-2.4492935982947064e-16
2018-01-01,2018,1,0,0.0,0.0,9.0,3.0,0.0,0.8660254037844387,0.49999999999999994
2018-02-01,2018,2,0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386
2018-03-01,2018,3,0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0
2018-04-01,2018,4,0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388
2018-05-01,2018,5,0,0.0,0.0,0.0,0.0,5.0,-0.8660254037844387,0.49999999999999994
2018-06-01,2018,6,0,0.0,0.0,0.0,0.0,15.0,-1.0,1.2246467991473532e-16
2018-07-01,2018,7,4,0.0,0.0,0.0,0.0,18.0,-0.8660254037844388,-0.4999999999999998
2018-08-01,2018,8,5,4.0,0.0,0.0,1.3333333333333333,21.0,-0.5000000000000004,-0.8660254037844384
2018-09-01,2018,9,8,5.0,4.0,0.0,3.0,30.0,-1.8369701987210297e-16,-1.0
2018-10-01,2018,10,7,8.0,5.0,4.0,5.666666666666667,9.0,0.5,-0.8660254037844386
2018-11-01,2018,11,0,7.0,8.0,5.0,6.666666666666667,0.0,0.8660254037844384,-0.5000000000000004
2018-12-01,2018,12,0,0.0,7.0,8.0,5.0,0.0,1.0,-2.4492935982947064e-16
2019-01-01,2019,1,1,0.0,0.0,7.0,2.3333333333333335,0.0,0.8660254037844387,0.49999999999999994
2019-02-01,2019,2,0,1.0,0.0,0.0,0.3333333333333333,0.0,0.5000000000000001,0.8660254037844386
2019-03-01,2019,3,0,0.0,1.0,0.0,0.3333333333333333,0.0,6.123233995736766e-17,1.0
2019-04-01,2019,4,1,0.0,0.0,1.0,0.3333333333333333,0.0,-0.4999999999999998,0.8660254037844388
2019-05-01,2019,5,4,1.0,0.0,0.0,0.3333333333333333,0.0,-0.8660254037844387,0.49999999999999994
2019-06-01,2019,6,49,4.0,1.0,0.0,1.6666666666666667,0.0,-1.0,1.2246467991473532e-16
2019-07-01,2019,7,55,49.0,4.0,1.0,18.0,4.0,-0.8660254037844388,-0.4999999999999998
2019-08-01,2019,8,12,55.0,49.0,4.0,36.0,5.0,-0.5000000000000004,-0.8660254037844384
2019-09-01,2019,9,7,12.0,55.0,49.0,38.666666666666664,8.0,-1.8369701987210297e-16,-1.0
2019-10-01,2019,10,3,7.0,12.0,55.0,24.666666666666668,7.0,0.5,-0.8660254037844386
2019-11-01,2019,11,0,3.0,7.0,12.0,7.333333333333333,0.0,0.8660254037844384,-0.5000000000000004
2019-12-01,2019,12,0,0.0,3.0,7.0,3.3333333333333335,0.0,1.0,-2.4492935982947064e-16
2020-01-01,2020,1,1,0.0,0.0,3.0,1.0,1.0,0.8660254037844387,0.49999999999999994
2020-02-01,2020,2,0,1.0,0.0,0.0,0.3333333333333333,0.0,0.5000000000000001,0.8660254037844386
2020-03-01,2020,3,0,0.0,1.0,0.0,0.3333333333333333,0.0,6.123233995736766e-17,1.0
2020-04-01,2020,4,0,0.0,0.0,1.0,0.3333333333333333,1.0,-0.4999999999999998,0.8660254037844388
2020-05-01,2020,5,0,0.0,0.0,0.0,0.0,4.0,-0.8660254037844387,0.49999999999999994
2020-06-01,2020,6,3,0.0,0.0,0.0,0.0,49.0,-1.0,1.2246467991473532e-16
2020-07-01,2020,7,2,3.0,0.0,0.0,1.0,55.0,-0.8660254037844388,-0.4999999999999998
2020-08-01,2020,8,0,2.0,3.0,0.0,1.6666666666666667,12.0,-0.5000000000000004,-0.8660254037844384
2020-09-01,2020,9,1,0.0,2.0,3.0,1.6666666666666667,7.0,-1.8369701987210297e-16,-1.0
2020-10-01,2020,10,1,1.0,0.0,2.0,1.0,3.0,0.5,-0.8660254037844386
2020-11-01,2020,11,0,1.0,1.0,0.0,0.6666666666666666,0.0,0.8660254037844384,-0.5000000000000004
2020-12-01,2020,12,0,0.0,1.0,1.0,0.6666666666666666,0.0,1.0,-2.4492935982947064e-16
2021-01-01,2021,1,0,0.0,0.0,1.0,0.3333333333333333,1.0,0.8660254037844387,0.49999999999999994
2021-02-01,2021,2,1,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386
2021-03-01,2021,3,0,1.0,0.0,0.0,0.3333333333333333,0.0,6.123233995736766e-17,1.0
2021-04-01,2021,4,0,0.0,1.0,0.0,0.3333333333333333,0.0,-0.4999999999999998,0.8660254037844388
2021-05-01,2021,5,2,0.0,0.0,1.0,0.3333333333333333,0.0,-0.8660254037844387,0.49999999999999994
2021-06-01,2021,6,11,2.0,0.0,0.0,0.6666666666666666,3.0,-1.0,1.2246467991473532e-16
2021-07-01,2021,7,8,11.0,2.0,0.0,4.333333333333333,2.0,-0.8660254037844388,-0.4999999999999998
